Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,16.74,16.35,16.89,16.0,572.3,-0.65,K
23/02/2022,16.85,16.28,17.0,16.25,698.8,3.5,K
22/02/2022,16.28,15.82,16.49,15.73,333.7,3.5,K
21/02/2022,15.73,16.44,16.48,15.48,388.4,-4.67,K
18/02/2022,16.5,15.79,16.88,15.72,339.4,4.76,K
17/02/2022,15.75,16.15,16.65,15.59,337.1,-2.42,K
16/02/2022,16.14,16.99,17.12,16.04,1.16,-4.5,M
15/02/2022,16.9,17.15,17.2,16.81,342.4,-1.05,K
14/02/2022,17.08,17.06,17.2,16.42,485.2,0.18,K
11/02/2022,17.05,16.6,17.29,16.22,901.6,2.65,K
10/02/2022,16.61,16.2,16.72,16.06,253.4,2.59,K
09/02/2022,16.19,16.14,16.33,15.9,144.9,0.31,K
08/02/2022,16.14,16.11,16.23,15.86,195.7,-1.04,K
07/02/2022,16.31,16.1,16.52,15.61,413.3,0.99,K
04/02/2022,16.15,16.57,16.77,15.66,340.8,-3.58,K
03/02/2022,16.75,16.75,17.5,16.43,494.8,0.18,K
02/02/2022,16.72,16.4,16.82,16.04,283.2,0.72,K
01/02/2022,16.6,16.55,16.9,15.84,430.2,0.61,K
31/01/2022,16.5,16.09,16.7,15.85,452.0,3.25,K
28/01/2022,15.98,15.67,16.22,15.53,225.7,2.17,K
27/01/2022,15.64,15.89,16.0,15.32,249.2,-1.01,K
26/01/2022,15.8,16.02,16.5,15.5,458.0,-1.19,K
25/01/2022,15.99,14.2,16.29,14.0,838.7,13.48,K
24/01/2022,14.09,14.95,15.26,13.88,721.6,-6.07,K
21/01/2022,15.0,16.5,16.5,14.8,644.5,-8.81,K
20/01/2022,16.45,14.5,16.54,14.5,966.8,15.36,K
19/01/2022,14.26,14.5,15.35,14.06,2.78,-1.31,M
18/01/2022,14.45,14.44,14.51,14.21,237.8,-0.41,K
17/01/2022,14.51,14.21,14.66,14.18,190.4,2.18,K
14/01/2022,14.2,13.52,14.45,13.33,275.8,4.41,K
13/01/2022,13.6,14.48,14.66,13.51,406.4,-6.08,K
12/01/2022,14.48,14.58,14.74,14.07,710.4,-0.14,K
11/01/2022,14.5,13.1,14.59,13.1,857.5,9.85,K
10/01/2022,13.2,12.75,13.47,12.71,565.9,2.72,K
07/01/2022,12.85,12.86,13.56,12.45,539.9,-0.39,K
06/01/2022,12.9,12.75,13.0,12.41,502.9,1.74,K
05/01/2022,12.68,13.54,13.58,12.66,359.6,-6.14,K
04/01/2022,13.51,13.54,14.14,13.3,743.3,-0.52,K
03/01/2022,13.58,14.96,14.96,13.51,601.0,-9.29,K
30/12/2021,14.97,13.38,14.98,13.2,1.15,12.73,M
29/12/2021,13.28,13.56,13.6,13.2,472.0,-2.14,K
28/12/2021,13.57,13.93,13.96,13.25,803.4,-1.6,K
27/12/2021,13.79,14.01,14.54,13.75,536.3,-3.57,K
23/12/2021,14.3,14.29,14.9,13.86,1.52,0.35,M
22/12/2021,14.25,18.2,18.2,14.2,3.1,-20.35,M
21/12/2021,17.89,18.24,18.44,16.89,2.22,0.28,M
