Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,15.94,16.01,16.07,15.52,1.63,-2.8,M
23/02/2022,16.4,16.0,16.83,16.0,1.27,2.95,M
22/02/2022,15.93,15.91,16.19,15.86,979.7,0.25,K
21/02/2022,15.89,16.54,16.54,15.89,926.8,-4.16,K
18/02/2022,16.58,16.71,16.82,16.44,855.4,-0.66,K
17/02/2022,16.69,16.91,17.07,16.69,533.6,-1.36,K
16/02/2022,16.92,17.12,17.42,16.82,1.01,-0.18,M
15/02/2022,16.95,16.58,17.2,16.46,1.3,2.73,M
14/02/2022,16.5,16.51,16.95,16.29,874.4,-0.06,K
11/02/2022,16.51,16.3,16.91,16.17,1.48,3.12,M
10/02/2022,16.01,16.24,16.45,15.87,847.3,1.33,K
09/02/2022,15.8,16.22,16.47,15.8,602.2,-2.77,K
08/02/2022,16.25,16.14,16.49,16.0,727.9,0.68,K
07/02/2022,16.14,16.09,16.26,15.87,661.4,0.0,K
04/02/2022,16.14,16.17,16.23,15.98,512.9,-0.49,K
03/02/2022,16.22,16.26,16.54,16.02,710.8,-0.06,K
02/02/2022,16.23,16.37,16.61,16.17,1.04,0.12,M
01/02/2022,16.21,15.86,16.39,15.86,1.2,2.34,M
31/01/2022,15.84,15.88,15.95,15.63,871.7,0.0,K
28/01/2022,15.84,15.84,16.02,15.77,529.4,-0.44,K
27/01/2022,15.91,15.88,16.1,15.66,880.2,1.08,K
26/01/2022,15.74,15.99,16.19,15.72,673.8,-0.69,K
25/01/2022,15.85,15.45,15.97,15.35,559.3,1.93,K
24/01/2022,15.55,15.58,15.77,15.2,928.7,-0.58,K
21/01/2022,15.64,15.74,15.9,15.51,827.7,-0.95,K
20/01/2022,15.79,15.99,16.17,15.75,644.1,-1.25,K
19/01/2022,15.99,16.03,16.15,15.8,953.5,0.76,K
18/01/2022,15.87,15.86,16.07,15.72,573.6,0.06,K
17/01/2022,15.86,15.9,16.32,15.8,966.8,0.0,K
14/01/2022,15.86,15.67,15.93,15.2,1.12,1.02,M
13/01/2022,15.7,15.45,15.82,15.38,535.8,0.9,K
12/01/2022,15.56,15.82,16.03,15.45,762.2,-1.64,K
11/01/2022,15.82,15.82,15.95,15.62,848.3,-0.06,K
10/01/2022,15.83,15.42,15.94,15.29,1.04,3.06,M
07/01/2022,15.36,15.16,15.42,14.97,1.27,0.72,M
06/01/2022,15.25,15.03,15.58,14.84,1.56,1.53,M
05/01/2022,15.02,15.63,15.67,14.88,1.01,-4.57,M
04/01/2022,15.74,15.62,15.77,15.12,1.38,1.22,M
03/01/2022,15.55,15.82,16.19,15.48,1.23,-2.02,M
30/12/2021,15.87,15.93,15.93,15.56,1.29,0.25,M
29/12/2021,15.83,16.21,16.21,15.7,547.6,-1.92,K
28/12/2021,16.14,16.0,16.2,15.87,407.2,1.06,K
27/12/2021,15.97,15.78,16.03,15.67,672.1,1.27,K
23/12/2021,15.77,15.6,15.98,15.59,499.1,0.51,K
22/12/2021,15.69,15.67,15.69,15.31,569.6,0.13,K
21/12/2021,15.67,16.02,16.12,15.36,874.3,-1.88,K
20/12/2021,15.97,15.81,15.97,15.47,1.0,-0.93,M
17/12/2021,16.12,16.4,16.4,15.76,1.26,-2.01,M
16/12/2021,16.45,16.99,17.08,16.26,1.66,-2.84,M
15/12/2021,16.93,17.68,17.68,16.73,1.01,-4.19,M
14/12/2021,17.67,17.78,18.07,17.57,528.2,-0.62,K
13/12/2021,17.78,17.99,18.24,17.53,733.9,-1.06,K
10/12/2021,17.97,17.86,18.08,17.61,499.8,0.96,K
09/12/2021,17.8,17.77,17.9,17.51,528.7,-0.61,K
08/12/2021,17.91,17.68,18.07,17.56,773.1,2.05,K
07/12/2021,17.55,17.87,18.1,17.51,740.2,-0.74,K
06/12/2021,17.68,17.4,17.92,17.3,1.18,2.79,M
03/12/2021,17.2,17.09,17.67,17.09,1.13,0.35,M
02/12/2021,17.14,17.06,17.49,16.95,894.6,0.59,K
01/12/2021,17.04,17.33,17.98,16.77,3.46,0.65,M
30/11/2021,16.93,16.92,17.23,16.61,1.65,0.0,M
29/11/2021,16.93,16.39,17.14,16.32,1.48,4.83,M
26/11/2021,16.15,16.1,16.15,15.63,557.4,-2.18,K
25/11/2021,16.51,16.93,17.14,16.25,529.2,-2.08,K
24/11/2021,16.86,16.12,17.04,16.12,811.7,3.44,K
23/11/2021,16.3,16.0,16.36,15.8,794.8,2.32,K
22/11/2021,15.93,16.04,16.05,15.58,1.19,-0.62,M
19/11/2021,16.03,15.74,16.11,15.56,742.7,1.71,K
18/11/2021,15.76,15.71,16.1,15.55,928.3,0.64,K
17/11/2021,15.66,16.17,16.17,15.43,905.6,-2.19,K
16/11/2021,16.01,16.34,16.56,15.93,1.17,-1.66,M
12/11/2021,16.28,16.87,17.0,16.26,930.6,-3.1,K
11/11/2021,16.8,17.04,17.04,16.61,855.5,0.36,K
10/11/2021,16.74,16.31,16.81,16.17,1.19,2.83,M
09/11/2021,16.28,16.32,16.59,16.22,789.6,0.0,K
08/11/2021,16.28,16.05,16.76,16.02,1.02,0.18,M
05/11/2021,16.25,16.08,16.53,16.01,958.1,1.63,K
04/11/2021,15.99,15.8,16.16,15.35,1.33,1.33,M
03/11/2021,15.78,15.09,15.86,14.98,943.5,4.16,K
01/11/2021,15.15,15.44,15.46,15.04,984.1,-0.26,K
29/10/2021,15.19,15.09,15.6,14.96,2.11,1.27,M
28/10/2021,15.0,15.86,15.99,14.87,1.24,-5.72,M
