Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,14.84,14.24,14.84,13.8,59.58,0.2,M
23/02/2022,14.81,14.62,15.26,14.59,30.11,0.68,M
22/02/2022,14.71,14.44,14.82,14.44,24.54,1.8,M
21/02/2022,14.45,14.83,14.85,14.45,12.42,-2.17,M
18/02/2022,14.77,14.97,14.99,14.74,11.72,-0.54,M
17/02/2022,14.85,15.09,15.11,14.71,19.88,-1.53,M
16/02/2022,15.08,15.45,15.48,14.96,25.06,-1.95,M
15/02/2022,15.38,15.11,15.7,15.11,50.18,2.12,M
14/02/2022,15.06,14.98,15.09,14.83,33.36,1.35,M
11/02/2022,14.86,14.82,15.1,14.75,30.85,0.75,M
10/02/2022,14.75,14.57,14.82,14.41,31.34,1.44,M
09/02/2022,14.54,14.15,14.62,14.15,45.86,2.68,M
08/02/2022,14.16,14.26,14.33,14.11,20.76,-0.91,M
07/02/2022,14.29,14.43,14.51,14.27,21.18,-0.83,M
04/02/2022,14.41,14.42,14.54,14.17,18.25,-0.35,M
03/02/2022,14.46,14.54,14.62,14.42,13.21,-0.41,M
02/02/2022,14.52,14.85,14.94,14.45,17.98,-2.22,M
01/02/2022,14.85,14.94,15.13,14.79,14.11,-0.8,M
31/01/2022,14.97,14.9,15.12,14.77,21.32,0.27,M
28/01/2022,14.93,15.24,15.32,14.86,23.25,-3.05,M
27/01/2022,15.4,15.06,15.49,14.93,24.8,2.67,M
26/01/2022,15.0,15.19,15.3,14.88,24.26,-0.46,M
25/01/2022,15.07,14.64,15.09,14.61,22.28,2.52,M
24/01/2022,14.7,14.79,15.05,14.61,29.99,0.07,M
21/01/2022,14.69,14.45,14.92,14.41,28.6,1.38,M
20/01/2022,14.49,14.62,14.63,14.43,30.62,-0.34,M
19/01/2022,14.54,14.65,14.68,14.39,31.62,-0.27,M
18/01/2022,14.58,14.74,14.74,14.39,24.91,-1.49,M
17/01/2022,14.8,15.04,15.17,14.79,21.17,-1.99,M
14/01/2022,15.1,14.98,15.21,14.9,14.54,0.73,M
13/01/2022,14.99,14.87,15.05,14.76,20.76,0.74,M
12/01/2022,14.88,14.64,15.03,14.56,31.89,1.36,M
11/01/2022,14.68,14.61,14.73,14.45,20.49,0.2,M
10/01/2022,14.65,14.44,14.73,14.35,16.38,0.83,M
07/01/2022,14.53,14.8,14.8,14.45,19.67,-1.62,M
06/01/2022,14.77,15.04,15.06,14.66,20.41,-1.6,M
05/01/2022,15.01,15.25,15.29,14.96,24.65,-1.96,M
04/01/2022,15.31,15.32,15.4,15.04,16.36,-0.13,M
03/01/2022,15.33,15.42,15.54,15.15,23.83,-0.58,M
30/12/2021,15.42,15.58,15.59,15.39,11.82,-0.19,M
29/12/2021,15.45,15.55,15.56,15.34,8.85,-0.45,M
28/12/2021,15.52,15.54,15.57,15.4,7.7,-0.06,M
27/12/2021,15.53,15.55,15.65,15.48,8.44,-0.13,M
23/12/2021,15.55,15.4,15.67,15.34,10.63,1.04,M
22/12/2021,15.39,15.41,15.51,15.25,11.68,-0.06,M
21/12/2021,15.4,15.45,15.55,15.32,18.64,-0.13,M
20/12/2021,15.42,15.5,15.55,15.24,17.59,-4.04,M
17/12/2021,16.07,16.01,16.25,16.01,32.44,-0.19,M
16/12/2021,16.1,16.19,16.29,16.02,21.38,0.12,M
15/12/2021,16.08,16.26,16.26,15.94,21.74,-0.56,M
14/12/2021,16.17,16.02,16.45,16.02,36.63,1.0,M
13/12/2021,16.01,16.05,16.18,15.9,29.4,0.38,M
10/12/2021,15.95,16.25,16.28,15.87,15.66,0.89,M
