Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.72,5.5,5.8,5.46,2.28,0.7,M
23/02/2022,5.68,5.93,6.0,5.68,1.55,-4.38,M
22/02/2022,5.94,5.5,5.97,5.46,4.11,9.19,M
21/02/2022,5.44,5.72,5.75,5.4,1.63,-4.56,M
18/02/2022,5.7,5.95,5.95,5.7,1.79,-1.72,M
17/02/2022,5.8,5.93,5.99,5.8,1.49,-1.53,M
16/02/2022,5.89,5.95,6.0,5.88,1.25,-0.34,M
15/02/2022,5.91,5.87,5.99,5.87,865.1,1.2,K
14/02/2022,5.84,5.85,5.9,5.8,1.51,-0.17,M
11/02/2022,5.85,6.03,6.07,5.8,1.54,-2.5,M
10/02/2022,6.0,6.05,6.18,5.99,1.84,-0.66,M
09/02/2022,6.04,6.0,6.3,6.0,1.16,0.83,M
08/02/2022,5.99,5.89,6.02,5.86,1.61,1.53,M
07/02/2022,5.9,6.05,6.09,5.9,1.86,-2.96,M
04/02/2022,6.08,6.24,6.24,5.96,1.51,-2.41,M
03/02/2022,6.23,6.58,6.6,6.23,1.2,-5.03,M
02/02/2022,6.56,6.6,6.74,6.49,1.09,-0.15,M
01/02/2022,6.57,6.52,6.63,6.43,1.61,1.86,M
31/01/2022,6.45,6.04,6.56,6.0,3.96,6.61,M
28/01/2022,6.05,6.1,6.13,5.9,1.38,-0.82,M
27/01/2022,6.1,6.08,6.25,6.03,1.68,1.33,M
26/01/2022,6.02,6.13,6.25,5.97,2.15,-0.99,M
25/01/2022,6.08,6.01,6.11,5.96,765.8,1.0,K
24/01/2022,6.02,6.1,6.18,6.0,1.4,-1.95,M
21/01/2022,6.14,6.14,6.24,6.06,1.11,-0.49,M
20/01/2022,6.17,6.08,6.27,6.04,1.41,1.48,M
19/01/2022,6.08,6.0,6.13,5.9,2.01,2.53,M
18/01/2022,5.93,6.01,6.03,5.86,755.0,-1.17,K
17/01/2022,6.0,6.04,6.15,5.98,612.1,-0.66,K
14/01/2022,6.04,6.02,6.07,5.89,1.01,-0.33,M
13/01/2022,6.06,6.0,6.1,5.8,2.76,1.0,M
12/01/2022,6.0,6.06,6.19,5.92,2.19,-1.64,M
11/01/2022,6.1,6.05,6.27,5.99,2.52,0.83,M
10/01/2022,6.05,5.92,6.08,5.83,2.28,2.2,M
07/01/2022,5.92,5.8,5.99,5.68,4.93,2.07,M
06/01/2022,5.8,5.88,5.93,5.57,4.35,-1.69,M
05/01/2022,5.9,6.32,6.35,5.87,4.64,-7.38,M
04/01/2022,6.37,6.57,6.82,6.35,2.45,-2.75,M
03/01/2022,6.55,6.58,6.82,6.5,2.61,0.0,M
30/12/2021,6.55,6.7,6.8,6.49,2.97,-2.24,M
29/12/2021,6.7,6.75,6.85,6.66,1.41,-0.15,M
28/12/2021,6.71,6.75,6.92,6.61,1.92,0.0,M
27/12/2021,6.71,6.39,6.8,6.39,3.54,5.01,M
23/12/2021,6.39,6.4,6.53,6.32,1.6,-0.16,M
22/12/2021,6.4,6.57,6.63,6.38,2.01,-1.99,M
21/12/2021,6.53,6.86,6.89,6.41,3.05,-3.12,M
20/12/2021,6.74,6.86,6.93,6.65,2.58,-1.75,M
17/12/2021,6.86,7.23,7.25,6.85,5.53,-4.99,M
16/12/2021,7.22,7.5,7.5,7.16,2.49,-3.09,M
15/12/2021,7.45,7.71,7.74,7.23,2.43,-3.25,M
14/12/2021,7.7,8.0,8.09,7.67,1.25,-3.75,M
13/12/2021,8.0,8.05,8.14,7.91,1.22,-0.5,M
10/12/2021,8.04,8.02,8.19,8.01,1.0,0.5,M
09/12/2021,8.0,7.82,8.04,7.8,1.19,1.52,M
08/12/2021,7.88,7.85,8.1,7.65,1.56,0.38,M
07/12/2021,7.85,7.66,7.98,7.48,2.99,3.56,M
06/12/2021,7.58,7.7,7.73,7.57,1.04,-0.92,M
03/12/2021,7.65,7.72,7.96,7.55,1.56,-1.29,M
02/12/2021,7.75,7.8,8.0,7.69,1.07,-0.26,M
01/12/2021,7.77,7.9,8.15,7.76,3.5,-1.02,M
30/11/2021,7.85,7.4,7.85,7.21,3.61,4.95,M
29/11/2021,7.48,7.69,7.7,7.33,2.06,0.27,M
