Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,11.39,11.08,11.46,10.95,1.13,1.06,M
23/02/2022,11.27,11.07,11.43,11.07,791.7,1.81,K
22/02/2022,11.07,11.05,11.25,11.05,634.9,0.27,K
21/02/2022,11.04,11.09,11.18,10.99,1.03,-0.45,M
18/02/2022,11.09,11.16,11.23,11.02,998.9,0.18,K
17/02/2022,11.07,11.18,11.27,11.07,1.41,-0.9,M
16/02/2022,11.17,11.15,11.22,10.96,1.8,0.27,M
15/02/2022,11.14,11.26,11.38,11.14,1.31,-0.71,M
14/02/2022,11.22,11.11,11.3,11.09,1.42,1.26,M
11/02/2022,11.08,11.34,11.45,11.08,898.7,-1.77,K
10/02/2022,11.28,11.34,11.45,11.21,545.8,-0.44,K
09/02/2022,11.33,11.05,11.33,11.05,612.3,2.63,K
08/02/2022,11.04,11.32,11.37,11.04,833.9,-2.47,K
07/02/2022,11.32,11.48,11.55,11.32,664.6,-1.39,K
04/02/2022,11.48,11.6,11.61,11.4,491.1,-1.03,K
03/02/2022,11.6,11.47,11.65,11.42,503.9,1.13,K
02/02/2022,11.47,11.51,11.58,11.37,585.8,-0.69,K
01/02/2022,11.55,11.82,11.96,11.47,990.3,-2.2,K
31/01/2022,11.81,11.44,11.92,11.44,941.5,3.32,K
28/01/2022,11.43,11.55,11.56,11.38,675.8,-0.61,K
27/01/2022,11.5,11.71,11.78,11.4,880.8,-1.63,K
26/01/2022,11.69,11.66,11.99,11.62,891.3,0.26,K
25/01/2022,11.66,11.0,11.68,11.0,1.34,5.52,M
24/01/2022,11.05,11.2,11.21,11.03,605.8,-1.52,K
21/01/2022,11.22,11.18,11.27,11.1,556.4,-0.8,K
20/01/2022,11.31,11.11,11.5,11.11,1.99,1.43,M
19/01/2022,11.15,11.04,11.23,10.99,880.9,1.27,K
18/01/2022,11.01,11.22,11.36,11.01,1.07,-1.87,M
17/01/2022,11.22,11.0,11.48,11.0,830.2,1.17,K
14/01/2022,11.09,10.91,11.18,10.87,587.8,1.74,K
13/01/2022,10.9,11.03,11.1,10.85,497.3,-1.18,K
12/01/2022,11.03,10.61,11.2,10.57,1.49,3.57,M
11/01/2022,10.65,10.25,10.67,10.25,892.4,4.0,K
10/01/2022,10.24,10.32,10.34,10.17,1.06,-0.68,M
07/01/2022,10.31,10.36,10.42,10.2,819.0,-0.39,K
06/01/2022,10.35,10.6,10.64,10.35,800.1,-1.52,K
05/01/2022,10.51,10.8,10.91,10.51,1.08,-2.59,M
04/01/2022,10.79,10.99,11.09,10.78,821.7,-1.01,K
03/01/2022,10.9,11.07,11.17,10.79,846.8,-1.54,K
30/12/2021,11.07,11.02,11.19,10.96,2.17,0.45,M
29/12/2021,11.02,10.96,11.09,10.88,611.1,0.64,K
28/12/2021,10.95,10.83,10.98,10.81,499.1,1.01,K
27/12/2021,10.84,10.91,10.91,10.74,1.16,-0.18,M
23/12/2021,10.86,11.1,11.18,10.8,905.9,-1.45,K
22/12/2021,11.02,11.05,11.11,10.74,1.24,0.73,M
21/12/2021,10.94,10.91,10.98,10.84,557.5,1.02,K
20/12/2021,10.83,10.81,11.11,10.81,1.59,0.19,M
17/12/2021,10.81,11.08,11.37,10.81,3.5,-2.35,M
16/12/2021,11.07,11.24,11.26,11.02,1.06,-1.16,M
15/12/2021,11.2,11.42,11.44,11.2,914.8,-1.41,K
14/12/2021,11.36,11.88,11.99,11.36,1.72,-3.4,M
13/12/2021,11.76,11.8,11.9,11.7,928.2,-0.34,K
10/12/2021,11.8,11.73,12.0,11.73,971.5,0.85,K
09/12/2021,11.7,11.77,11.83,11.55,960.5,-0.68,K
08/12/2021,11.78,11.52,11.93,11.51,899.9,1.99,K
07/12/2021,11.55,11.99,12.03,11.53,1.27,-2.28,M
06/12/2021,11.82,11.57,12.17,11.57,2.04,2.07,M
03/12/2021,11.58,11.3,11.61,11.26,1.5,2.93,M
02/12/2021,11.25,11.5,11.67,11.25,1.05,-0.71,M
01/12/2021,11.33,11.41,11.63,11.25,1.53,0.27,M
30/11/2021,11.3,11.25,11.41,11.08,1.56,0.27,M
29/11/2021,11.27,11.57,11.62,11.27,673.7,-1.49,K
26/11/2021,11.44,11.4,11.55,11.22,927.3,-0.95,K
25/11/2021,11.55,11.35,11.55,11.3,533.7,1.94,K
24/11/2021,11.33,11.16,11.36,11.12,596.5,1.07,K
23/11/2021,11.21,11.19,11.24,10.95,1.58,1.08,M
22/11/2021,11.09,11.31,11.52,11.07,956.8,-1.6,K
19/11/2021,11.27,11.17,11.5,11.17,607.7,0.9,K
18/11/2021,11.17,11.3,11.48,11.15,553.1,-0.36,K
17/11/2021,11.21,11.3,11.49,11.1,750.6,-0.8,K
16/11/2021,11.3,11.59,11.61,11.24,1.04,-2.16,M
12/11/2021,11.55,11.76,11.84,11.4,713.4,-1.95,K
11/11/2021,11.78,11.86,11.99,11.7,707.3,-0.34,K
10/11/2021,11.82,11.2,11.94,11.2,1.83,3.96,M
09/11/2021,11.37,11.18,11.54,11.15,667.6,1.88,K
08/11/2021,11.16,11.21,11.49,11.15,711.3,-0.45,K
05/11/2021,11.21,11.21,11.47,11.17,1.19,0.54,M
04/11/2021,11.15,11.69,11.75,11.11,1.84,-3.63,M
03/11/2021,11.57,10.97,11.71,10.94,2.15,5.47,M
01/11/2021,10.97,11.03,11.1,10.9,1.4,0.64,M
29/10/2021,10.9,11.19,11.22,10.84,1.68,-1.98,M
28/10/2021,11.12,11.38,11.46,11.03,2.13,-2.28,M
