Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,32.4,30.76,32.48,30.2,1.15,4.08,M
23/02/2022,31.13,30.68,31.42,30.5,942.7,1.47,K
22/02/2022,30.68,29.84,30.72,29.7,733.6,3.09,K
21/02/2022,29.76,29.6,30.65,29.6,766.0,0.51,K
18/02/2022,29.61,30.83,30.92,29.23,1.0,-3.42,M
17/02/2022,30.66,30.29,30.82,29.79,827.0,1.09,K
16/02/2022,30.33,29.81,30.35,29.72,690.7,1.81,K
15/02/2022,29.79,30.45,30.45,29.61,691.4,-1.55,K
14/02/2022,30.26,29.99,30.62,29.9,696.6,1.2,K
11/02/2022,29.9,30.11,30.22,29.63,831.5,-0.96,K
10/02/2022,30.19,29.59,30.22,29.59,703.5,2.34,K
09/02/2022,29.5,28.74,29.59,28.43,799.6,3.11,K
08/02/2022,28.61,28.71,28.71,28.22,274.3,-0.56,K
07/02/2022,28.77,27.93,28.95,27.9,682.9,2.97,K
04/02/2022,27.94,28.15,28.16,27.23,606.7,-0.75,K
03/02/2022,28.15,28.95,29.2,27.78,934.6,-2.76,K
02/02/2022,28.95,29.04,29.08,28.23,757.9,-0.48,K
01/02/2022,29.09,28.12,29.15,27.65,1.12,4.12,M
31/01/2022,27.94,27.06,28.18,26.98,733.0,3.37,K
28/01/2022,27.03,26.15,27.25,26.15,454.3,2.35,K
27/01/2022,26.41,26.3,26.5,25.97,590.1,0.46,K
26/01/2022,26.29,26.95,27.37,26.29,552.2,-1.65,K
25/01/2022,26.73,26.13,26.99,26.13,405.0,1.63,K
24/01/2022,26.3,27.23,27.37,26.12,504.0,-3.59,K
21/01/2022,27.28,28.04,28.04,27.24,388.1,-2.85,K
20/01/2022,28.08,28.15,28.79,27.96,651.3,-0.18,K
19/01/2022,28.13,27.6,28.42,27.6,625.8,2.25,K
18/01/2022,27.51,27.77,27.77,27.19,304.9,-0.94,K
17/01/2022,27.77,28.18,28.4,27.73,260.4,-1.42,K
14/01/2022,28.17,27.81,28.43,27.78,343.7,0.07,K
13/01/2022,28.15,28.08,28.19,27.7,279.4,1.04,K
12/01/2022,27.86,27.54,28.12,27.54,416.3,0.72,K
11/01/2022,27.66,27.89,28.38,27.53,409.1,-0.82,K
10/01/2022,27.89,28.04,28.65,27.72,370.5,-0.61,K
07/01/2022,28.06,28.41,28.55,27.78,515.1,-0.74,K
06/01/2022,28.27,27.53,29.08,27.53,1.36,2.84,M
05/01/2022,27.49,27.41,28.3,26.96,1.31,0.33,M
04/01/2022,27.4,28.54,28.85,27.29,885.0,-3.39,K
03/01/2022,28.36,28.96,29.36,28.15,590.6,-1.49,K
30/12/2021,28.79,28.41,29.11,28.26,688.8,1.48,K
29/12/2021,28.37,28.47,28.92,28.33,481.2,0.32,K
28/12/2021,28.28,27.79,28.48,27.55,694.4,2.43,K
27/12/2021,27.61,27.55,27.93,27.35,341.2,0.22,K
23/12/2021,27.55,27.75,27.99,27.46,495.5,-0.68,K
22/12/2021,27.74,26.81,27.74,26.81,740.8,3.58,K
21/12/2021,26.78,26.1,26.91,26.01,570.1,2.49,K
20/12/2021,26.13,25.78,26.94,25.62,1.08,1.01,M
17/12/2021,25.87,26.4,26.4,25.55,508.9,-2.01,K
16/12/2021,26.4,25.7,27.18,25.7,636.8,2.88,K
15/12/2021,25.66,25.68,25.69,24.99,577.7,0.43,K
14/12/2021,25.55,25.95,26.23,25.31,658.0,-0.7,K
13/12/2021,25.73,25.05,25.85,24.98,528.5,3.21,K
10/12/2021,24.93,24.96,25.23,24.75,373.2,1.18,K
09/12/2021,24.64,24.88,24.94,24.31,459.3,-1.79,K
08/12/2021,25.09,24.51,25.29,24.44,603.5,3.29,K
07/12/2021,24.29,24.6,25.16,24.18,834.3,0.12,K
06/12/2021,24.26,24.25,24.57,24.06,535.2,1.04,K
03/12/2021,24.01,23.77,24.4,23.67,447.9,1.35,K
02/12/2021,23.69,23.68,23.99,23.23,973.1,1.02,K
01/12/2021,23.45,23.78,24.5,23.23,1.08,-0.38,M
30/11/2021,23.54,24.51,24.51,23.29,906.7,-3.76,K
29/11/2021,24.46,24.81,25.16,24.34,541.5,-0.53,K
26/11/2021,24.59,24.64,24.67,24.03,694.6,-2.69,K
25/11/2021,25.27,24.7,25.75,24.57,682.4,2.39,K
24/11/2021,24.68,24.21,24.72,23.75,787.5,1.61,K
23/11/2021,24.29,24.29,24.33,23.92,576.9,0.45,K
22/11/2021,24.18,24.63,25.0,23.95,784.1,-1.23,K
19/11/2021,24.48,24.72,25.11,24.44,841.2,-1.01,K
18/11/2021,24.73,25.0,25.39,24.61,759.0,-1.04,K
17/11/2021,24.99,25.87,26.03,24.71,1.05,-2.76,M
16/11/2021,25.7,26.6,26.7,25.61,1.3,-2.98,M
12/11/2021,26.49,27.53,27.87,26.47,1.12,-3.99,M
11/11/2021,27.59,27.99,28.12,27.49,1.07,0.04,M
10/11/2021,27.58,28.24,28.26,27.35,1.27,-2.2,M
09/11/2021,28.2,27.68,29.06,27.68,1.64,1.33,M
08/11/2021,27.83,26.65,28.09,26.54,1.3,4.51,M
05/11/2021,26.63,25.63,26.63,25.58,597.2,4.93,K
04/11/2021,25.38,26.14,26.21,24.92,1.08,-2.5,M
03/11/2021,26.03,25.32,26.06,25.0,863.7,2.64,K
01/11/2021,25.36,25.45,25.78,25.21,776.6,0.4,K
29/10/2021,25.26,25.9,26.09,25.01,1.16,-2.09,M
28/10/2021,25.8,26.13,26.38,25.52,989.4,-10.66,K
27/10/2021,28.88,30.09,30.1,28.75,1.05,-1.67,M
26/10/2021,29.37,30.52,30.58,29.34,746.9,-3.86,K
25/10/2021,30.55,29.96,30.68,29.85,825.1,1.97,K
22/10/2021,29.96,29.7,30.35,28.86,1.07,-1.02,M
21/10/2021,30.27,31.1,31.15,29.84,1.48,-3.66,M
20/10/2021,31.42,32.42,32.42,31.42,792.0,-3.08,K
19/10/2021,32.42,32.96,33.16,32.25,677.4,-1.82,K
18/10/2021,33.02,33.39,33.89,32.85,880.3,-0.57,K
15/10/2021,33.21,32.78,33.68,32.65,825.5,1.37,K
14/10/2021,32.76,32.37,33.34,32.37,802.4,0.8,K
13/10/2021,32.5,32.82,34.26,32.4,1.18,-0.79,M
11/10/2021,32.76,32.6,33.48,32.59,590.7,0.77,K
08/10/2021,32.51,32.75,33.19,32.1,1.36,4.37,M
07/10/2021,31.15,30.71,31.68,30.71,1.18,2.27,M
06/10/2021,30.46,30.6,30.62,29.6,897.5,-1.3,K
05/10/2021,30.86,31.05,31.36,30.57,603.8,0.06,K
04/10/2021,30.84,30.7,31.73,30.14,970.3,0.62,K
01/10/2021,30.65,30.9,31.62,30.24,898.6,0.66,K
30/09/2021,30.45,30.1,31.4,30.1,1.44,1.33,M
29/09/2021,30.05,29.27,30.1,28.73,851.7,2.91,K
28/09/2021,29.2,29.96,30.13,28.98,403.9,-2.37,K
27/09/2021,29.91,29.94,30.42,29.71,407.4,0.5,K
24/09/2021,29.76,29.63,29.82,29.1,235.7,-0.2,K
23/09/2021,29.82,29.6,30.02,29.13,617.9,2.83,K
22/09/2021,29.0,28.72,29.39,28.37,595.9,2.76,K
21/09/2021,28.22,28.01,28.49,27.82,449.2,1.69,K
20/09/2021,27.75,28.5,28.7,27.64,707.4,-4.44,K
17/09/2021,29.04,29.2,29.39,28.7,906.0,-0.75,K
16/09/2021,29.26,28.91,29.54,28.88,320.8,0.34,K
15/09/2021,29.16,29.07,29.35,28.86,560.2,0.28,K
14/09/2021,29.08,29.1,29.65,28.9,560.1,-0.07,K
13/09/2021,29.1,28.91,29.59,28.7,732.3,2.11,K
10/09/2021,28.5,28.27,28.75,27.76,645.5,2.3,K
09/09/2021,27.86,27.14,28.04,26.93,540.5,2.65,K
08/09/2021,27.14,27.96,28.19,26.99,851.6,-3.11,K
06/09/2021,28.01,27.83,28.56,27.81,647.9,-0.43,K
03/09/2021,28.13,29.45,29.45,28.13,1.16,-4.12,M
02/09/2021,29.34,30.1,30.2,29.3,1.42,-2.85,M
01/09/2021,30.2,29.42,30.62,29.41,2.52,8.24,M
31/08/2021,27.9,27.92,28.24,27.18,1.02,-0.29,M
30/08/2021,27.98,26.8,28.13,26.8,810.0,4.01,K
27/08/2021,26.9,27.1,27.1,26.26,626.5,-0.3,K
26/08/2021,26.98,26.82,27.33,26.6,408.7,0.52,K
25/08/2021,26.84,26.87,27.3,26.67,210.7,-0.59,K
24/08/2021,27.0,26.82,27.22,26.69,250.7,1.54,K
23/08/2021,26.59,26.3,26.88,26.1,665.9,1.1,K
20/08/2021,26.3,26.07,26.52,25.88,415.5,0.15,K
19/08/2021,26.26,25.14,26.59,25.01,465.4,2.54,K
18/08/2021,25.61,25.55,25.84,24.96,489.8,0.12,K
17/08/2021,25.58,26.04,26.09,24.9,1.24,-1.8,M
16/08/2021,26.05,27.45,27.46,25.92,768.8,-5.13,K
13/08/2021,27.46,28.26,28.34,27.46,503.4,-2.8,K
12/08/2021,28.25,28.55,28.65,28.25,335.6,-1.12,K
11/08/2021,28.57,28.55,28.74,28.3,206.8,0.11,K
10/08/2021,28.54,28.36,28.82,28.27,357.4,0.63,K
09/08/2021,28.36,28.75,29.19,28.2,753.2,-1.9,K
06/08/2021,28.91,28.72,29.19,28.62,288.3,0.45,K
05/08/2021,28.78,28.61,29.03,28.53,348.3,0.74,K
04/08/2021,28.57,29.0,29.08,28.43,465.2,-1.96,K
03/08/2021,29.14,28.95,29.14,28.27,570.0,0.69,K
02/08/2021,28.94,28.95,29.15,28.58,410.0,0.17,K
30/07/2021,28.89,28.99,29.16,28.54,353.7,-0.65,K
29/07/2021,29.08,29.0,29.48,28.6,375.5,0.28,K
28/07/2021,29.0,28.85,29.0,28.41,582.0,0.52,K
27/07/2021,28.85,28.12,29.19,28.06,674.7,2.02,K
26/07/2021,28.28,28.37,28.48,27.82,360.8,-0.04,K
23/07/2021,28.29,28.55,28.56,28.11,253.3,-0.7,K
22/07/2021,28.49,28.75,28.75,28.36,305.8,-0.94,K
21/07/2021,28.76,28.59,28.76,28.28,350.2,1.09,K
20/07/2021,28.45,28.35,28.61,28.16,492.5,0.35,K
19/07/2021,28.35,28.5,28.63,28.1,358.2,-1.53,K
16/07/2021,28.79,29.2,29.2,28.45,446.8,0.63,K
15/07/2021,28.61,28.99,29.07,28.47,532.3,-1.31,K
14/07/2021,28.99,28.76,29.21,28.66,329.7,1.05,K
13/07/2021,28.69,28.71,29.0,28.44,703.1,-0.03,K
12/07/2021,28.7,29.99,30.01,28.63,1.95,-3.53,M
08/07/2021,29.75,30.21,30.21,29.61,435.7,-2.14,K
07/07/2021,30.4,30.44,30.48,29.59,515.8,1.03,K
06/07/2021,30.09,31.17,31.17,29.95,725.4,-3.25,K
05/07/2021,31.1,30.26,31.18,30.11,835.1,3.6,K
02/07/2021,30.02,29.83,30.35,29.56,614.1,1.52,K
01/07/2021,29.57,30.0,30.24,29.5,521.7,-1.43,K
30/06/2021,30.0,29.28,30.4,29.05,1.23,2.25,M
29/06/2021,29.34,29.8,29.82,28.9,676.3,-1.54,K
28/06/2021,29.8,29.46,30.07,29.05,778.1,0.71,K
25/06/2021,29.59,30.4,30.57,29.19,939.2,-2.44,K
24/06/2021,30.33,30.67,30.96,30.2,444.1,-1.04,K
