Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,12.92,13.0,13.32,12.24,174.6,-1.9,K
23/02/2022,13.17,13.69,13.77,13.1,100.5,-2.08,K
22/02/2022,13.45,14.0,14.0,13.26,93.8,-1.1,K
21/02/2022,13.6,13.92,14.0,13.42,75.9,-2.3,K
18/02/2022,13.92,14.01,14.29,13.8,72.3,0.14,K
17/02/2022,13.9,14.32,14.5,13.9,88.6,-3.0,K
16/02/2022,14.33,14.28,14.33,14.03,39.3,0.35,K
15/02/2022,14.28,13.99,14.31,13.66,64.0,4.85,K
14/02/2022,13.62,14.0,14.29,13.26,242.9,-3.06,K
11/02/2022,14.05,14.42,14.74,14.03,129.1,-3.04,K
10/02/2022,14.49,14.26,14.58,13.78,83.9,1.83,K
09/02/2022,14.23,14.84,14.84,14.23,82.1,-1.73,K
08/02/2022,14.48,14.89,14.89,14.11,111.2,-2.16,K
07/02/2022,14.8,14.47,14.8,14.21,102.7,2.78,K
04/02/2022,14.4,15.19,15.19,14.21,231.5,-4.45,K
03/02/2022,15.07,15.75,16.32,15.0,121.6,-3.77,K
02/02/2022,15.66,16.12,16.7,15.57,139.9,-2.06,K
01/02/2022,15.99,16.34,16.5,15.86,107.6,-0.37,K
31/01/2022,16.05,15.3,16.27,15.3,77.5,4.9,K
28/01/2022,15.3,15.12,15.58,15.02,45.7,-1.61,K
27/01/2022,15.55,16.01,16.08,15.11,114.6,0.32,K
26/01/2022,15.5,15.93,16.22,15.5,147.6,-2.45,K
25/01/2022,15.89,14.76,15.89,14.76,97.6,4.88,K
24/01/2022,15.15,15.27,15.43,14.63,136.0,-0.79,K
21/01/2022,15.27,14.98,15.49,14.77,132.1,0.46,K
20/01/2022,15.2,15.06,15.7,14.97,245.0,-0.2,K
19/01/2022,15.23,15.37,15.6,15.03,143.6,1.67,K
18/01/2022,14.98,15.17,15.49,14.8,179.3,-3.67,K
17/01/2022,15.55,15.41,15.82,15.31,66.3,-1.58,K
14/01/2022,15.8,15.18,15.8,15.06,65.2,2.73,K
13/01/2022,15.38,16.11,16.11,15.22,219.1,-5.06,K
12/01/2022,16.2,16.11,16.34,15.5,124.2,3.32,K
11/01/2022,15.68,15.96,16.17,15.08,127.7,0.84,K
10/01/2022,15.55,15.29,15.6,14.6,137.2,2.84,K
07/01/2022,15.12,14.88,15.17,14.4,64.7,4.64,K
06/01/2022,14.45,15.0,15.04,14.21,174.8,-3.22,K
05/01/2022,14.93,16.22,16.22,14.77,312.6,-8.4,K
04/01/2022,16.3,17.25,17.55,15.86,282.0,-4.4,K
03/01/2022,17.05,17.05,17.58,16.51,308.0,0.29,K
30/12/2021,17.0,15.92,17.39,15.85,780.1,10.89,K
29/12/2021,15.33,15.81,16.0,15.31,49.3,-2.67,K
