Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,25.4,25.12,25.78,23.89,6.13,0.43,M
23/02/2022,25.29,27.03,27.45,25.04,9.22,-6.09,M
22/02/2022,26.93,26.0,27.11,25.88,4.91,4.75,M
21/02/2022,25.71,26.4,26.66,25.71,2.52,-2.61,M
18/02/2022,26.4,26.85,27.24,26.4,1.95,-1.49,M
17/02/2022,26.8,27.16,27.45,26.05,3.63,-1.07,M
16/02/2022,27.09,28.13,28.41,26.82,5.93,-3.32,M
15/02/2022,28.02,27.3,28.12,26.9,4.47,2.64,M
14/02/2022,27.3,27.14,28.19,26.9,5.53,0.78,M
11/02/2022,27.09,26.74,28.07,25.62,7.1,1.84,M
10/02/2022,26.6,26.89,27.06,25.79,4.1,-0.89,M
09/02/2022,26.84,26.53,27.69,26.44,4.14,1.51,M
08/02/2022,26.44,25.91,26.88,25.48,4.57,1.85,M
07/02/2022,25.96,25.73,26.56,25.1,3.74,0.5,M
04/02/2022,25.83,26.0,26.27,24.7,4.5,-0.35,M
03/02/2022,25.92,26.43,26.95,25.92,3.01,-1.89,M
02/02/2022,26.42,27.17,27.44,26.19,4.85,-2.4,M
01/02/2022,27.07,29.1,29.66,26.65,5.07,-6.91,M
31/01/2022,29.08,28.75,29.64,28.65,3.02,1.15,M
28/01/2022,28.75,30.09,30.56,28.52,4.01,-4.83,M
27/01/2022,30.21,28.98,30.56,28.72,4.11,5.7,M
26/01/2022,28.58,28.57,29.75,27.99,9.65,1.03,M
25/01/2022,28.29,28.56,29.06,26.95,10.94,-1.6,M
24/01/2022,28.75,30.3,30.67,28.46,2.67,-5.3,M
21/01/2022,30.36,29.9,30.45,29.66,3.4,0.66,M
20/01/2022,30.16,28.6,31.09,28.44,2.93,5.82,M
19/01/2022,28.5,28.92,29.16,28.3,4.56,-0.14,M
18/01/2022,28.54,30.81,30.81,28.52,5.6,-7.88,M
17/01/2022,30.98,32.15,32.19,30.89,1.85,-3.49,M
14/01/2022,32.1,33.14,33.6,31.53,2.06,-3.31,M
13/01/2022,33.2,33.57,33.77,32.65,1.98,-0.75,M
12/01/2022,33.45,32.66,33.68,32.23,1.99,2.67,M
11/01/2022,32.58,31.7,32.71,31.7,1.81,2.78,M
10/01/2022,31.7,32.05,32.18,31.16,2.23,-2.01,M
07/01/2022,32.35,32.33,33.34,31.92,2.53,-0.58,M
06/01/2022,32.54,31.97,33.06,31.34,2.53,1.59,M
05/01/2022,32.03,33.2,33.75,31.75,2.29,-3.84,M
04/01/2022,33.31,34.61,34.62,32.88,2.03,-2.89,M
03/01/2022,34.3,36.76,37.01,34.3,1.93,-7.35,M
30/12/2021,37.02,36.23,37.38,36.21,2.05,1.84,M
29/12/2021,36.35,36.88,37.27,36.01,955.6,-1.09,K
28/12/2021,36.75,36.71,37.09,36.28,991.5,0.27,K
27/12/2021,36.65,36.95,37.22,36.3,1.13,0.3,M
23/12/2021,36.54,37.87,37.87,36.18,1.69,-2.82,M
22/12/2021,37.6,36.8,38.26,36.18,1.86,1.62,M
21/12/2021,37.0,39.16,39.16,34.35,8.32,-4.37,M
20/12/2021,38.69,38.53,39.38,37.88,1.97,-0.49,M
17/12/2021,38.88,37.66,39.13,37.16,2.49,1.57,M
16/12/2021,38.28,38.66,39.15,37.93,1.96,-0.73,M
15/12/2021,38.56,38.25,38.83,37.56,1.94,0.84,M
14/12/2021,38.24,40.33,40.87,38.08,1.98,-3.8,M
13/12/2021,39.75,40.62,40.79,39.71,1.6,-2.14,M
10/12/2021,40.62,39.75,41.1,39.54,1.37,1.96,M
09/12/2021,39.84,40.68,41.15,39.25,1.28,-2.38,M
