Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,22.45,21.06,22.73,20.95,1.55,1.81,M
23/02/2022,22.05,22.22,22.62,22.05,732.8,-0.32,K
22/02/2022,22.12,22.0,22.56,22.0,1.27,1.47,M
21/02/2022,21.8,23.09,23.09,21.8,1.22,-4.6,M
18/02/2022,22.85,22.75,23.12,22.75,1.39,0.31,M
17/02/2022,22.78,22.85,22.98,22.59,901.0,-0.31,K
16/02/2022,22.85,22.87,23.11,22.67,699.5,0.48,K
15/02/2022,22.74,22.43,23.04,22.33,862.1,1.84,K
14/02/2022,22.33,22.13,22.47,21.89,1.19,2.2,M
11/02/2022,21.85,22.21,22.84,21.8,1.48,-1.09,M
10/02/2022,22.09,22.22,22.58,21.98,951.8,-0.27,K
09/02/2022,22.15,21.74,22.35,21.58,1.19,2.4,M
08/02/2022,21.63,21.82,22.12,21.59,1.34,-1.01,M
07/02/2022,21.85,21.63,22.08,21.56,1.71,0.23,M
04/02/2022,21.8,22.35,22.35,21.4,1.31,-2.02,M
03/02/2022,22.25,21.97,22.79,21.77,1.09,0.63,M
02/02/2022,22.11,22.42,22.92,21.91,1.13,-1.38,M
01/02/2022,22.42,22.67,22.79,22.21,1.23,-1.1,M
31/01/2022,22.67,22.29,22.67,22.01,1.19,2.39,M
28/01/2022,22.14,22.06,22.33,21.77,1.15,-0.27,M
27/01/2022,22.2,22.29,22.58,21.78,1.93,1.42,M
26/01/2022,21.89,22.32,22.81,21.77,5.03,-1.04,M
25/01/2022,22.12,20.84,22.26,20.82,1.39,4.88,M
24/01/2022,21.09,21.14,21.34,20.82,1.31,-0.47,M
21/01/2022,21.19,20.84,21.66,20.81,1.84,1.05,M
20/01/2022,20.97,20.02,21.24,20.02,2.41,5.11,M
19/01/2022,19.95,19.52,20.26,19.52,2.01,3.1,M
18/01/2022,19.35,19.36,19.71,19.22,1.09,-0.51,M
17/01/2022,19.45,20.03,20.23,19.36,3.01,-3.04,M
14/01/2022,20.06,20.08,20.23,19.32,3.89,2.29,M
13/01/2022,19.61,19.37,19.76,19.18,1.08,1.29,M
12/01/2022,19.36,18.48,19.56,18.35,1.05,5.33,M
11/01/2022,18.38,17.98,18.59,17.72,1.27,1.66,M
10/01/2022,18.08,18.5,18.5,17.76,1.5,-3.0,M
07/01/2022,18.64,18.77,18.96,18.33,718.6,-1.22,K
06/01/2022,18.87,19.27,19.27,18.56,1.46,-1.51,M
05/01/2022,19.16,20.14,20.2,19.1,1.31,-5.52,M
04/01/2022,20.28,20.89,20.89,20.03,867.5,-1.65,K
03/01/2022,20.62,21.88,21.98,20.48,1.24,-4.8,M
30/12/2021,21.66,21.85,21.85,21.19,1.15,-0.09,M
29/12/2021,21.68,22.26,22.41,21.37,3.02,2.26,M
28/12/2021,21.2,20.82,21.27,20.55,1.06,2.86,M
27/12/2021,20.61,20.46,21.32,20.37,871.1,0.78,K
23/12/2021,20.45,20.76,20.95,20.43,694.5,-1.64,K
22/12/2021,20.79,20.6,21.13,20.51,893.3,-0.19,K
21/12/2021,20.83,21.01,21.15,20.5,1.34,-0.33,M
20/12/2021,20.9,21.53,21.68,20.9,1.16,-4.39,M
17/12/2021,21.86,21.14,22.11,20.78,1.59,2.44,M
16/12/2021,21.34,21.72,21.74,21.1,1.06,-0.74,M
15/12/2021,21.5,21.21,21.64,20.85,1.13,1.08,M
14/12/2021,21.27,22.11,22.35,21.14,814.4,-3.76,K
13/12/2021,22.1,22.29,22.48,21.74,2.54,-0.5,M
10/12/2021,22.21,21.4,22.25,21.37,1.35,5.11,M
09/12/2021,21.13,21.46,21.72,20.87,970.9,-2.27,K
08/12/2021,21.62,20.55,21.73,20.36,3.98,4.95,M
07/12/2021,20.6,21.5,21.68,20.53,1.08,-3.51,M
06/12/2021,21.35,20.91,21.6,20.34,1.14,2.15,M
03/12/2021,20.9,20.49,21.56,20.49,2.1,2.2,M
02/12/2021,20.45,19.9,20.46,19.37,2.08,4.23,M
01/12/2021,19.62,20.75,21.11,19.51,2.76,-4.57,M
30/11/2021,20.56,20.52,20.83,19.86,1.45,-1.3,M
29/11/2021,20.83,21.5,21.5,20.66,1.06,-0.33,M
26/11/2021,20.9,21.5,21.5,20.63,1.53,-6.19,M
25/11/2021,22.28,22.09,22.47,21.95,820.8,2.53,K
24/11/2021,21.73,21.56,22.13,21.45,980.4,0.14,K
23/11/2021,21.7,21.95,21.98,21.2,836.7,-0.6,K
22/11/2021,21.83,22.47,22.66,21.64,1.13,-2.33,M
19/11/2021,22.35,22.0,22.58,21.89,920.0,1.68,K
18/11/2021,21.98,21.82,22.39,21.72,1.12,1.06,M
17/11/2021,21.75,22.24,22.5,21.29,2.01,-1.54,M
