Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,25.92,25.44,25.98,25.29,1.1,0.0,M
23/02/2022,25.92,25.6,26.35,25.6,1.13,1.29,M
22/02/2022,25.59,24.92,25.59,24.92,632.4,2.73,K
21/02/2022,24.91,25.18,25.38,24.89,570.7,-1.15,K
18/02/2022,25.2,24.99,25.37,24.99,494.9,0.96,K
17/02/2022,24.96,25.03,25.18,24.89,575.6,-0.28,K
16/02/2022,25.03,25.25,25.49,24.94,528.2,-0.87,K
15/02/2022,25.25,25.12,25.38,24.8,506.7,0.92,K
14/02/2022,25.02,25.11,25.18,24.92,465.2,-0.4,K
11/02/2022,25.12,25.2,25.4,24.81,741.8,0.08,K
10/02/2022,25.1,25.03,25.21,24.93,392.6,0.4,K
09/02/2022,25.0,24.89,25.05,24.8,775.6,0.4,K
08/02/2022,24.9,25.0,25.17,24.8,761.1,-0.32,K
07/02/2022,24.98,25.13,25.28,24.98,474.8,-1.15,K
04/02/2022,25.27,25.25,25.35,25.04,401.3,-0.51,K
03/02/2022,25.4,25.13,25.47,25.1,450.1,1.11,K
02/02/2022,25.12,25.12,25.21,24.94,494.8,0.04,K
01/02/2022,25.11,25.53,25.62,24.87,839.8,-1.3,K
31/01/2022,25.44,25.15,25.68,25.01,647.0,1.76,K
28/01/2022,25.0,24.75,25.19,24.71,908.9,0.64,K
27/01/2022,24.84,24.62,24.85,24.58,461.3,1.06,K
26/01/2022,24.58,24.98,24.99,24.27,1.12,-0.08,M
25/01/2022,24.6,24.37,24.72,24.33,964.3,0.45,K
24/01/2022,24.49,24.71,24.82,24.21,816.0,-1.09,K
21/01/2022,24.76,24.38,24.83,24.21,805.0,1.56,K
20/01/2022,24.38,23.77,24.39,23.74,1.18,2.57,M
19/01/2022,23.77,23.82,23.98,23.55,572.4,0.38,K
18/01/2022,23.68,23.84,23.9,23.5,795.9,-0.96,K
17/01/2022,23.91,23.75,23.91,23.55,345.6,0.63,K
14/01/2022,23.76,23.69,23.76,23.59,530.4,0.3,K
13/01/2022,23.69,23.73,23.83,23.56,491.6,0.13,K
12/01/2022,23.66,23.42,24.1,23.42,993.3,0.55,K
11/01/2022,23.53,23.35,23.73,23.26,558.4,0.77,K
10/01/2022,23.35,23.55,23.55,23.17,760.4,-1.02,K
07/01/2022,23.59,23.37,23.72,23.14,771.6,0.94,K
06/01/2022,23.37,23.44,23.76,23.09,1.0,-0.43,M
