Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.13,2.94,3.13,2.84,9.04,2.29,M
23/02/2022,3.06,3.08,3.28,3.03,8.18,-0.33,M
22/02/2022,3.07,3.2,3.22,3.07,7.72,-2.54,M
21/02/2022,3.15,3.4,3.43,3.13,3.75,-6.8,M
18/02/2022,3.38,3.34,3.4,3.26,4.29,2.42,M
17/02/2022,3.3,3.45,3.48,3.3,3.59,-5.17,M
16/02/2022,3.48,3.42,3.5,3.36,5.04,1.75,M
15/02/2022,3.42,3.1,3.44,3.09,11.52,11.04,M
14/02/2022,3.08,3.14,3.17,3.06,4.05,-0.96,M
11/02/2022,3.11,3.24,3.29,3.09,7.17,-3.72,M
10/02/2022,3.23,3.17,3.3,3.12,5.54,1.89,M
09/02/2022,3.17,3.23,3.3,3.13,5.72,-1.55,M
08/02/2022,3.22,3.11,3.23,3.02,5.2,3.54,M
07/02/2022,3.11,3.21,3.25,3.09,6.56,-3.42,M
04/02/2022,3.22,3.37,3.42,3.17,6.15,-4.17,M
03/02/2022,3.36,3.56,3.58,3.36,3.86,-3.72,M
02/02/2022,3.49,3.56,3.62,3.45,3.97,-1.69,M
01/02/2022,3.55,3.57,3.69,3.5,3.64,-0.28,M
31/01/2022,3.56,3.43,3.61,3.36,5.24,4.71,M
28/01/2022,3.4,3.42,3.52,3.34,4.21,-1.45,M
27/01/2022,3.45,3.42,3.53,3.41,6.55,2.07,M
26/01/2022,3.38,3.3,3.47,3.29,9.19,3.36,M
25/01/2022,3.27,3.14,3.28,3.11,10.74,3.15,M
24/01/2022,3.17,3.25,3.29,3.07,5.8,-3.35,M
21/01/2022,3.28,3.15,3.35,3.15,6.23,2.5,M
20/01/2022,3.2,3.04,3.25,3.04,11.79,7.02,M
19/01/2022,2.99,2.92,3.16,2.9,9.58,3.82,M
18/01/2022,2.88,3.0,3.02,2.88,6.39,-4.64,M
17/01/2022,3.02,3.04,3.08,2.99,4.49,-0.33,M
14/01/2022,3.03,3.11,3.18,3.03,5.39,-3.5,M
13/01/2022,3.14,3.18,3.24,3.11,2.95,-2.48,M
12/01/2022,3.22,3.09,3.25,3.08,5.39,4.21,M
11/01/2022,3.09,3.01,3.18,3.01,6.1,1.98,M
10/01/2022,3.03,3.05,3.1,2.97,5.18,-0.98,M
07/01/2022,3.06,3.14,3.23,3.02,9.13,-2.55,M
06/01/2022,3.14,3.18,3.25,3.09,4.98,-0.95,M
05/01/2022,3.17,3.37,3.48,3.16,7.65,-6.49,M
04/01/2022,3.39,3.58,3.62,3.37,3.65,-5.04,M
03/01/2022,3.57,3.84,3.84,3.55,4.66,-6.05,M
30/12/2021,3.8,3.6,3.84,3.57,9.61,6.44,M
29/12/2021,3.57,3.74,3.77,3.56,4.13,-4.03,M
28/12/2021,3.72,3.87,3.87,3.68,3.97,-3.12,M
27/12/2021,3.84,3.67,3.86,3.65,4.33,5.49,M
23/12/2021,3.64,3.75,3.76,3.6,3.52,-2.15,M
22/12/2021,3.72,3.69,3.75,3.63,3.56,1.64,M
21/12/2021,3.66,3.83,3.84,3.63,3.89,-2.66,M
20/12/2021,3.76,3.73,3.82,3.64,3.93,-1.31,M
17/12/2021,3.81,3.63,3.86,3.54,5.94,3.25,M
