Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,34.48,33.23,35.0,32.21,624.8,-0.29,K
23/02/2022,34.58,35.0,36.67,34.58,464.1,-0.49,K
22/02/2022,34.75,34.44,35.58,34.38,376.2,1.61,K
21/02/2022,34.2,35.31,35.52,33.88,703.5,-3.31,K
18/02/2022,35.37,36.18,36.29,35.37,374.1,-1.42,K
17/02/2022,35.88,36.0,36.4,35.27,450.2,-0.91,K
16/02/2022,36.21,37.52,37.59,35.7,1.06,-2.58,M
15/02/2022,37.17,36.7,37.66,36.45,572.9,1.86,K
14/02/2022,36.49,36.82,37.82,36.2,463.4,-1.38,K
11/02/2022,37.0,39.02,39.19,36.98,733.1,-4.49,K
10/02/2022,38.74,38.95,39.67,38.42,374.9,-0.46,K
09/02/2022,38.92,38.4,39.68,38.28,339.4,1.2,K
08/02/2022,38.46,39.39,39.5,38.38,360.8,-2.56,K
07/02/2022,39.47,38.07,39.94,37.94,534.5,3.05,K
04/02/2022,38.3,39.4,39.54,37.75,958.0,-2.54,K
03/02/2022,39.3,40.91,41.47,38.7,877.2,-3.2,K
02/02/2022,40.6,40.09,41.4,40.09,649.9,1.22,K
01/02/2022,40.11,39.55,40.44,39.44,679.8,1.57,K
31/01/2022,39.49,38.96,40.32,38.76,798.7,1.26,K
28/01/2022,39.0,38.32,39.35,37.75,1.27,1.17,M
27/01/2022,38.55,38.8,39.29,37.7,625.7,-0.05,K
26/01/2022,38.57,36.81,38.95,36.7,1.29,5.76,M
25/01/2022,36.47,35.05,36.89,34.81,426.7,3.34,K
24/01/2022,35.29,35.77,35.78,34.27,527.9,-1.56,K
21/01/2022,35.85,35.93,36.56,35.37,526.3,-0.69,K
20/01/2022,36.1,34.43,36.21,34.32,809.7,5.52,K
19/01/2022,34.21,34.35,34.79,33.84,674.8,0.8,K
18/01/2022,33.94,34.91,35.0,33.42,994.8,-3.03,K
17/01/2022,35.0,36.24,36.76,34.17,941.2,-3.18,K
14/01/2022,36.15,36.05,36.49,35.49,478.3,-0.44,K
13/01/2022,36.31,37.09,37.32,35.91,400.2,-2.84,K
12/01/2022,37.37,36.8,38.25,36.18,543.0,1.47,K
11/01/2022,36.83,34.7,37.03,34.68,971.7,7.78,K
10/01/2022,34.17,34.61,34.69,33.12,1.53,-2.71,M
07/01/2022,35.12,34.85,35.95,34.25,685.8,0.54,K
06/01/2022,34.93,36.03,36.11,34.67,819.1,-3.05,K
05/01/2022,36.03,37.99,38.95,35.67,1.42,-5.01,M
04/01/2022,37.93,41.21,41.38,37.77,1.6,-8.05,M
03/01/2022,41.25,42.46,42.61,40.41,914.2,-2.2,K
30/12/2021,42.18,40.54,42.3,39.86,781.1,4.93,K
29/12/2021,40.2,40.89,41.44,39.48,565.6,-1.66,K
28/12/2021,40.88,41.2,42.45,40.27,477.1,-0.78,K
27/12/2021,41.2,40.5,41.67,40.0,604.7,0.98,K
23/12/2021,40.8,41.4,41.72,40.5,276.2,-1.35,K
22/12/2021,41.36,42.19,42.78,40.95,457.5,-1.99,K
21/12/2021,42.2,41.95,42.41,40.74,419.7,2.03,K
20/12/2021,41.36,42.0,42.0,40.87,741.5,-3.32,K
17/12/2021,42.78,41.28,42.78,40.32,1.07,2.76,M
16/12/2021,41.63,41.95,44.07,41.23,1.2,0.48,M
15/12/2021,41.43,41.41,41.57,39.69,617.8,2.6,K
14/12/2021,40.38,42.1,42.51,39.61,990.9,-3.63,K
13/12/2021,41.9,42.93,43.2,41.47,442.9,-1.43,K
10/12/2021,42.51,42.46,42.85,41.68,504.6,1.46,K
09/12/2021,41.9,42.44,42.99,41.29,480.1,-2.01,K
08/12/2021,42.76,41.9,43.26,41.16,764.7,2.86,K
07/12/2021,41.57,41.35,42.33,41.22,679.4,2.09,K
06/12/2021,40.72,40.7,41.19,39.63,861.3,1.12,K
03/12/2021,40.27,37.71,40.55,37.71,1.64,7.04,M
02/12/2021,37.62,37.86,38.81,36.9,2.07,0.88,M
01/12/2021,37.29,40.16,40.91,36.92,1.52,-5.45,M
30/11/2021,39.44,42.13,42.41,38.15,2.15,-8.07,M
29/11/2021,42.9,43.52,44.48,41.91,1.13,0.35,M
26/11/2021,42.75,44.8,45.39,41.85,1.98,-8.83,M
25/11/2021,46.89,45.99,48.5,45.96,1.23,2.36,M
24/11/2021,45.81,44.29,46.08,43.74,922.4,2.48,K
23/11/2021,44.7,45.0,45.42,43.28,1.02,-0.2,M
