Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,30.2,28.11,30.61,27.51,7.52,1.72,M
23/02/2022,29.69,30.15,32.24,29.53,12.4,-0.34,M
22/02/2022,29.79,31.52,31.66,29.79,10.64,-5.4,M
21/02/2022,31.49,32.5,32.6,31.35,4.61,-6.61,M
18/02/2022,33.72,34.6,34.81,33.33,3.37,-1.63,M
17/02/2022,34.28,35.6,36.18,33.92,4.51,-3.27,M
16/02/2022,35.44,35.96,36.35,35.3,4.66,-1.17,M
15/02/2022,35.86,34.09,35.96,34.09,6.68,6.35,M
14/02/2022,33.72,32.56,34.07,32.3,4.19,3.63,M
11/02/2022,32.54,33.97,34.18,32.0,6.53,-4.15,M
10/02/2022,33.95,34.07,34.66,33.4,7.31,-0.24,M
09/02/2022,34.03,33.22,34.29,33.08,4.6,2.28,M
08/02/2022,33.27,32.07,33.53,31.12,6.67,3.32,M
07/02/2022,32.2,32.3,32.76,31.73,3.89,0.16,M
04/02/2022,32.15,32.16,32.21,30.53,7.01,0.47,M
03/02/2022,32.0,31.36,32.37,30.67,6.72,2.53,M
02/02/2022,31.21,31.33,32.44,30.58,7.3,0.39,M
01/02/2022,31.09,31.52,32.0,30.47,7.6,0.55,M
31/01/2022,30.92,30.72,31.39,30.5,6.94,0.96,M
28/01/2022,30.63,32.62,32.62,30.59,10.27,-6.15,M
27/01/2022,32.63,33.82,33.82,32.52,7.35,-1.73,M
26/01/2022,33.21,34.68,35.13,32.99,9.61,-3.51,M
25/01/2022,34.42,32.92,34.42,32.29,10.06,3.01,M
24/01/2022,33.41,34.22,34.34,32.69,10.13,-2.0,M
21/01/2022,34.1,33.25,34.61,32.7,23.77,2.31,M
20/01/2022,33.33,32.39,34.19,32.18,10.12,2.95,M
19/01/2022,32.37,29.99,32.92,29.95,11.55,9.9,M
18/01/2022,29.46,29.5,30.39,28.92,3.95,-0.85,M
17/01/2022,29.71,29.53,30.16,29.2,2.73,0.53,M
14/01/2022,29.55,28.78,29.83,28.32,4.27,2.43,M
13/01/2022,28.85,28.55,28.98,28.01,5.84,0.37,M
12/01/2022,28.74,27.36,29.3,27.19,9.98,5.1,M
11/01/2022,27.35,26.33,27.96,26.19,9.31,3.35,M
10/01/2022,26.46,26.62,27.24,25.78,11.83,-2.02,M
07/01/2022,27.01,28.18,28.27,26.72,7.86,-5.33,M
06/01/2022,28.53,28.06,28.72,27.32,4.77,2.24,M
05/01/2022,27.91,29.24,29.33,27.74,5.45,-4.47,M
04/01/2022,29.21,30.26,31.17,29.1,5.44,-3.42,M
03/01/2022,30.25,30.53,30.85,28.58,7.64,-1.77,M
30/12/2021,30.79,30.32,31.96,30.25,10.64,1.81,M
29/12/2021,30.25,30.25,30.89,29.76,2.73,-0.03,M
28/12/2021,30.26,31.23,31.48,30.08,3.09,-2.73,M
27/12/2021,31.1,29.96,31.74,29.89,4.05,3.81,M
23/12/2021,29.96,29.83,30.41,28.94,2.79,0.36,M
22/12/2021,29.86,30.32,30.75,29.52,3.34,-0.58,M
21/12/2021,30.03,30.83,30.92,28.94,5.09,-0.93,M
20/12/2021,30.31,29.55,31.0,29.55,3.39,-0.73,M
17/12/2021,30.54,29.68,31.26,29.16,8.49,0.32,M
16/12/2021,30.44,27.94,31.13,27.9,18.25,8.93,M
15/12/2021,27.94,26.13,28.2,25.14,11.83,7.46,M
14/12/2021,26.0,27.06,27.25,25.76,7.23,-2.02,M
13/12/2021,26.54,28.08,28.47,26.54,6.01,-4.49,M
10/12/2021,27.79,27.96,28.56,27.25,5.69,1.89,M
09/12/2021,27.27,29.45,29.74,27.09,7.09,-8.56,M
08/12/2021,29.83,29.06,30.1,27.66,7.62,2.65,M
07/12/2021,29.06,29.46,29.8,28.67,5.94,-0.1,M
06/12/2021,29.09,27.5,29.23,27.07,6.92,7.26,M
