Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,7.41,7.01,7.5,6.92,2.94,2.49,M
23/02/2022,7.23,7.25,7.46,7.19,1.52,-0.28,M
22/02/2022,7.25,7.16,7.37,7.08,1.78,2.84,M
21/02/2022,7.05,7.27,7.4,6.97,2.26,-3.42,M
18/02/2022,7.3,7.39,7.48,7.23,1.81,-0.27,M
17/02/2022,7.32,7.61,7.67,7.28,4.42,-4.44,M
16/02/2022,7.66,7.65,7.76,7.4,4.15,0.52,M
15/02/2022,7.62,7.99,8.37,7.56,6.65,-3.67,M
14/02/2022,7.91,7.8,8.08,7.75,1.0,1.15,M
11/02/2022,7.82,8.18,8.33,7.82,1.75,-3.93,M
10/02/2022,8.14,8.11,8.29,7.98,1.15,0.37,M
09/02/2022,8.11,8.07,8.27,8.01,913.3,0.87,K
08/02/2022,8.04,8.05,8.24,7.89,922.5,0.37,K
07/02/2022,8.01,8.04,8.17,7.83,1.55,-0.74,M
04/02/2022,8.07,8.3,8.36,7.79,2.47,-2.77,M
03/02/2022,8.3,8.38,8.52,8.16,1.74,-0.95,M
02/02/2022,8.38,8.67,8.74,8.29,1.81,-3.57,M
01/02/2022,8.69,8.83,9.02,8.62,2.83,-1.59,M
31/01/2022,8.83,8.34,8.88,8.28,2.67,6.13,M
28/01/2022,8.32,8.29,8.41,8.19,1.51,-0.36,M
27/01/2022,8.35,8.19,8.44,8.14,2.33,2.83,M
26/01/2022,8.12,7.77,8.35,7.74,3.83,4.91,M
25/01/2022,7.74,7.3,7.78,7.28,3.07,5.16,M
24/01/2022,7.36,7.56,7.58,7.19,2.99,-2.9,M
21/01/2022,7.58,7.4,7.64,7.35,3.22,2.02,M
20/01/2022,7.43,6.86,7.54,6.82,5.33,8.31,M
19/01/2022,6.86,6.87,7.13,6.75,3.24,0.44,M
18/01/2022,6.83,6.94,7.14,6.8,3.45,-1.3,M
17/01/2022,6.92,6.92,7.15,6.92,2.13,-0.86,M
14/01/2022,6.98,6.82,7.03,6.62,2.09,1.9,M
13/01/2022,6.85,6.91,7.04,6.78,2.39,-1.72,M
12/01/2022,6.97,6.78,7.21,6.66,3.25,2.2,M
11/01/2022,6.82,6.7,6.88,6.57,2.49,1.64,M
10/01/2022,6.71,7.04,7.04,6.63,2.66,-5.49,M
07/01/2022,7.1,7.07,7.24,6.96,5.19,-0.14,M
