Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,15.18,14.45,15.18,14.07,618.4,1.2,K
23/02/2022,15.0,15.87,16.54,14.91,570.6,-5.06,K
22/02/2022,15.8,15.64,16.61,15.4,1.28,1.09,M
21/02/2022,15.63,16.95,16.97,15.48,850.6,-7.79,K
18/02/2022,16.95,18.4,18.47,16.6,1.23,-7.22,M
17/02/2022,18.27,20.2,20.54,18.27,929.9,-8.33,K
16/02/2022,19.93,21.19,21.31,19.93,885.5,-4.87,K
15/02/2022,20.95,20.54,21.38,20.52,356.3,2.2,K
14/02/2022,20.5,20.64,21.08,20.3,288.4,-0.05,K
11/02/2022,20.51,21.39,21.39,20.28,534.3,-2.98,K
10/02/2022,21.14,21.13,21.49,20.57,293.0,0.38,K
09/02/2022,21.06,20.66,21.5,20.66,360.0,0.96,K
08/02/2022,20.86,20.8,21.49,20.37,299.9,-0.19,K
07/02/2022,20.9,20.75,20.9,20.13,471.3,0.34,K
04/02/2022,20.83,22.4,22.4,20.43,738.6,-5.53,K
03/02/2022,22.05,22.27,22.95,21.96,2.64,-1.56,M
02/02/2022,22.4,22.38,22.78,21.73,889.1,0.27,K
01/02/2022,22.34,21.5,22.49,20.9,780.5,4.1,K
31/01/2022,21.46,19.72,21.48,19.72,671.0,7.52,K
28/01/2022,19.96,20.38,20.77,19.74,595.3,-4.59,K
27/01/2022,20.92,20.22,21.07,19.99,397.5,4.13,K
26/01/2022,20.09,20.85,21.91,19.75,790.3,-3.55,K
25/01/2022,20.83,21.41,21.74,20.41,586.0,-1.14,K
24/01/2022,21.07,21.03,21.27,20.21,193.2,0.19,K
21/01/2022,21.03,21.31,21.72,20.67,405.9,-2.5,K
20/01/2022,21.57,20.83,21.93,20.64,416.4,4.15,K
19/01/2022,20.71,20.34,21.3,20.16,342.1,2.22,K
18/01/2022,20.26,21.67,21.73,20.06,312.9,-6.81,K
17/01/2022,21.74,21.92,22.46,21.7,146.9,-1.54,K
14/01/2022,22.08,21.74,22.08,20.48,290.6,2.75,K
13/01/2022,21.49,21.76,22.07,21.16,192.4,-1.01,K
12/01/2022,21.71,19.74,22.1,19.74,598.6,9.37,K
11/01/2022,19.85,19.86,20.15,19.22,464.9,0.35,K
10/01/2022,19.78,20.2,20.21,19.07,450.0,-3.04,K
07/01/2022,20.4,20.3,20.75,19.85,664.6,-0.05,K
06/01/2022,20.41,20.83,21.25,20.17,907.8,-3.18,K
05/01/2022,21.08,22.53,22.98,20.9,637.0,-7.75,K
04/01/2022,22.85,24.44,24.44,22.53,746.0,-5.34,K
03/01/2022,24.14,26.25,26.82,23.68,757.7,-7.83,K
30/12/2021,26.19,27.03,27.75,26.1,3.76,-0.8,M
29/12/2021,26.4,26.09,27.61,26.09,1.07,0.0,M
28/12/2021,26.4,25.5,26.61,25.34,267.8,1.77,K
27/12/2021,25.94,26.22,26.86,25.46,411.2,-0.08,K
23/12/2021,25.96,25.47,26.13,25.12,326.1,2.0,K
22/12/2021,25.45,24.76,25.82,24.54,1.52,1.6,M
21/12/2021,25.05,24.42,25.34,23.94,368.1,2.96,K
20/12/2021,24.33,23.32,24.8,23.16,499.4,2.36,K
17/12/2021,23.77,25.1,25.47,23.3,3.13,-4.54,M
16/12/2021,24.9,25.9,26.35,24.68,410.3,-5.0,K
15/12/2021,26.21,25.98,26.69,25.22,353.8,0.89,K
14/12/2021,25.98,25.8,26.7,25.76,456.5,-1.52,K
13/12/2021,26.38,25.3,26.42,25.21,455.8,4.27,K
10/12/2021,25.3,24.44,25.91,23.68,668.9,5.11,K
09/12/2021,24.07,22.42,24.35,22.01,1.05,6.27,M
08/12/2021,22.65,22.09,23.08,21.86,477.0,2.95,K
07/12/2021,22.0,21.79,22.18,21.61,364.6,1.29,K
06/12/2021,21.72,21.77,22.28,21.6,287.9,-0.37,K
03/12/2021,21.8,20.89,22.14,20.89,437.9,4.96,K
02/12/2021,20.77,21.28,21.4,20.03,1.04,0.58,M
01/12/2021,20.65,21.89,22.22,20.14,1.26,-4.62,M
30/11/2021,21.65,23.0,23.65,21.2,4.43,-5.87,M
29/11/2021,23.0,22.02,23.46,21.72,883.9,5.65,K
26/11/2021,21.77,23.73,23.73,21.63,920.1,-10.3,K
25/11/2021,24.27,24.31,24.75,23.77,311.4,0.12,K
24/11/2021,24.24,24.21,24.65,23.71,321.4,-1.06,K
23/11/2021,24.5,24.95,25.21,23.95,762.1,-1.8,K
22/11/2021,24.95,25.78,25.94,24.75,665.4,-2.92,K
19/11/2021,25.7,24.79,26.06,24.61,604.2,4.05,K
18/11/2021,24.7,23.84,24.98,23.84,473.2,4.18,K
17/11/2021,23.71,24.2,25.51,23.71,551.8,-1.21,K
16/11/2021,24.0,26.55,26.96,23.57,708.9,-10.48,K
12/11/2021,26.81,26.96,27.26,26.48,481.5,0.56,K
11/11/2021,26.66,25.63,26.94,25.58,451.6,4.34,K
10/11/2021,25.55,25.73,26.43,25.06,537.1,-1.2,K
09/11/2021,25.86,25.61,26.0,25.2,324.9,1.02,K
08/11/2021,25.6,25.3,26.0,25.1,459.7,-0.62,K
05/11/2021,25.76,24.69,25.76,24.69,767.2,5.1,K
04/11/2021,24.51,21.9,25.22,21.9,969.4,12.02,K
03/11/2021,21.88,20.72,22.38,20.72,565.2,6.06,K
01/11/2021,20.63,20.16,20.93,19.59,510.3,3.15,K
29/10/2021,20.0,20.4,20.6,19.8,647.8,-1.14,K
28/10/2021,20.23,19.9,20.56,19.72,402.6,0.15,K
27/10/2021,20.2,20.41,20.55,19.9,1.67,-1.03,M
26/10/2021,20.41,21.14,21.15,20.35,771.7,-5.11,K
25/10/2021,21.51,20.93,21.6,20.72,309.4,3.41,K
22/10/2021,20.8,21.6,21.76,19.94,1.31,-5.45,M
21/10/2021,22.0,22.34,22.41,21.68,910.4,-3.72,K
20/10/2021,22.85,23.45,23.5,22.58,887.5,-2.77,K
19/10/2021,23.5,23.65,23.72,23.08,1.13,-1.67,M
18/10/2021,23.9,24.05,24.15,23.64,627.0,-1.24,K
15/10/2021,24.2,24.2,25.26,24.04,771.1,0.04,K
14/10/2021,24.19,23.14,24.3,22.98,460.7,3.78,K
13/10/2021,23.31,23.37,23.93,22.56,774.2,-1.65,K
11/10/2021,23.7,22.47,24.15,22.25,530.7,6.52,K
08/10/2021,22.25,21.2,22.74,21.2,635.9,4.95,K
07/10/2021,21.2,20.48,21.2,20.45,295.8,3.67,K
06/10/2021,20.45,19.87,20.45,19.7,341.4,1.74,K
05/10/2021,20.1,20.09,20.4,19.86,1.13,-0.99,M
04/10/2021,20.3,20.18,20.54,19.6,1.03,0.15,M
01/10/2021,20.27,19.12,20.27,19.01,534.2,4.81,K
30/09/2021,19.34,19.12,19.71,18.83,589.0,1.74,K
29/09/2021,19.01,19.88,20.14,19.01,394.1,-3.7,K
28/09/2021,19.74,20.25,20.25,19.3,366.1,-4.17,K
27/09/2021,20.6,20.25,20.6,19.83,687.4,0.83,K
24/09/2021,20.43,19.75,20.43,19.44,1.14,3.5,M
23/09/2021,19.74,19.72,20.0,19.3,510.2,1.23,K
22/09/2021,19.5,19.68,20.01,19.39,226.4,0.93,K
21/09/2021,19.32,19.14,19.9,18.84,438.3,-0.1,K
20/09/2021,19.34,19.8,19.8,18.01,1.1,-4.49,M
17/09/2021,20.25,19.98,20.25,19.68,328.0,-0.93,K
16/09/2021,20.44,20.62,20.7,19.8,301.8,-1.73,K
15/09/2021,20.8,20.89,21.08,20.6,268.4,-0.48,K
14/09/2021,20.9,20.85,21.21,20.75,513.0,-0.9,K
13/09/2021,21.09,21.4,21.4,20.5,533.3,0.96,K
10/09/2021,20.89,21.3,21.6,20.36,504.2,-1.04,K
09/09/2021,21.11,20.65,21.96,19.94,624.4,2.23,K
08/09/2021,20.65,20.73,21.5,20.38,2.15,-1.1,M
06/09/2021,20.88,19.84,20.88,19.83,660.1,3.73,K
03/09/2021,20.13,19.52,20.13,19.06,487.7,1.67,K
02/09/2021,19.8,19.9,20.66,19.66,257.9,-2.61,K
01/09/2021,20.33,20.0,20.78,19.89,254.3,-1.02,K
31/08/2021,20.54,20.56,21.0,19.98,327.2,-1.82,K
