Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,81.86,80.0,82.74,77.52,716.1,-0.69,K
23/02/2022,82.43,82.8,84.93,82.35,1.15,0.05,M
22/02/2022,82.39,80.57,83.27,80.57,1.12,3.36,M
21/02/2022,79.71,83.55,83.56,79.57,672.0,-4.19,K
18/02/2022,83.2,84.03,84.98,82.8,843.0,-0.68,K
17/02/2022,83.77,85.0,86.14,83.77,851.4,-1.91,K
16/02/2022,85.4,87.21,87.53,84.44,788.2,-1.95,K
15/02/2022,87.1,84.24,87.1,84.24,1.18,3.84,M
14/02/2022,83.88,83.56,87.12,83.14,1.15,0.38,M
11/02/2022,83.56,84.47,85.34,81.73,1.53,-1.04,M
10/02/2022,84.44,82.1,84.98,81.44,1.63,2.94,M
09/02/2022,82.03,81.6,83.09,80.64,1.01,1.0,M
08/02/2022,81.22,81.04,81.9,79.44,1.2,-0.16,M
07/02/2022,81.35,82.12,82.33,79.22,1.7,-1.15,M
04/02/2022,82.3,82.93,83.7,81.5,2.14,-0.83,M
03/02/2022,82.99,82.0,83.35,80.39,1.33,1.21,M
02/02/2022,82.0,81.01,82.77,79.16,1.4,1.08,M
01/02/2022,81.12,81.46,82.85,79.94,955.9,-0.82,K
31/01/2022,81.79,79.15,81.79,78.62,1.53,3.43,M
28/01/2022,79.08,79.79,80.67,77.08,1.54,-0.74,M
27/01/2022,79.67,81.93,84.72,78.0,2.21,-2.73,M
26/01/2022,81.91,78.38,84.26,77.76,2.32,5.42,M
25/01/2022,77.7,73.67,78.16,73.35,963.7,4.83,K
24/01/2022,74.12,75.15,75.45,73.51,810.2,-1.76,K
21/01/2022,75.45,74.24,75.88,72.9,1.23,1.32,M
20/01/2022,74.47,70.99,75.06,70.02,1.5,5.78,M
19/01/2022,70.4,67.64,70.76,67.53,815.1,5.25,K
18/01/2022,66.89,67.7,67.72,66.48,526.4,-1.2,K
17/01/2022,67.7,68.03,68.71,67.0,607.9,-0.53,K
14/01/2022,68.06,68.15,68.29,66.62,702.7,-0.47,K
13/01/2022,68.38,68.65,68.91,67.18,773.6,-0.41,K
12/01/2022,68.66,66.59,69.7,65.79,1.02,3.11,M
11/01/2022,66.59,64.59,66.68,64.02,837.2,2.79,K
10/01/2022,64.78,66.84,67.32,63.39,1.18,-3.9,M
07/01/2022,67.41,68.08,68.85,66.53,487.5,-0.79,K
06/01/2022,67.95,66.62,68.34,64.59,1.94,1.83,M
05/01/2022,66.73,69.81,70.04,65.91,1.65,-4.81,M
04/01/2022,70.1,72.86,72.86,69.85,771.2,-2.95,K
03/01/2022,72.23,78.0,78.0,72.0,1.08,-5.91,M
30/12/2021,76.77,74.41,76.77,74.24,594.8,3.21,K
29/12/2021,74.38,75.22,75.52,73.81,446.8,-0.96,K
28/12/2021,75.1,74.7,75.99,74.29,428.4,0.25,K
27/12/2021,74.91,74.17,75.99,73.89,406.6,1.0,K
23/12/2021,74.17,75.44,75.44,73.76,399.3,-0.58,K
22/12/2021,74.6,74.85,75.96,74.24,627.4,0.61,K
21/12/2021,74.15,74.64,75.3,73.0,645.8,-0.8,K
20/12/2021,74.75,75.99,76.19,73.52,848.9,-1.81,K
17/12/2021,76.13,76.16,77.44,75.55,700.9,-1.25,K
16/12/2021,77.09,79.95,79.98,76.73,1.17,-2.55,M
15/12/2021,79.11,76.49,79.11,74.34,1.11,4.31,M
14/12/2021,75.84,77.68,79.78,75.43,1.07,-2.37,M
13/12/2021,77.68,78.5,78.82,76.45,786.9,-0.35,K
10/12/2021,77.95,76.6,78.86,75.24,873.0,3.01,K
