Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,13.54,12.99,13.65,12.78,6.6,1.58,M
23/02/2022,13.33,13.1,13.47,13.1,5.6,1.76,M
22/02/2022,13.1,12.71,13.22,12.65,15.42,5.14,M
21/02/2022,12.46,12.7,12.85,12.27,4.72,-1.89,M
18/02/2022,12.7,13.4,13.43,12.7,11.59,-4.15,M
17/02/2022,13.25,13.04,13.55,13.04,10.36,1.53,M
16/02/2022,13.05,12.2,13.23,12.1,21.49,7.14,M
15/02/2022,12.18,12.48,12.51,12.07,11.33,-1.22,M
14/02/2022,12.33,12.34,12.53,12.18,5.45,-0.08,M
11/02/2022,12.34,12.75,12.78,12.29,7.32,-2.68,M
10/02/2022,12.68,12.51,12.87,12.44,4.31,0.56,M
09/02/2022,12.61,12.51,12.86,12.47,9.06,0.8,M
08/02/2022,12.51,12.71,12.77,12.38,8.0,-2.04,M
07/02/2022,12.77,12.87,13.19,12.77,7.21,-1.01,M
04/02/2022,12.9,12.47,12.9,12.1,17.68,3.2,M
03/02/2022,12.5,12.6,12.78,12.45,8.8,0.0,M
02/02/2022,12.5,12.58,12.85,12.36,9.44,-0.64,M
01/02/2022,12.58,12.49,12.66,12.38,5.99,0.4,M
31/01/2022,12.53,12.36,12.69,12.31,12.07,1.21,M
28/01/2022,12.38,12.5,12.6,11.98,14.92,-1.35,M
27/01/2022,12.55,12.41,12.7,12.21,13.76,2.2,M
26/01/2022,12.28,12.36,12.78,12.28,11.05,-0.16,M
25/01/2022,12.3,11.96,12.44,11.49,40.43,2.16,M
24/01/2022,12.04,12.0,12.18,11.85,6.55,0.17,M
21/01/2022,12.02,11.9,12.17,11.74,8.54,0.59,M
20/01/2022,11.95,12.1,12.24,11.89,7.37,-0.67,M
19/01/2022,12.03,11.95,12.24,11.95,5.07,0.92,M
18/01/2022,11.92,12.01,12.03,11.82,7.77,-0.75,M
17/01/2022,12.01,12.13,12.15,11.94,4.57,-0.99,M
14/01/2022,12.13,11.94,12.2,11.92,7.59,0.92,M
13/01/2022,12.02,11.8,12.11,11.67,9.67,1.86,M
12/01/2022,11.8,11.45,11.81,11.31,7.86,3.06,M
11/01/2022,11.45,11.2,11.47,11.16,6.05,1.33,M
10/01/2022,11.3,11.26,11.36,11.03,8.76,-0.53,M
07/01/2022,11.36,11.52,11.63,11.21,11.64,-1.98,M
06/01/2022,11.59,12.1,12.16,11.53,15.78,-3.34,M
05/01/2022,11.99,12.68,12.7,11.94,11.22,-5.74,M
04/01/2022,12.72,12.77,12.82,12.45,9.39,0.0,M
03/01/2022,12.72,13.08,13.08,12.4,16.12,-1.85,M
30/12/2021,12.96,12.9,13.08,12.82,5.91,0.93,M
29/12/2021,12.84,13.1,13.12,12.82,10.45,-1.98,M
28/12/2021,13.1,13.73,13.73,12.89,22.96,-3.96,M
27/12/2021,13.64,14.09,14.19,13.5,14.67,-3.19,M
23/12/2021,14.09,14.04,14.29,13.94,4.2,-0.49,M
22/12/2021,14.16,14.22,14.3,13.91,6.99,-0.63,M
21/12/2021,14.25,14.11,14.3,13.99,4.08,1.06,M
20/12/2021,14.1,14.46,14.51,13.91,6.67,-2.49,M
17/12/2021,14.46,14.49,14.66,14.28,8.25,-0.55,M
16/12/2021,14.54,14.87,14.95,14.47,5.29,-1.02,M
15/12/2021,14.69,14.57,14.71,14.37,6.37,2.01,M
14/12/2021,14.4,14.53,14.8,14.2,6.76,0.14,M
13/12/2021,14.38,14.61,14.78,14.3,11.78,-1.24,M
10/12/2021,14.56,14.38,14.85,14.38,8.25,2.39,M
09/12/2021,14.22,14.38,14.38,14.06,9.84,-1.18,M
08/12/2021,14.39,14.05,14.68,13.89,14.3,2.42,M
07/12/2021,14.05,14.2,14.4,14.03,14.09,2.18,M
06/12/2021,13.75,13.43,13.9,13.37,6.61,3.38,M
03/12/2021,13.3,12.55,13.34,12.51,16.85,6.83,M
