Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,26.06,25.52,26.24,24.99,20.05,-5.85,M
23/02/2022,27.68,28.22,29.04,27.55,7.89,-1.11,M
22/02/2022,27.99,27.55,28.39,27.51,6.54,1.74,M
21/02/2022,27.51,28.84,28.95,27.51,4.04,-4.31,M
18/02/2022,28.75,29.05,29.4,28.35,5.6,-0.1,M
17/02/2022,28.78,29.02,29.35,28.57,5.79,-1.74,M
16/02/2022,29.29,29.3,29.92,28.77,7.86,0.07,M
15/02/2022,29.27,27.5,29.4,27.35,14.39,8.45,M
14/02/2022,26.99,26.76,27.86,26.63,10.76,0.15,M
11/02/2022,26.95,28.72,29.03,26.85,10.45,-5.84,M
10/02/2022,28.62,27.98,29.25,27.52,7.88,1.81,M
09/02/2022,28.11,26.53,28.2,26.5,6.96,6.44,M
08/02/2022,26.41,26.3,27.08,26.05,4.12,0.57,M
07/02/2022,26.26,26.41,26.82,26.03,4.55,-0.42,M
04/02/2022,26.37,27.3,27.42,26.01,6.82,-3.51,M
03/02/2022,27.33,27.72,28.09,27.14,5.67,-1.16,M
02/02/2022,27.65,28.9,29.38,27.59,6.27,-4.06,M
01/02/2022,28.82,29.0,29.6,28.68,6.9,-1.34,M
31/01/2022,29.21,26.99,29.21,26.67,8.44,7.99,M
28/01/2022,27.05,27.49,27.49,26.27,6.22,-1.96,M
27/01/2022,27.59,27.8,28.47,27.4,7.23,0.73,M
26/01/2022,27.39,27.48,28.24,27.16,7.91,1.75,M
25/01/2022,26.92,26.21,27.19,26.06,6.33,1.85,M
24/01/2022,26.43,27.5,27.75,25.9,8.96,-4.27,M
21/01/2022,27.61,27.01,28.08,26.73,12.23,1.62,M
20/01/2022,27.17,25.4,27.4,25.36,10.27,7.52,M
19/01/2022,25.27,25.91,26.65,25.19,6.14,-1.33,M
18/01/2022,25.61,25.61,26.04,25.15,4.29,-0.81,M
17/01/2022,25.82,26.15,26.55,25.7,3.0,-1.94,M
14/01/2022,26.33,25.94,26.33,25.43,5.5,1.07,M
13/01/2022,26.05,25.24,26.56,24.97,9.99,1.72,M
12/01/2022,25.61,24.3,25.65,24.25,10.82,4.53,M
11/01/2022,24.5,23.5,24.66,23.34,8.03,3.68,M
10/01/2022,23.63,23.43,23.86,23.02,6.74,-1.13,M
07/01/2022,23.9,22.73,24.08,22.31,8.01,3.69,M
06/01/2022,23.05,22.6,23.05,21.48,14.61,3.09,M
05/01/2022,22.36,23.91,24.3,22.36,9.8,-8.36,M
04/01/2022,24.4,24.56,24.97,24.04,6.91,-0.08,M
03/01/2022,24.42,24.51,25.3,23.75,9.09,0.25,M
30/12/2021,24.36,24.1,24.57,23.9,6.09,2.1,M
29/12/2021,23.86,25.69,25.83,23.86,7.6,-7.34,M
28/12/2021,25.75,25.62,25.97,25.35,3.21,0.31,M
27/12/2021,25.67,26.12,26.67,25.62,5.95,-2.99,M
23/12/2021,26.46,26.88,27.1,26.31,4.86,-1.27,M
22/12/2021,26.8,26.26,27.13,26.0,5.99,1.36,M
21/12/2021,26.44,24.75,26.54,24.29,10.51,7.87,M
20/12/2021,24.51,24.28,24.85,23.96,7.93,-3.58,M
17/12/2021,25.42,24.34,25.72,24.06,6.49,2.29,M
16/12/2021,24.85,25.82,26.45,24.76,6.78,-2.47,M
15/12/2021,25.48,25.02,25.54,24.04,8.79,1.11,M
14/12/2021,25.2,25.62,25.65,24.41,8.72,0.88,M
13/12/2021,24.98,25.94,26.38,24.8,7.7,-3.48,M
10/12/2021,25.88,26.59,27.18,25.58,6.72,-0.73,M
09/12/2021,26.07,25.83,26.1,25.25,6.47,-0.42,M
08/12/2021,26.18,24.78,26.77,24.6,9.85,5.86,M
07/12/2021,24.73,26.0,26.31,24.53,8.31,-0.28,M
06/12/2021,24.8,22.67,25.11,22.57,12.7,10.57,M
03/12/2021,22.43,22.4,24.07,22.19,13.05,0.54,M
02/12/2021,22.31,21.67,22.4,21.36,11.97,2.06,M
01/12/2021,21.86,23.65,24.5,21.83,12.84,-6.5,M
30/11/2021,23.38,22.91,23.38,22.11,12.18,-0.47,M
29/11/2021,23.49,24.24,24.7,23.1,12.92,0.82,M
