Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,14.7,13.99,14.89,13.86,44.25,0.75,M
23/02/2022,14.59,14.39,14.94,14.39,44.69,1.39,M
22/02/2022,14.39,14.25,14.74,14.23,37.23,2.27,M
21/02/2022,14.07,14.35,14.57,13.97,21.09,-1.4,M
18/02/2022,14.27,14.31,14.71,14.25,36.68,0.49,M
17/02/2022,14.2,14.62,14.73,14.14,39.06,-2.67,M
16/02/2022,14.59,14.75,14.85,14.31,30.91,-0.07,M
15/02/2022,14.6,14.44,15.13,14.24,43.24,3.4,M
14/02/2022,14.12,14.17,14.48,13.96,37.05,1.44,M
11/02/2022,13.92,14.3,14.31,13.74,36.19,-1.28,M
10/02/2022,14.1,14.16,14.33,13.82,31.06,-0.42,M
09/02/2022,14.16,13.71,14.25,13.67,39.2,4.5,M
08/02/2022,13.55,13.65,13.73,13.35,44.07,-1.09,M
07/02/2022,13.7,14.13,14.2,13.6,32.88,-3.04,M
04/02/2022,14.13,14.06,14.22,13.88,22.87,-0.07,M
03/02/2022,14.14,14.11,14.37,14.03,24.43,0.07,M
02/02/2022,14.13,14.27,14.59,13.97,26.42,-0.91,M
01/02/2022,14.26,14.62,14.66,14.15,36.0,-2.46,M
31/01/2022,14.62,14.64,14.81,14.45,52.21,-0.81,M
28/01/2022,14.74,14.29,14.77,14.06,80.77,1.94,M
27/01/2022,14.46,13.92,14.52,13.81,83.84,4.93,M
26/01/2022,13.78,13.5,14.1,13.5,71.97,3.45,M
25/01/2022,13.32,12.9,13.56,12.88,71.38,1.99,M
24/01/2022,13.06,13.49,13.53,12.84,87.68,-4.25,M
21/01/2022,13.64,13.23,13.88,13.15,80.46,2.94,M
20/01/2022,13.25,12.33,13.32,12.28,86.7,8.08,M
19/01/2022,12.26,12.44,12.49,12.25,28.46,-0.41,M
18/01/2022,12.31,12.35,12.4,12.04,27.79,-0.4,M
17/01/2022,12.36,12.2,12.59,12.11,34.5,1.15,M
14/01/2022,12.22,11.63,12.29,11.56,58.92,5.44,M
13/01/2022,11.59,11.47,11.73,11.46,41.57,-0.17,M
12/01/2022,11.61,11.27,11.64,11.14,51.88,3.57,M
11/01/2022,11.21,11.03,11.21,10.85,49.96,0.27,M
10/01/2022,11.18,11.1,11.25,10.97,24.75,-0.53,M
07/01/2022,11.24,10.91,11.26,10.88,40.71,2.37,M
06/01/2022,10.98,10.6,10.98,10.58,55.64,2.43,M
05/01/2022,10.72,10.87,10.93,10.62,29.39,-2.1,M
04/01/2022,10.95,10.76,11.01,10.62,42.53,2.15,M
03/01/2022,10.72,11.19,11.41,10.71,31.21,-3.77,M
30/12/2021,11.14,11.15,11.29,11.05,17.78,0.54,M
29/12/2021,11.08,11.18,11.24,10.99,13.62,-0.72,M
28/12/2021,11.16,11.33,11.33,11.1,15.52,-1.33,M
27/12/2021,11.31,11.5,11.55,11.19,26.05,-0.62,M
23/12/2021,11.38,11.51,11.53,11.3,38.24,-1.04,M
22/12/2021,11.5,11.39,11.67,11.33,25.45,1.14,M
21/12/2021,11.37,11.83,11.86,11.28,27.02,-4.29,M
20/12/2021,11.88,12.06,12.12,11.65,27.06,-3.49,M
17/12/2021,12.31,11.95,12.4,11.9,52.64,1.99,M
16/12/2021,12.07,12.12,12.54,11.99,45.44,0.08,M
15/12/2021,12.06,12.24,12.24,11.88,67.09,-0.33,M
14/12/2021,12.1,12.33,12.44,12.03,27.33,-0.41,M
13/12/2021,12.15,12.44,12.48,12.15,33.95,-1.86,M
10/12/2021,12.38,12.0,12.62,11.95,41.87,5.72,M
09/12/2021,11.71,12.03,12.09,11.62,33.87,-3.38,M
08/12/2021,12.12,12.07,12.27,11.94,38.57,0.58,M
07/12/2021,12.05,12.01,12.32,11.91,37.92,2.29,M
06/12/2021,11.78,11.75,12.02,11.64,33.06,1.29,M
03/12/2021,11.63,11.45,11.88,11.42,32.31,1.48,M
02/12/2021,11.46,11.28,11.61,11.17,39.24,4.09,M
01/12/2021,11.01,11.29,11.51,10.99,34.28,-0.9,M
30/11/2021,11.11,11.43,11.49,10.96,63.35,-3.39,M
29/11/2021,11.5,11.85,11.88,11.21,54.27,-2.38,M
26/11/2021,11.78,12.0,12.06,11.7,20.78,-4.77,M
25/11/2021,12.37,12.19,12.47,12.17,14.07,1.48,M
24/11/2021,12.19,11.82,12.27,11.68,24.6,1.75,M
23/11/2021,11.98,12.15,12.19,11.71,44.4,-0.99,M
22/11/2021,12.1,12.53,12.69,12.03,21.14,-2.97,M
19/11/2021,12.47,12.56,12.75,12.36,37.61,0.0,M
18/11/2021,12.47,12.76,12.86,12.31,40.06,-1.5,M
17/11/2021,12.66,12.87,13.02,12.4,54.68,-0.71,M
16/11/2021,12.75,12.96,13.39,12.67,45.37,-2.3,M
12/11/2021,13.05,13.19,13.29,12.89,37.97,-0.76,M
11/11/2021,13.15,12.85,13.21,12.83,48.07,3.79,M
10/11/2021,12.67,12.56,12.88,12.5,41.16,0.24,M
09/11/2021,12.64,12.28,12.8,12.22,32.68,3.27,M
08/11/2021,12.24,12.26,12.3,12.07,19.85,-1.05,M
05/11/2021,12.37,12.08,12.48,12.02,34.37,3.6,M
04/11/2021,11.94,11.92,12.02,11.77,25.3,-0.5,M
03/11/2021,12.0,11.96,12.15,11.63,60.59,0.17,M
01/11/2021,11.98,11.95,12.15,11.87,23.48,0.59,M
29/10/2021,11.91,12.2,12.31,11.85,25.02,-1.08,M
28/10/2021,12.04,12.0,12.28,11.8,33.77,-0.66,M
27/10/2021,12.12,12.15,12.43,12.05,42.46,-0.25,M
26/10/2021,12.15,12.65,12.71,12.14,52.7,-5.74,M
25/10/2021,12.89,12.65,13.05,12.6,33.91,2.14,M
