Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,34.65,34.63,35.1,34.09,23.38,-3.19,M
23/02/2022,35.79,35.8,36.12,35.61,13.34,0.51,M
22/02/2022,35.61,35.4,36.11,35.37,29.85,0.94,M
21/02/2022,35.28,36.14,36.23,34.97,12.05,-2.14,M
18/02/2022,36.05,35.41,36.23,35.38,21.09,2.04,M
17/02/2022,35.33,35.31,35.73,35.17,14.38,0.0,M
16/02/2022,35.33,35.18,35.79,35.11,17.75,0.57,M
15/02/2022,35.13,35.5,35.7,34.94,49.1,4.74,M
14/02/2022,33.54,33.4,33.74,33.12,16.49,0.42,M
11/02/2022,33.4,32.46,33.59,32.44,32.33,3.5,M
10/02/2022,32.27,32.0,32.64,31.86,14.34,1.1,M
09/02/2022,31.92,32.1,32.51,31.7,16.38,-0.87,M
08/02/2022,32.2,31.82,32.37,31.49,11.92,1.07,M
07/02/2022,31.86,32.13,32.38,31.84,8.56,-1.15,M
04/02/2022,32.23,32.2,32.41,32.01,7.38,-0.19,M
03/02/2022,32.29,32.08,32.58,32.02,11.75,0.69,M
02/02/2022,32.07,32.52,32.6,31.77,11.94,-1.66,M
01/02/2022,32.61,32.8,32.83,32.35,8.3,-0.15,M
31/01/2022,32.66,32.44,32.94,32.27,11.01,0.52,M
28/01/2022,32.49,32.29,32.59,32.02,14.58,0.62,M
27/01/2022,32.29,31.99,32.71,31.95,15.46,1.38,M
26/01/2022,31.85,32.31,32.63,31.68,19.77,-0.96,M
25/01/2022,32.16,31.24,32.39,31.08,16.63,2.58,M
24/01/2022,31.35,31.13,31.75,30.95,15.75,0.48,M
21/01/2022,31.2,31.15,31.54,30.89,14.34,0.0,M
20/01/2022,31.2,31.11,31.5,31.0,11.36,0.61,M
19/01/2022,31.01,30.96,31.29,30.71,13.37,0.88,M
18/01/2022,30.74,30.31,30.94,30.23,12.45,0.89,M
17/01/2022,30.47,30.45,30.69,30.05,9.45,0.2,M
14/01/2022,30.41,29.7,30.67,29.7,17.02,2.56,M
