Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,20.25,20.3,20.47,19.75,71.89,-3.02,M
23/02/2022,20.88,21.0,21.2,20.84,24.12,-0.48,M
22/02/2022,20.98,21.21,21.35,20.86,40.43,-0.38,M
21/02/2022,21.06,21.31,21.35,20.9,20.86,-1.17,M
18/02/2022,21.31,21.26,21.46,21.21,30.15,0.57,M
17/02/2022,21.19,21.37,21.5,21.11,23.55,-1.17,M
16/02/2022,21.44,21.24,21.45,21.1,40.2,1.18,M
15/02/2022,21.19,21.2,21.38,21.14,41.03,0.09,M
14/02/2022,21.17,21.25,21.25,20.81,38.69,0.14,M
11/02/2022,21.14,21.29,21.58,20.98,81.5,0.33,M
10/02/2022,21.07,20.9,21.32,20.52,73.24,1.44,M
09/02/2022,20.77,21.41,21.76,20.7,205.81,-8.58,M
08/02/2022,22.72,22.86,23.06,22.45,44.47,-0.57,M
07/02/2022,22.85,22.98,23.12,22.75,30.26,-0.35,M
04/02/2022,22.93,22.74,23.1,22.62,36.93,0.66,M
03/02/2022,22.78,22.62,22.9,22.27,39.03,1.47,M
02/02/2022,22.45,22.67,22.78,22.34,47.13,-1.88,M
01/02/2022,22.88,22.76,23.04,22.7,26.96,0.35,M
31/01/2022,22.8,22.63,23.0,22.37,56.79,0.88,M
28/01/2022,22.6,22.16,22.65,22.05,44.67,1.44,M
27/01/2022,22.28,22.37,22.59,22.05,59.74,0.5,M
26/01/2022,22.17,22.39,22.45,21.94,68.93,0.09,M
25/01/2022,22.15,21.23,22.26,21.12,67.71,3.99,M
24/01/2022,21.3,20.89,21.47,20.86,78.51,2.11,M
21/01/2022,20.86,21.0,21.32,20.86,40.24,-1.04,M
20/01/2022,21.08,21.16,21.25,20.95,26.31,-0.09,M
19/01/2022,21.1,21.45,21.6,21.06,45.53,-1.26,M
18/01/2022,21.37,20.88,21.37,20.8,67.9,1.81,M
17/01/2022,20.99,20.76,21.11,20.62,19.7,0.57,M
14/01/2022,20.87,20.53,20.93,20.47,51.35,1.61,M
13/01/2022,20.54,20.04,20.63,20.04,52.27,1.78,M
12/01/2022,20.18,20.33,20.5,20.05,44.65,-0.74,M
11/01/2022,20.33,20.3,20.43,20.07,48.21,0.15,M
10/01/2022,20.3,20.05,20.42,19.95,46.45,0.35,M
07/01/2022,20.23,19.97,20.23,19.52,77.07,1.45,M
06/01/2022,19.94,19.59,19.99,19.55,33.32,1.42,M
05/01/2022,19.66,19.75,19.92,19.47,41.64,-0.71,M
04/01/2022,19.8,19.68,19.92,19.57,100.05,0.56,M
03/01/2022,19.69,19.41,19.92,19.35,32.38,2.5,M
30/12/2021,19.21,19.39,19.4,18.98,32.82,-0.47,M
29/12/2021,19.3,19.45,19.48,19.17,13.69,-0.46,M
28/12/2021,19.39,19.51,19.56,19.29,17.52,-0.36,M
27/12/2021,19.46,19.38,19.56,19.17,20.19,1.14,M
23/12/2021,19.24,19.25,19.52,19.05,27.24,0.31,M
22/12/2021,19.18,19.2,19.22,18.94,30.02,0.47,M
21/12/2021,19.09,19.3,19.54,19.06,21.86,-1.65,M
20/12/2021,19.41,19.66,19.73,19.18,44.64,-2.07,M
17/12/2021,19.82,20.18,20.36,19.79,56.68,-2.8,M
16/12/2021,20.39,20.32,20.44,20.0,35.82,1.24,M
15/12/2021,20.14,20.15,20.3,19.8,40.26,0.0,M
14/12/2021,20.14,20.09,20.65,20.05,41.09,1.51,M
13/12/2021,19.84,20.29,20.54,19.84,30.13,-1.83,M
10/12/2021,20.21,20.42,20.51,19.98,27.47,-0.39,M
09/12/2021,20.29,20.69,20.69,20.16,26.14,-2.55,M
08/12/2021,20.82,21.13,21.13,20.43,31.87,-0.62,M
07/12/2021,20.95,21.6,21.6,20.78,42.96,-1.18,M
06/12/2021,21.2,20.94,21.75,20.77,42.46,2.12,M
03/12/2021,20.76,20.8,21.29,20.64,37.56,-0.29,M
02/12/2021,20.82,20.19,20.88,20.05,58.92,4.99,M
01/12/2021,19.83,20.21,20.56,19.81,38.95,-0.4,M
30/11/2021,19.91,20.24,20.36,19.7,59.14,-1.78,M
29/11/2021,20.27,20.75,20.78,20.27,27.95,-0.73,M
26/11/2021,20.42,20.66,20.77,20.2,39.26,-4.0,M
25/11/2021,21.27,21.17,21.5,21.04,15.91,0.81,M
24/11/2021,21.1,20.3,21.18,20.24,33.73,2.58,M
23/11/2021,20.57,20.37,20.57,19.9,37.55,1.93,M
22/11/2021,20.18,20.6,20.84,20.17,38.01,-1.7,M
19/11/2021,20.53,20.44,20.68,20.21,39.5,-0.1,M
18/11/2021,20.55,20.79,20.84,20.0,55.78,-0.96,M
17/11/2021,20.75,20.81,21.0,20.56,39.5,0.44,M
16/11/2021,20.66,20.71,20.99,20.38,37.4,-0.15,M
12/11/2021,20.69,20.72,20.85,20.21,42.48,0.98,M
11/11/2021,20.49,20.74,20.86,20.34,35.7,0.49,M
10/11/2021,20.39,19.31,20.85,19.27,88.07,5.65,M
09/11/2021,19.3,19.65,20.03,19.24,60.86,-1.18,M
08/11/2021,19.53,19.8,20.37,19.53,51.62,-2.3,M
05/11/2021,19.99,19.9,20.4,19.61,107.24,4.93,M
04/11/2021,19.05,20.51,20.6,19.05,70.55,-6.62,M
03/11/2021,20.4,20.39,20.81,20.21,45.56,-0.92,M
01/11/2021,20.59,20.24,20.73,20.09,27.79,3.47,M
29/10/2021,19.9,20.6,20.63,19.9,27.77,-2.88,M
28/10/2021,20.49,20.5,20.68,20.15,26.34,-0.34,M
27/10/2021,20.56,20.5,21.03,20.44,28.73,1.33,M
26/10/2021,20.29,20.67,20.68,20.25,36.71,-2.26,M
25/10/2021,20.76,20.64,21.09,20.56,24.91,1.52,M
22/10/2021,20.45,21.18,21.18,19.71,77.83,-3.76,M
