Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,22.9,22.54,23.12,22.05,5.23,-0.48,M
23/02/2022,23.01,23.13,23.48,23.01,5.6,-0.65,M
22/02/2022,23.16,23.17,23.43,23.11,4.23,0.17,M
21/02/2022,23.12,23.14,23.43,23.05,2.91,-0.26,M
18/02/2022,23.18,23.26,23.35,23.15,3.05,0.04,M
17/02/2022,23.17,23.01,23.29,22.84,4.59,0.39,M
16/02/2022,23.08,23.1,23.19,22.63,5.45,-0.26,M
15/02/2022,23.14,23.5,23.66,23.1,5.18,-0.98,M
14/02/2022,23.37,22.78,23.44,22.71,8.75,2.68,M
11/02/2022,22.76,23.0,23.14,22.47,14.61,-6.57,M
10/02/2022,24.36,24.37,24.57,23.99,11.82,0.37,M
09/02/2022,24.27,24.1,24.48,24.05,8.92,0.71,M
08/02/2022,24.1,24.2,24.69,23.92,6.66,-0.17,M
07/02/2022,24.14,23.29,24.23,23.2,10.67,5.74,M
04/02/2022,22.83,22.93,22.94,22.53,2.5,-0.44,M
03/02/2022,22.93,22.8,23.07,22.58,3.4,0.57,M
02/02/2022,22.8,23.05,23.19,22.8,4.19,-1.26,M
01/02/2022,23.09,23.1,23.43,22.91,4.57,-0.22,M
31/01/2022,23.14,22.64,23.25,22.59,6.27,2.03,M
28/01/2022,22.68,22.18,22.76,22.14,5.96,1.3,M
27/01/2022,22.39,21.12,22.66,21.12,8.74,5.91,M
26/01/2022,21.14,21.13,21.37,21.02,9.34,0.05,M
25/01/2022,21.13,20.85,21.21,20.6,4.71,0.96,M
24/01/2022,20.93,20.74,21.11,20.38,6.64,1.5,M
21/01/2022,20.62,20.46,20.74,20.27,3.04,0.34,M
20/01/2022,20.55,20.7,20.76,20.32,5.46,-0.63,M
19/01/2022,20.68,20.48,20.75,20.25,6.86,1.82,M
18/01/2022,20.31,19.67,20.34,19.41,8.93,3.25,M
17/01/2022,19.67,19.45,19.94,19.3,4.17,1.13,M
14/01/2022,19.45,19.2,19.45,19.15,3.33,1.41,M
13/01/2022,19.18,19.15,19.41,19.06,5.27,0.16,M
12/01/2022,19.15,19.34,19.47,19.02,9.22,-0.93,M
11/01/2022,19.33,19.4,19.45,19.18,3.41,0.1,M
10/01/2022,19.31,19.76,19.76,19.01,7.09,-2.47,M
07/01/2022,19.8,20.45,20.45,19.78,7.38,-3.13,M
06/01/2022,20.44,20.3,20.65,20.2,4.13,0.69,M
05/01/2022,20.3,20.53,20.75,20.25,4.0,-1.22,M
04/01/2022,20.55,20.61,20.79,20.5,2.64,-0.24,M
03/01/2022,20.6,20.92,21.12,20.5,3.01,-0.72,M
30/12/2021,20.75,20.7,21.05,20.58,7.16,0.39,M
29/12/2021,20.67,20.79,20.84,20.48,1.52,-0.58,M
28/12/2021,20.79,20.75,20.9,20.59,2.64,0.19,M
27/12/2021,20.75,20.6,20.85,20.57,2.13,0.63,M
23/12/2021,20.62,20.58,20.93,20.47,2.56,0.54,M
22/12/2021,20.51,20.56,20.65,20.3,2.24,-0.05,M
