Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.8,9.81,10.86,9.78,19.97,7.04,M
23/02/2022,10.09,10.18,10.25,10.02,7.01,-0.79,M
22/02/2022,10.17,9.68,10.17,9.65,9.11,6.16,M
21/02/2022,9.58,9.85,9.87,9.52,2.82,-3.04,M
18/02/2022,9.88,9.99,9.99,9.81,3.07,-0.2,M
17/02/2022,9.9,9.82,10.0,9.77,8.01,0.41,M
16/02/2022,9.86,9.94,10.0,9.78,6.62,-1.2,M
15/02/2022,9.98,10.15,10.23,9.93,5.35,-1.19,M
14/02/2022,10.1,9.99,10.19,9.99,4.86,1.0,M
11/02/2022,10.0,10.14,10.35,9.98,7.48,-1.19,M
10/02/2022,10.12,9.97,10.2,9.86,8.16,1.61,M
09/02/2022,9.96,9.42,9.98,9.42,15.15,5.84,M
08/02/2022,9.41,9.22,9.44,9.16,9.58,2.06,M
07/02/2022,9.22,8.98,9.26,8.98,7.84,1.99,M
04/02/2022,9.04,8.82,9.04,8.75,7.7,2.73,M
03/02/2022,8.8,9.1,9.15,8.76,8.44,-2.98,M
02/02/2022,9.07,9.08,9.34,8.96,8.37,0.11,M
01/02/2022,9.06,9.54,9.64,9.02,11.79,-5.03,M
31/01/2022,9.54,9.51,9.67,9.45,5.31,0.21,M
28/01/2022,9.52,9.47,9.57,9.41,4.31,0.0,M
27/01/2022,9.52,9.65,9.65,9.39,6.7,-0.73,M
26/01/2022,9.59,9.82,9.92,9.52,6.24,-1.54,M
25/01/2022,9.74,9.69,9.81,9.6,4.82,0.1,M
24/01/2022,9.73,9.84,9.95,9.64,4.63,-1.32,M
21/01/2022,9.86,9.77,10.18,9.67,6.32,1.02,M
20/01/2022,9.76,9.89,9.89,9.71,5.66,-1.11,M
19/01/2022,9.87,10.09,10.15,9.85,5.5,-1.3,M
18/01/2022,10.0,9.99,10.05,9.82,4.4,-0.7,M
17/01/2022,10.07,10.23,10.26,9.94,4.49,-1.95,M
14/01/2022,10.27,10.13,10.51,10.13,11.81,1.68,M
13/01/2022,10.1,9.76,10.14,9.71,5.39,3.06,M
12/01/2022,9.8,9.72,9.86,9.56,5.45,1.03,M
11/01/2022,9.7,9.74,9.8,9.43,6.01,-1.02,M
10/01/2022,9.8,9.89,10.09,9.66,5.8,-1.21,M
07/01/2022,9.92,10.03,10.16,9.88,4.49,-1.39,M
06/01/2022,10.06,10.11,10.22,9.93,4.47,-0.1,M
05/01/2022,10.07,10.15,10.43,10.06,5.59,-1.18,M
04/01/2022,10.19,10.43,10.5,10.17,6.32,-2.39,M
03/01/2022,10.44,10.62,10.65,10.4,5.37,-1.51,M
30/12/2021,10.6,10.64,10.74,10.53,6.19,-0.19,M
