Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,20.18,19.37,20.78,19.12,23.76,-3.72,M
23/02/2022,20.96,24.5,24.87,20.96,23.08,-12.12,M
22/02/2022,23.85,25.91,26.33,23.77,24.7,-9.62,M
21/02/2022,26.39,27.03,27.44,25.91,9.35,-1.27,M
18/02/2022,26.73,28.14,28.85,26.38,14.31,-3.95,M
17/02/2022,27.83,27.91,29.15,27.09,20.82,-1.52,M
16/02/2022,28.26,28.2,28.49,26.92,13.32,0.39,M
15/02/2022,28.15,26.7,28.4,26.54,15.0,6.59,M
14/02/2022,26.41,24.4,26.46,24.32,18.53,7.84,M
11/02/2022,24.49,24.99,25.9,23.83,20.63,-1.33,M
10/02/2022,24.82,26.2,26.47,24.72,17.32,-4.13,M
09/02/2022,25.89,26.0,26.3,24.81,15.4,1.37,M
08/02/2022,25.54,23.46,25.78,23.22,15.84,8.13,M
07/02/2022,23.62,23.57,24.18,22.94,12.82,1.07,M
04/02/2022,23.37,23.89,24.03,22.36,16.26,-1.18,M
03/02/2022,23.65,25.49,25.99,23.37,18.27,-6.89,M
02/02/2022,25.4,28.9,28.95,25.15,21.44,-9.54,M
01/02/2022,28.08,26.49,28.09,26.2,17.9,8.08,M
31/01/2022,25.98,24.9,26.08,24.41,15.56,5.1,M
28/01/2022,24.72,25.68,26.2,24.43,14.58,-3.89,M
27/01/2022,25.72,25.1,26.43,24.89,15.9,6.28,M
26/01/2022,24.2,24.39,25.78,24.0,18.27,2.07,M
25/01/2022,23.71,23.19,24.16,22.62,18.94,1.11,M
24/01/2022,23.45,24.9,25.45,22.67,17.6,-7.28,M
21/01/2022,25.29,25.12,26.59,24.31,18.07,-0.67,M
20/01/2022,25.46,22.75,26.35,22.75,25.13,13.16,M
19/01/2022,22.5,21.11,22.8,20.93,16.67,8.7,M
18/01/2022,20.7,22.75,22.84,20.69,17.77,-10.43,M
17/01/2022,23.11,23.7,24.12,22.95,6.51,-3.1,M
