Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,6.42,6.2,6.43,5.95,2.42,0.78,M
23/02/2022,6.37,6.36,6.64,6.33,2.03,0.0,M
22/02/2022,6.37,6.17,6.46,6.17,2.1,3.24,M
21/02/2022,6.17,6.54,6.54,6.13,2.89,-5.37,M
18/02/2022,6.52,6.55,6.65,6.46,1.09,-0.15,M
17/02/2022,6.53,6.53,6.78,6.51,1.8,-0.15,M
16/02/2022,6.54,6.33,6.61,6.28,2.55,3.32,M
15/02/2022,6.33,6.14,6.36,6.12,1.62,3.77,M
14/02/2022,6.1,5.8,6.14,5.74,2.83,4.63,M
11/02/2022,5.83,6.06,6.14,5.79,3.42,-3.32,M
10/02/2022,6.03,6.1,6.21,5.9,2.79,-1.15,M
09/02/2022,6.1,6.11,6.28,6.01,2.46,0.0,M
08/02/2022,6.1,6.15,6.18,6.05,1.03,-0.81,M
07/02/2022,6.15,6.02,6.23,5.95,1.82,1.99,M
04/02/2022,6.03,6.34,6.36,5.93,1.69,-4.13,M
03/02/2022,6.29,6.48,6.52,6.18,1.99,-1.87,M
02/02/2022,6.41,6.66,6.7,6.36,1.79,-3.03,M
01/02/2022,6.61,6.23,6.63,6.23,2.61,6.1,M
31/01/2022,6.23,6.32,6.43,6.23,1.42,-1.42,M
28/01/2022,6.32,6.35,6.46,6.2,1.9,-0.78,M
27/01/2022,6.37,6.42,6.46,6.28,1.96,0.31,M
26/01/2022,6.35,6.01,6.43,5.99,5.02,6.9,M
25/01/2022,5.94,5.77,6.01,5.75,2.72,1.89,M
24/01/2022,5.83,5.92,5.93,5.57,1.39,-1.69,M
21/01/2022,5.93,6.0,6.11,5.87,3.22,-1.33,M
20/01/2022,6.01,5.67,6.15,5.67,5.07,6.18,M
19/01/2022,5.66,5.39,5.68,5.36,1.63,6.59,M
18/01/2022,5.31,5.29,5.36,5.24,1.44,0.57,M
17/01/2022,5.28,5.26,5.38,5.16,1.62,-0.19,M
14/01/2022,5.29,5.41,5.42,5.21,1.73,-2.58,M
13/01/2022,5.43,5.49,5.55,5.32,1.22,-1.81,M
12/01/2022,5.53,5.35,5.65,5.35,2.22,3.17,M
11/01/2022,5.36,5.21,5.43,5.14,3.17,3.47,M
10/01/2022,5.18,5.38,5.38,5.08,1.84,-4.25,M
07/01/2022,5.41,5.28,5.62,5.28,3.81,2.46,M
06/01/2022,5.28,5.29,5.44,5.06,2.48,0.38,M
05/01/2022,5.26,5.56,5.74,5.26,2.01,-5.9,M
04/01/2022,5.59,5.8,5.88,5.55,1.81,-3.95,M
03/01/2022,5.82,5.99,6.18,5.79,1.36,-2.68,M
30/12/2021,5.98,5.79,6.03,5.65,2.84,4.18,M
29/12/2021,5.74,6.11,6.18,5.66,3.24,-6.06,M
28/12/2021,6.11,6.15,6.22,6.07,693.4,-1.13,K
27/12/2021,6.18,5.9,6.25,5.89,2.2,4.75,M
23/12/2021,5.9,5.98,6.02,5.85,2.22,-1.67,M
22/12/2021,6.0,6.08,6.09,5.88,2.76,-1.64,M
21/12/2021,6.1,6.32,6.32,6.08,1.7,-1.93,M
20/12/2021,6.22,6.4,6.47,6.18,1.7,-5.04,M
17/12/2021,6.55,6.42,6.55,6.12,3.46,1.24,M
16/12/2021,6.47,6.77,6.82,6.43,2.01,-3.29,M
15/12/2021,6.69,6.66,6.76,6.35,2.15,1.36,M
14/12/2021,6.6,7.08,7.11,6.6,1.9,-6.12,M
13/12/2021,7.03,7.21,7.29,6.99,1.12,-1.95,M
10/12/2021,7.17,7.33,7.48,7.12,1.6,-1.24,M
09/12/2021,7.26,7.39,7.47,7.2,1.93,-2.94,M
08/12/2021,7.48,7.23,7.53,7.02,1.55,4.18,M
07/12/2021,7.18,7.2,7.31,7.07,2.12,1.56,M
06/12/2021,7.07,6.83,7.2,6.72,2.24,4.59,M
03/12/2021,6.76,6.77,6.93,6.6,2.45,-0.15,M
02/12/2021,6.77,6.87,6.95,6.6,2.82,-0.73,M
01/12/2021,6.82,6.66,7.17,6.66,5.02,3.96,M
30/11/2021,6.56,7.0,7.0,6.38,10.72,-6.29,M
29/11/2021,7.0,7.3,7.3,6.96,1.79,-0.71,M
26/11/2021,7.05,7.45,7.49,6.75,5.21,-8.08,M
25/11/2021,7.67,7.51,7.72,7.43,1.16,3.23,M
24/11/2021,7.43,7.41,7.59,7.31,2.0,0.0,M
23/11/2021,7.43,7.54,7.6,7.22,1.92,-0.93,M
22/11/2021,7.5,7.7,7.81,7.42,3.34,-1.32,M
19/11/2021,7.6,7.62,7.76,7.52,5.92,0.26,M
18/11/2021,7.58,7.53,7.73,7.35,1.99,1.74,M
17/11/2021,7.45,7.82,7.88,7.38,8.98,-3.25,M
16/11/2021,7.7,8.24,8.26,7.61,2.47,-6.21,M
12/11/2021,8.21,8.63,8.78,7.98,4.51,-5.63,M
11/11/2021,8.7,8.65,8.8,8.51,4.73,1.16,M
10/11/2021,8.6,8.1,8.63,8.05,7.66,6.17,M
09/11/2021,8.1,8.04,8.17,7.96,2.59,0.87,M
08/11/2021,8.03,8.33,8.35,7.89,1.69,-4.18,M
05/11/2021,8.38,7.62,8.41,7.62,4.19,11.29,M
04/11/2021,7.53,7.35,7.69,7.23,3.55,2.45,M
03/11/2021,7.35,7.41,7.7,7.27,4.49,-1.34,M
01/11/2021,7.45,7.05,7.55,7.03,3.14,8.44,M
29/10/2021,6.87,7.11,7.18,6.87,1.44,-3.24,M
28/10/2021,7.1,7.27,7.5,7.1,1.43,-2.34,M
27/10/2021,7.27,7.3,7.64,7.21,1.36,0.28,M
26/10/2021,7.25,7.42,7.51,7.25,1.57,-3.07,M
25/10/2021,7.48,7.14,7.61,7.09,2.71,5.35,M
22/10/2021,7.1,6.95,7.35,6.37,5.85,1.14,M
21/10/2021,7.02,7.54,7.54,6.97,2.55,-8.36,M
20/10/2021,7.66,7.4,7.71,7.26,2.41,4.08,M
19/10/2021,7.36,7.57,7.61,7.29,2.39,-3.16,M
18/10/2021,7.6,7.37,7.67,7.22,1.8,2.43,M
15/10/2021,7.42,7.27,7.55,7.2,2.73,2.77,M
14/10/2021,7.22,7.51,7.58,7.16,3.39,-3.6,M
13/10/2021,7.49,7.33,7.49,7.22,2.61,2.74,M
11/10/2021,7.29,7.58,7.58,7.25,2.56,-3.32,M
08/10/2021,7.54,7.59,7.85,7.51,1.89,0.0,M
07/10/2021,7.54,7.71,7.75,7.45,2.9,-1.69,M
06/10/2021,7.67,7.82,7.82,7.39,2.68,-3.03,M
05/10/2021,7.91,8.11,8.11,7.83,2.62,-2.1,M
04/10/2021,8.08,8.42,8.42,7.95,1.79,-4.94,M
01/10/2021,8.5,8.16,8.65,8.12,1.96,3.53,M
30/09/2021,8.21,8.04,8.25,7.87,4.9,2.37,M
29/09/2021,8.02,8.32,8.34,7.9,3.37,-2.79,M
28/09/2021,8.25,8.92,8.95,8.23,2.56,-8.33,M
27/09/2021,9.0,9.22,9.32,8.84,2.38,-2.28,M
24/09/2021,9.21,8.93,9.21,8.77,5.12,2.56,M
23/09/2021,8.98,8.78,9.09,8.73,7.82,3.22,M
22/09/2021,8.7,8.66,8.83,8.52,5.93,1.87,M
21/09/2021,8.54,8.63,8.65,8.36,9.95,0.71,M
20/09/2021,8.48,8.78,8.8,8.4,1.74,-4.72,M
17/09/2021,8.9,9.17,9.17,8.86,2.0,-2.84,M
16/09/2021,9.16,9.14,9.2,8.95,1.13,-0.22,M
15/09/2021,9.18,9.12,9.27,9.07,1.46,0.66,M
14/09/2021,9.12,9.07,9.22,8.99,1.33,0.66,M
13/09/2021,9.06,8.72,9.09,8.7,2.18,5.23,M
10/09/2021,8.61,8.6,8.9,8.6,1.68,2.14,M
09/09/2021,8.43,8.81,8.91,8.21,5.62,-4.31,M
08/09/2021,8.81,9.69,9.71,8.77,2.15,-9.64,M
06/09/2021,9.75,9.35,9.75,9.34,709.7,3.61,K
03/09/2021,9.41,9.46,9.63,9.35,1.24,-0.42,M
02/09/2021,9.45,9.38,9.7,9.33,2.1,1.5,M
01/09/2021,9.31,9.39,9.47,9.25,908.6,-0.75,K
31/08/2021,9.38,9.49,9.53,9.08,2.25,-1.57,M
30/08/2021,9.53,9.72,9.81,9.42,1.26,-2.26,M
27/08/2021,9.75,9.74,9.8,9.6,1.09,0.31,M
26/08/2021,9.72,9.9,9.9,9.6,1.15,-1.82,M
25/08/2021,9.9,9.68,9.9,9.55,1.65,2.17,M
24/08/2021,9.69,9.39,9.74,9.31,1.4,4.31,M
23/08/2021,9.29,9.33,9.46,9.2,1.59,-0.32,M
20/08/2021,9.32,8.84,9.39,8.84,1.88,4.84,M
19/08/2021,8.89,8.49,8.89,8.44,1.4,3.61,M
18/08/2021,8.58,8.47,8.77,8.35,2.3,1.66,M
17/08/2021,8.44,8.75,8.75,8.18,2.76,-3.76,M
16/08/2021,8.77,9.48,9.48,8.71,3.35,-7.68,M
13/08/2021,9.5,9.7,9.7,9.33,1.79,-1.96,M
12/08/2021,9.69,9.57,9.71,9.48,1.26,0.62,M
11/08/2021,9.63,9.84,9.86,9.55,1.39,-2.23,M
10/08/2021,9.85,9.87,10.27,9.83,1.48,-0.2,M
09/08/2021,9.87,9.97,10.1,9.86,1.42,-1.3,M
06/08/2021,10.0,10.45,10.45,9.94,2.12,-3.85,M
05/08/2021,10.4,10.52,10.52,10.29,1.74,-1.14,M
04/08/2021,10.52,10.52,10.67,10.24,1.34,0.19,M
03/08/2021,10.5,10.87,10.87,10.46,1.72,-0.85,M
02/08/2021,10.59,10.5,10.76,10.5,1.83,0.67,M
30/07/2021,10.52,10.87,10.87,10.47,1.66,-4.01,M
29/07/2021,10.96,11.15,11.15,10.91,1.14,-1.44,M
28/07/2021,11.12,11.11,11.14,10.96,1.02,0.63,M
27/07/2021,11.05,11.27,11.27,10.67,3.09,-2.21,M
26/07/2021,11.3,11.4,11.55,11.17,1.5,-1.14,M
23/07/2021,11.43,11.53,11.65,11.33,1.47,-1.21,M
22/07/2021,11.57,10.96,11.7,10.94,2.5,5.09,M
21/07/2021,11.01,10.94,11.14,10.82,1.64,-0.27,M
20/07/2021,11.04,11.26,11.27,10.91,1.37,-2.3,M
