Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,31.19,31.0,31.63,29.97,193.5,-0.98,K
23/02/2022,31.5,31.7,31.84,30.98,181.1,-0.06,K
22/02/2022,31.52,33.0,33.0,31.2,249.4,-3.76,K
21/02/2022,32.75,33.64,33.79,32.53,108.3,-2.06,K
18/02/2022,33.44,33.3,34.7,32.71,454.6,0.72,K
17/02/2022,33.2,33.85,33.9,33.08,55.9,-2.06,K
16/02/2022,33.9,33.67,34.04,33.25,127.3,0.74,K
15/02/2022,33.65,32.47,34.39,32.47,273.5,4.08,K
14/02/2022,32.33,31.61,32.81,31.39,493.8,2.47,K
11/02/2022,31.55,32.21,32.52,31.25,357.8,-2.92,K
10/02/2022,32.5,32.2,32.5,31.09,728.5,1.25,K
09/02/2022,32.1,32.19,32.63,31.8,299.4,0.31,K
08/02/2022,32.0,32.0,32.63,31.59,145.5,-0.56,K
07/02/2022,32.18,32.48,32.77,31.81,229.6,-0.03,K
04/02/2022,32.19,34.48,34.48,31.75,346.9,-4.42,K
03/02/2022,33.68,35.77,35.88,33.68,198.3,-5.13,K
02/02/2022,35.5,36.3,36.47,35.12,146.0,-2.2,K
01/02/2022,36.3,37.19,37.4,35.54,209.6,-1.84,K
31/01/2022,36.98,35.3,37.25,34.89,394.3,4.76,K
28/01/2022,35.3,34.42,35.73,34.2,555.8,2.17,K
27/01/2022,34.55,34.01,34.99,34.0,348.5,1.62,K
26/01/2022,34.0,33.6,34.99,33.54,229.7,2.1,K
25/01/2022,33.3,32.58,33.58,32.47,237.9,1.52,K
24/01/2022,32.8,32.88,33.37,31.59,287.3,-0.7,K
21/01/2022,33.03,32.02,33.39,31.88,393.9,1.51,K
20/01/2022,32.54,32.51,33.11,31.7,169.6,0.9,K
19/01/2022,32.25,31.27,32.62,31.09,385.2,4.4,K
18/01/2022,30.89,31.5,31.63,30.51,260.4,-2.06,K
17/01/2022,31.54,31.25,32.16,30.74,128.2,0.93,K
14/01/2022,31.25,31.01,31.52,30.45,205.4,-0.92,K
13/01/2022,31.54,31.81,31.98,31.15,180.2,-1.87,K
12/01/2022,32.14,31.0,32.25,31.0,170.7,2.65,K
11/01/2022,31.31,29.76,31.31,29.52,123.2,3.88,K
10/01/2022,30.14,30.84,30.84,29.41,258.2,-3.71,K
07/01/2022,31.3,30.85,31.51,30.18,280.1,0.9,K
06/01/2022,31.02,31.14,32.0,30.33,227.2,-0.39,K
05/01/2022,31.14,31.61,32.37,30.17,383.6,-1.49,K
04/01/2022,31.61,33.5,33.5,31.39,311.7,-5.05,K
03/01/2022,33.29,36.4,36.49,32.8,741.3,-8.54,K
30/12/2021,36.4,34.64,36.68,33.76,959.1,8.69,K
29/12/2021,33.49,35.4,35.56,33.49,303.7,-5.4,K
28/12/2021,35.4,35.8,35.8,34.92,70.5,-0.81,K
27/12/2021,35.69,35.6,36.25,35.25,118.2,1.28,K
23/12/2021,35.24,34.76,35.46,34.5,233.3,0.66,K
22/12/2021,35.01,35.63,36.19,34.76,139.1,-2.48,K
21/12/2021,35.9,36.72,36.79,35.31,279.3,-2.23,K
20/12/2021,36.72,36.95,37.2,36.11,254.5,-0.62,K
17/12/2021,36.95,35.71,37.33,35.04,1.57,3.47,M
16/12/2021,35.71,36.49,36.75,35.41,341.3,0.0,K
15/12/2021,35.71,37.02,37.15,34.63,467.8,-3.22,K
14/12/2021,36.9,38.07,38.75,36.64,203.4,-3.07,K
13/12/2021,38.07,39.21,39.75,38.07,231.6,-2.13,K
10/12/2021,38.9,38.37,39.22,37.76,148.6,3.05,K
09/12/2021,37.75,38.56,38.95,37.75,274.0,-3.08,K
08/12/2021,38.95,35.72,39.05,35.72,1.12,9.41,M
07/12/2021,35.6,36.23,36.68,35.43,283.3,-0.56,K
06/12/2021,35.8,36.08,36.44,34.68,505.6,-1.16,K
03/12/2021,36.22,33.51,36.99,33.51,1.03,8.09,M
02/12/2021,33.51,33.91,34.39,32.76,393.9,0.63,K
01/12/2021,33.3,34.25,34.53,32.43,586.4,-1.19,K
30/11/2021,33.7,35.95,37.14,33.7,1.07,-8.12,M
29/11/2021,36.68,35.64,36.88,35.38,700.7,3.29,K
26/11/2021,35.51,36.23,37.79,35.51,502.3,-4.44,K
25/11/2021,37.16,36.36,37.69,35.46,153.0,2.65,K
24/11/2021,36.2,37.51,38.54,36.2,353.0,-4.84,K
23/11/2021,38.04,38.75,38.85,37.6,234.4,-1.45,K
22/11/2021,38.6,38.35,39.7,38.03,424.4,1.23,K
19/11/2021,38.13,36.8,38.7,36.71,262.3,3.95,K
18/11/2021,36.68,36.46,36.84,35.83,136.5,2.2,K
17/11/2021,35.89,37.76,37.76,35.64,194.5,-4.29,K
