Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,2.75,2.74,2.75,2.63,1.87,-0.72,M
23/02/2022,2.77,2.85,2.89,2.75,1.29,-2.81,M
22/02/2022,2.85,2.9,2.9,2.82,1.31,-0.7,M
21/02/2022,2.87,3.0,3.0,2.85,982.4,-3.37,K
18/02/2022,2.97,3.01,3.03,2.97,1.13,-1.66,M
17/02/2022,3.02,3.05,3.09,3.02,1.24,-0.66,M
16/02/2022,3.04,3.04,3.07,3.01,569.8,0.66,K
15/02/2022,3.02,3.0,3.05,2.99,814.8,1.34,K
14/02/2022,2.98,3.0,3.03,2.97,679.1,-0.67,K
11/02/2022,3.0,3.02,3.09,2.95,1.35,-0.33,M
10/02/2022,3.01,3.03,3.09,2.99,1.22,-0.66,M
09/02/2022,3.03,3.07,3.11,2.99,1.1,-0.66,M
08/02/2022,3.05,3.01,3.11,3.0,715.2,1.33,K
07/02/2022,3.01,3.04,3.08,3.0,936.1,-0.99,K
04/02/2022,3.04,3.1,3.12,3.03,610.4,-1.94,K
03/02/2022,3.1,3.14,3.15,3.06,481.4,-1.27,K
02/02/2022,3.14,3.15,3.2,3.09,534.2,-0.63,K
01/02/2022,3.16,3.17,3.21,3.0,1.52,0.64,M
31/01/2022,3.14,3.14,3.19,3.11,839.3,0.0,K
28/01/2022,3.14,3.22,3.28,3.12,758.2,-2.18,K
27/01/2022,3.21,3.22,3.28,3.18,981.1,1.9,K
26/01/2022,3.15,3.2,3.26,3.15,876.3,-0.94,K
25/01/2022,3.18,3.07,3.19,3.07,725.0,2.91,K
24/01/2022,3.09,3.22,3.23,3.05,1.16,-3.74,M
21/01/2022,3.21,3.32,3.34,3.19,940.8,-3.89,K
20/01/2022,3.34,3.23,3.37,3.18,1.15,3.41,M
19/01/2022,3.23,3.34,3.37,3.21,1.26,-2.71,M
18/01/2022,3.32,3.24,3.34,3.17,1.28,2.47,M
17/01/2022,3.24,3.12,3.24,3.09,1.49,4.52,M
14/01/2022,3.1,3.01,3.13,3.0,836.7,2.99,K
13/01/2022,3.01,3.01,3.08,2.99,971.9,-0.66,K
12/01/2022,3.03,3.07,3.1,3.02,992.2,-1.3,K
11/01/2022,3.07,2.96,3.08,2.96,1.97,4.07,M
10/01/2022,2.95,3.14,3.15,2.94,931.0,-4.53,K
07/01/2022,3.09,2.95,3.15,2.88,1.55,6.55,M
06/01/2022,2.9,2.88,2.93,2.85,627.0,1.75,K
05/01/2022,2.85,2.97,3.0,2.85,1.04,-3.06,M
04/01/2022,2.94,3.06,3.08,2.94,625.2,-3.61,K
03/01/2022,3.05,3.12,3.15,3.03,982.7,-2.24,K
30/12/2021,3.12,3.1,3.12,2.98,1.6,2.63,M
29/12/2021,3.04,3.12,3.15,3.04,658.5,-2.56,K
28/12/2021,3.12,3.19,3.25,3.11,1.66,-9.3,M
27/12/2021,3.44,3.47,3.55,3.4,2.13,0.88,M
23/12/2021,3.41,3.44,3.48,3.38,1.21,-0.87,M
22/12/2021,3.44,3.42,3.44,3.35,1.1,0.0,M
21/12/2021,3.44,3.42,3.44,3.31,869.9,2.08,K
20/12/2021,3.37,3.45,3.54,3.34,1.76,-0.88,M
17/12/2021,3.4,3.12,3.42,3.12,3.32,10.03,M
16/12/2021,3.09,3.12,3.13,3.03,824.9,-0.96,K
15/12/2021,3.12,3.06,3.12,3.03,611.1,1.96,K
14/12/2021,3.06,3.08,3.15,3.04,661.7,-0.65,K
13/12/2021,3.08,3.08,3.11,3.04,684.7,0.65,K
10/12/2021,3.06,3.06,3.12,3.05,598.5,0.33,K
09/12/2021,3.05,3.08,3.11,3.03,714.5,-0.97,K
08/12/2021,3.08,3.02,3.13,3.02,614.5,1.99,K
07/12/2021,3.02,3.1,3.13,3.02,790.2,-0.98,K
06/12/2021,3.05,3.01,3.09,2.98,848.6,1.33,K
03/12/2021,3.01,2.89,3.01,2.89,1.08,4.51,M
02/12/2021,2.88,2.83,2.88,2.81,820.1,2.86,K
01/12/2021,2.8,2.9,2.99,2.8,977.3,-3.11,K
30/11/2021,2.89,2.91,2.98,2.84,993.0,-1.03,K
29/11/2021,2.92,3.0,3.04,2.92,942.7,-1.68,K
26/11/2021,2.97,2.98,3.0,2.91,966.4,-3.26,K
25/11/2021,3.07,3.08,3.13,3.02,735.8,-0.97,K
24/11/2021,3.1,2.9,3.1,2.89,1.34,7.64,M
