Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,14.38,13.56,14.5,13.28,1.05,0.0,M
23/02/2022,14.38,14.94,15.07,14.25,410.8,-2.31,K
22/02/2022,14.72,14.69,15.19,14.57,660.2,1.17,K
21/02/2022,14.55,15.1,15.25,14.31,758.7,-3.96,K
18/02/2022,15.15,15.12,15.43,14.9,614.6,0.66,K
17/02/2022,15.05,15.27,15.4,14.94,454.1,-2.02,K
16/02/2022,15.36,15.38,15.54,15.01,387.5,0.46,K
15/02/2022,15.29,14.85,15.48,14.85,846.0,3.45,K
14/02/2022,14.78,14.82,15.24,14.47,633.8,0.14,K
11/02/2022,14.76,15.44,15.91,14.51,1.09,-4.4,M
10/02/2022,15.44,15.56,15.77,15.07,638.4,-0.45,K
09/02/2022,15.51,15.38,15.96,15.27,935.7,0.91,K
08/02/2022,15.37,15.25,15.5,14.95,463.5,0.59,K
07/02/2022,15.28,15.12,15.83,15.06,688.3,0.79,K
04/02/2022,15.16,15.28,15.28,14.63,665.1,-0.72,K
03/02/2022,15.27,14.83,15.86,14.51,1.73,2.14,M
02/02/2022,14.95,15.25,15.56,14.56,735.3,-1.9,K
01/02/2022,15.24,15.14,15.37,14.9,952.8,1.4,K
31/01/2022,15.03,14.9,15.28,14.68,717.5,1.76,K
28/01/2022,14.77,14.26,14.8,13.94,727.9,2.93,K
27/01/2022,14.35,13.97,14.63,13.8,633.5,3.68,K
26/01/2022,13.84,13.92,14.45,13.65,692.2,0.44,K
25/01/2022,13.78,13.5,13.88,13.22,509.0,1.77,K
24/01/2022,13.54,13.99,13.99,13.15,820.2,-3.42,K
21/01/2022,14.02,13.98,14.37,13.67,952.6,-0.78,K
20/01/2022,14.13,13.04,14.67,13.04,1.48,9.11,M
19/01/2022,12.95,12.77,13.19,12.67,892.1,2.61,K
18/01/2022,12.62,13.37,13.48,12.6,1.09,-7.21,M
17/01/2022,13.6,13.47,13.66,13.18,697.8,2.26,K
14/01/2022,13.3,13.35,13.35,12.69,826.5,0.45,K
13/01/2022,13.24,13.16,13.54,12.95,888.3,0.68,K
12/01/2022,13.15,12.47,13.25,12.47,1.43,6.05,M
11/01/2022,12.4,12.28,12.69,12.11,805.8,1.39,K
10/01/2022,12.23,12.47,12.47,11.88,1.25,-1.85,M
07/01/2022,12.46,12.19,13.4,12.06,3.33,2.38,M
06/01/2022,12.17,12.77,12.77,11.69,2.77,-3.87,M
05/01/2022,12.66,13.15,13.27,12.22,1.7,-3.36,M
04/01/2022,13.1,14.28,14.54,12.94,1.57,-8.39,M
03/01/2022,14.3,15.39,15.52,14.08,516.5,-6.11,K
30/12/2021,15.23,14.72,15.46,14.59,632.0,4.24,K
29/12/2021,14.61,14.97,14.99,14.25,550.4,-1.81,K
28/12/2021,14.88,14.7,15.07,14.52,316.5,1.02,K
27/12/2021,14.73,13.67,14.8,13.67,1.05,6.66,M
23/12/2021,13.81,14.03,14.2,13.55,800.5,-2.4,K
22/12/2021,14.15,14.07,14.44,13.88,457.3,0.57,K
21/12/2021,14.07,14.73,14.76,13.73,900.1,-3.7,K
20/12/2021,14.61,14.98,15.0,14.5,694.4,-5.13,K
17/12/2021,15.4,14.71,15.45,14.58,884.9,3.01,K
16/12/2021,14.95,14.91,15.38,14.76,835.2,0.88,K
15/12/2021,14.82,14.4,14.93,14.1,471.4,2.92,K
14/12/2021,14.4,14.61,14.67,13.86,992.2,-0.41,K
13/12/2021,14.46,15.51,15.54,14.46,757.7,-5.37,K
10/12/2021,15.28,14.88,15.28,14.67,454.1,4.02,K
09/12/2021,14.69,14.87,15.03,14.42,451.3,-1.28,K
08/12/2021,14.88,13.88,15.06,13.58,1.26,9.41,M
07/12/2021,13.6,13.7,14.16,13.52,948.0,0.67,K
06/12/2021,13.51,13.37,13.83,13.2,824.8,-0.37,K
03/12/2021,13.56,13.59,14.44,13.46,1.17,0.74,M
02/12/2021,13.46,13.3,13.82,13.25,819.8,2.36,K
01/12/2021,13.15,14.77,14.77,13.05,1.82,-8.68,M
30/11/2021,14.4,14.72,14.91,14.0,1.97,-3.55,M
29/11/2021,14.93,14.83,15.17,14.71,544.3,1.43,K
26/11/2021,14.72,14.85,14.99,14.47,1.12,-4.66,M
25/11/2021,15.44,14.8,15.5,14.75,671.0,4.68,K
24/11/2021,14.75,14.32,14.84,14.32,390.9,1.65,K
23/11/2021,14.51,14.98,15.05,14.14,1.61,-2.62,M
22/11/2021,14.9,15.55,15.78,14.87,1.75,-4.06,M
19/11/2021,15.53,15.3,16.02,15.16,644.7,1.44,K
18/11/2021,15.31,15.38,15.65,14.94,1.03,0.72,M
17/11/2021,15.2,15.75,16.02,14.63,1.41,-2.81,M
16/11/2021,15.64,16.1,16.37,15.24,1.67,-2.25,M
12/11/2021,16.0,15.6,16.1,15.42,1.35,6.38,M
11/11/2021,15.04,14.8,15.2,14.62,1.06,2.66,M
10/11/2021,14.65,14.01,14.94,13.79,1.41,4.57,M
09/11/2021,14.01,14.01,14.32,13.86,617.0,1.16,K
08/11/2021,13.85,13.9,14.46,13.68,664.8,-0.29,K
05/11/2021,13.89,14.12,14.25,13.78,666.7,-0.36,K
04/11/2021,13.94,14.42,14.66,13.77,1.16,-3.66,M
03/11/2021,14.47,13.72,14.74,13.37,1.42,4.78,M
01/11/2021,13.81,13.04,13.95,12.93,1.04,7.05,M
29/10/2021,12.9,13.65,13.76,12.79,1.69,-4.87,M
28/10/2021,13.56,13.61,14.1,13.14,1.02,-0.37,M
27/10/2021,13.61,13.75,14.13,13.51,918.8,-0.44,K
26/10/2021,13.67,14.19,14.42,13.65,1.66,-3.73,M
25/10/2021,14.2,13.38,14.3,13.38,2.32,7.41,M
22/10/2021,13.22,12.95,13.61,11.8,6.19,3.52,M
21/10/2021,12.77,13.5,13.75,12.67,2.7,-7.13,M
20/10/2021,13.75,14.22,14.47,13.64,2.0,-3.58,M
19/10/2021,14.26,14.92,15.06,14.0,1.85,-6.12,M
18/10/2021,15.19,15.12,15.65,14.75,1.81,-0.39,M
15/10/2021,15.25,15.42,15.57,15.1,766.7,-0.52,K
14/10/2021,15.33,15.53,15.82,15.08,520.4,-0.26,K
13/10/2021,15.37,15.18,15.88,15.11,1.72,1.25,M
11/10/2021,15.18,15.68,16.05,15.17,731.7,-3.19,K
08/10/2021,15.68,15.52,16.18,15.23,623.5,1.95,K
07/10/2021,15.38,15.33,15.66,15.07,511.9,0.92,K
06/10/2021,15.24,15.78,15.78,14.6,1.8,-4.75,M
05/10/2021,16.0,16.47,16.48,15.86,417.2,-1.54,K
04/10/2021,16.25,16.87,17.14,15.97,451.8,-3.68,K
01/10/2021,16.87,16.67,17.1,16.6,666.2,1.63,K
30/09/2021,16.6,17.11,17.13,16.46,468.4,-1.25,K
29/09/2021,16.81,17.31,17.59,16.69,1.15,-1.87,M
28/09/2021,17.13,17.66,18.1,17.01,1.26,-5.36,M
27/09/2021,18.1,18.21,18.49,17.8,689.0,-1.36,K
24/09/2021,18.35,18.41,18.65,18.08,554.0,-2.5,K
23/09/2021,18.82,18.35,19.2,18.35,472.5,2.56,K
22/09/2021,18.35,18.34,18.74,18.1,749.0,1.49,K
21/09/2021,18.08,18.05,18.6,17.73,751.0,0.78,K
20/09/2021,17.94,18.36,18.59,17.34,1.1,-5.28,M
17/09/2021,18.94,19.49,19.5,18.82,698.5,-2.87,K
16/09/2021,19.5,19.58,19.79,19.23,564.7,-1.32,K
15/09/2021,19.76,20.19,20.19,19.52,509.8,-2.13,K
14/09/2021,20.19,20.31,20.72,19.75,761.0,0.05,K
13/09/2021,20.18,19.69,20.24,19.5,626.8,5.1,K
10/09/2021,19.2,20.03,20.5,19.2,1.09,-1.54,M
09/09/2021,19.5,20.03,20.35,19.0,1.95,-3.99,M
08/09/2021,20.31,22.51,22.51,20.31,699.8,-9.61,K
06/09/2021,22.47,22.69,23.02,22.26,417.4,-2.73,K
03/09/2021,23.1,22.68,23.23,21.72,1.86,4.52,M
02/09/2021,22.1,22.96,22.96,22.1,600.5,-3.87,K
01/09/2021,22.99,22.95,23.45,22.51,464.1,0.17,K
31/08/2021,22.95,23.85,24.33,22.57,1.73,-4.02,M
30/08/2021,23.91,23.93,24.39,23.73,634.6,-0.38,K
27/08/2021,24.0,23.33,24.38,23.33,543.2,2.61,K
26/08/2021,23.39,23.8,24.08,23.13,708.8,-1.43,K
25/08/2021,23.73,22.64,23.94,22.64,747.3,4.17,K
24/08/2021,22.78,23.61,23.81,22.32,1.06,-1.26,M
23/08/2021,23.07,21.25,23.14,21.09,1.33,9.65,M
20/08/2021,21.04,19.99,21.3,19.82,1.24,4.37,M
19/08/2021,20.16,18.7,20.29,18.69,1.09,3.54,M
18/08/2021,19.47,19.93,20.02,19.13,1.83,-2.31,M
17/08/2021,19.93,22.0,22.09,19.56,2.04,-8.16,M
16/08/2021,21.7,22.4,23.15,21.4,1.88,-2.16,M
13/08/2021,22.18,22.84,22.99,21.0,2.02,2.21,M
12/08/2021,21.7,21.59,22.13,20.96,945.7,0.46,K
11/08/2021,21.6,20.97,22.25,20.8,1.27,2.13,M
10/08/2021,21.15,20.8,21.4,20.67,699.5,1.73,K
09/08/2021,20.79,20.07,20.99,20.07,623.9,1.51,K
06/08/2021,20.48,19.44,20.49,19.43,459.1,5.08,K
05/08/2021,19.49,20.2,20.68,19.27,941.0,-2.55,K
04/08/2021,20.0,20.03,20.33,19.72,1.98,-0.74,M
03/08/2021,20.15,19.51,20.21,18.64,1.06,3.33,M
02/08/2021,19.5,19.2,19.68,18.84,853.6,3.17,K
30/07/2021,18.9,19.01,19.19,18.6,909.1,-1.46,K
29/07/2021,19.18,19.0,19.33,18.66,542.4,0.95,K
28/07/2021,19.0,19.4,19.85,19.0,726.2,-2.06,K
27/07/2021,19.4,19.99,20.06,18.92,1.29,-3.0,M
26/07/2021,20.0,20.0,20.18,19.12,1.72,-0.6,M
23/07/2021,20.12,20.16,20.69,19.54,1.26,0.25,M
22/07/2021,20.07,21.14,21.29,20.07,1.96,-5.69,M
21/07/2021,21.28,21.88,22.0,20.55,677.7,-2.74,K
20/07/2021,21.88,21.55,22.24,21.55,266.2,0.74,K
19/07/2021,21.72,21.97,21.97,20.97,542.7,-2.38,K
16/07/2021,22.25,22.6,22.82,21.99,258.6,-1.11,K
15/07/2021,22.5,23.3,23.35,22.5,388.3,-2.72,K
14/07/2021,23.13,23.2,23.41,22.72,383.4,0.26,K
13/07/2021,23.07,22.57,23.21,22.33,578.3,1.76,K
12/07/2021,22.67,22.9,23.43,22.33,560.5,-0.13,K
08/07/2021,22.7,22.4,22.92,22.26,500.4,-1.05,K
07/07/2021,22.94,23.87,23.99,22.68,1.26,-3.45,M
06/07/2021,23.76,25.29,25.41,23.76,829.5,-5.53,K
05/07/2021,25.15,24.65,25.35,24.44,707.8,1.82,K
02/07/2021,24.7,23.53,24.9,23.34,1.07,4.97,M
01/07/2021,23.53,23.52,23.75,23.26,778.9,0.34,K
30/06/2021,23.45,22.98,23.75,22.71,1.14,1.82,M
29/06/2021,23.03,22.5,23.21,22.11,1.11,2.36,M
28/06/2021,22.5,21.71,22.62,21.71,756.6,3.59,K
25/06/2021,21.72,22.2,22.25,21.3,608.1,-2.16,K
24/06/2021,22.2,22.78,22.78,21.94,1.6,-0.54,M
23/06/2021,22.32,21.55,22.59,21.55,737.3,3.57,K
22/06/2021,21.55,21.2,21.74,21.2,713.6,2.38,K
21/06/2021,21.05,20.41,21.05,20.11,780.4,4.31,K
18/06/2021,20.18,20.4,20.63,19.97,455.3,-0.98,K
17/06/2021,20.38,20.4,20.55,20.09,701.8,-0.49,K
16/06/2021,20.48,21.05,21.4,19.95,713.3,-2.48,K
15/06/2021,21.0,21.32,21.56,20.82,475.1,-1.32,K
14/06/2021,21.28,21.65,22.34,21.04,1.09,-0.61,M
11/06/2021,21.41,21.65,22.04,21.23,374.7,-1.47,K
10/06/2021,21.73,22.69,23.0,21.71,1.12,-3.42,M
09/06/2021,22.5,20.6,22.53,20.57,1.65,9.22,M
08/06/2021,20.6,21.11,21.3,20.4,482.8,-1.9,K
07/06/2021,21.0,21.49,21.49,20.92,750.5,-1.41,K
04/06/2021,21.3,22.29,22.3,21.16,3.49,-4.05,M
02/06/2021,22.2,22.64,22.96,21.76,951.6,-1.73,K
01/06/2021,22.59,23.44,23.53,22.49,758.2,-2.96,K
31/05/2021,23.28,23.3,23.84,22.75,375.6,0.13,K
28/05/2021,23.25,23.53,23.81,23.05,817.2,-1.06,K
