Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.0,4.73,5.0,4.45,1.71,3.95,M
23/02/2022,4.81,4.95,5.09,4.8,2.03,-3.61,M
22/02/2022,4.99,4.95,5.05,4.8,1.12,0.6,M
21/02/2022,4.96,5.14,5.15,4.71,959.2,-2.55,K
18/02/2022,5.09,5.33,5.38,5.08,1.65,-4.5,M
17/02/2022,5.33,5.38,5.46,5.28,773.3,-1.66,K
16/02/2022,5.42,5.43,5.43,5.23,525.9,1.31,K
15/02/2022,5.35,5.16,5.42,5.13,502.0,3.88,K
14/02/2022,5.15,5.16,5.26,5.02,551.8,-0.58,K
11/02/2022,5.18,5.49,5.59,5.06,1.27,-5.3,M
10/02/2022,5.47,5.66,5.73,5.28,1.07,-2.32,M
09/02/2022,5.6,5.7,5.82,5.58,744.3,-2.1,K
08/02/2022,5.72,5.88,5.99,5.72,846.9,-2.89,K
07/02/2022,5.89,5.64,6.09,5.63,1.61,3.33,M
04/02/2022,5.7,5.65,5.7,5.25,1.18,1.97,M
03/02/2022,5.59,5.79,5.83,5.49,909.2,-2.44,K
02/02/2022,5.73,5.53,5.84,5.53,1.29,3.8,M
01/02/2022,5.52,5.67,5.68,5.4,1.35,-2.3,M
31/01/2022,5.65,5.32,5.68,5.28,1.77,6.4,M
28/01/2022,5.31,5.31,5.37,5.15,786.7,-1.12,K
27/01/2022,5.37,5.69,5.69,5.3,949.3,-4.96,K
26/01/2022,5.65,5.57,5.82,5.52,993.8,2.36,K
25/01/2022,5.52,5.21,5.68,5.15,1.32,5.34,M
24/01/2022,5.24,5.22,5.27,4.98,852.5,0.19,K
21/01/2022,5.23,5.15,5.54,5.09,944.8,0.38,K
20/01/2022,5.21,5.03,5.34,4.99,1.43,4.62,M
19/01/2022,4.98,5.15,5.31,4.92,2.07,-1.58,M
18/01/2022,5.06,5.3,5.31,5.04,661.4,-5.77,K
17/01/2022,5.37,5.4,5.49,5.29,289.2,0.56,K
14/01/2022,5.34,5.33,5.44,5.11,686.6,0.0,K
13/01/2022,5.34,5.54,5.65,5.33,1.15,-4.3,M
12/01/2022,5.58,5.49,5.87,5.43,3.76,2.76,M
11/01/2022,5.43,5.0,5.53,4.93,1.11,8.6,M
10/01/2022,5.0,5.59,5.62,5.0,1.52,-9.58,M
07/01/2022,5.53,5.7,5.81,5.44,924.0,-2.64,K
06/01/2022,5.68,5.5,6.26,5.43,4.83,3.27,M
05/01/2022,5.5,5.82,5.93,5.41,1.1,-5.17,M
04/01/2022,5.8,6.25,6.43,5.59,7.51,-9.37,M
03/01/2022,6.4,6.1,6.4,5.79,1.39,6.67,M
30/12/2021,6.0,6.01,6.14,5.91,1.19,-0.17,M
29/12/2021,6.01,6.23,6.25,5.9,389.2,-3.84,K
28/12/2021,6.25,6.3,6.46,6.17,232.2,-2.04,K
27/12/2021,6.38,6.28,6.47,6.18,718.4,3.91,K
23/12/2021,6.14,6.1,6.18,5.99,1.01,0.66,M
22/12/2021,6.1,6.25,6.41,5.96,461.5,-2.09,K
21/12/2021,6.23,6.37,6.43,6.07,642.1,-1.58,K
20/12/2021,6.33,6.5,6.8,6.27,685.0,-5.24,K
17/12/2021,6.68,6.44,6.68,6.34,1.59,2.77,M
16/12/2021,6.5,6.47,6.78,6.39,948.4,1.56,K
15/12/2021,6.4,6.11,6.45,6.03,1.06,3.23,M
14/12/2021,6.2,6.53,6.53,6.1,1.87,-4.76,M
13/12/2021,6.51,6.89,6.89,6.51,725.2,-3.98,K
