Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,25.66,24.01,26.16,23.86,21.16,1.66,M
23/02/2022,25.24,25.54,26.64,25.01,15.9,-1.37,M
22/02/2022,25.59,24.78,25.68,24.75,11.34,4.41,M
21/02/2022,24.51,25.0,25.34,24.04,9.4,-2.78,M
18/02/2022,25.21,25.61,26.07,25.03,10.32,-0.32,M
17/02/2022,25.29,25.25,25.9,25.02,13.88,0.0,M
16/02/2022,25.29,24.9,25.78,23.82,26.23,2.1,M
15/02/2022,24.77,23.75,24.95,23.67,14.23,6.08,M
14/02/2022,23.35,23.2,23.85,23.15,9.66,0.82,M
11/02/2022,23.16,23.45,23.96,22.86,14.87,-0.47,M
10/02/2022,23.27,23.36,23.57,22.6,16.08,-0.64,M
09/02/2022,23.42,22.88,23.93,22.76,18.35,2.18,M
08/02/2022,22.92,22.6,23.1,22.13,10.75,1.6,M
07/02/2022,22.56,22.92,23.06,22.42,7.24,-1.96,M
04/02/2022,23.01,23.24,23.26,22.23,8.77,-0.82,M
03/02/2022,23.2,23.59,23.95,22.64,12.92,-1.36,M
02/02/2022,23.52,24.25,24.81,23.24,13.34,-2.93,M
01/02/2022,24.23,24.13,24.59,23.91,11.69,0.25,M
31/01/2022,24.17,23.42,24.4,23.35,26.87,3.03,M
28/01/2022,23.46,23.69,24.04,23.21,12.84,-2.33,M
27/01/2022,24.02,23.41,24.48,23.32,23.15,3.58,M
26/01/2022,23.19,22.93,24.2,22.93,30.68,2.7,M
25/01/2022,22.58,21.46,22.92,21.22,17.24,4.78,M
24/01/2022,21.55,21.3,21.7,20.65,16.74,0.98,M
21/01/2022,21.34,21.17,21.84,21.02,10.54,0.0,M
20/01/2022,21.34,20.02,21.68,19.97,25.46,7.24,M
19/01/2022,19.9,19.09,20.05,18.99,11.13,5.4,M
18/01/2022,18.88,19.53,19.6,18.63,14.43,-4.31,M
17/01/2022,19.73,19.8,20.04,19.48,5.09,-0.5,M
14/01/2022,19.83,19.14,20.08,19.14,10.77,2.96,M
13/01/2022,19.26,19.64,19.88,19.13,7.58,-2.73,M
12/01/2022,19.8,19.66,20.14,19.3,14.69,1.33,M
11/01/2022,19.54,19.0,19.56,18.85,13.09,4.44,M
10/01/2022,18.71,18.55,18.82,18.04,11.19,0.43,M
07/01/2022,18.63,18.44,18.89,18.11,17.37,0.54,M
06/01/2022,18.53,18.7,18.82,18.03,15.89,-1.33,M
05/01/2022,18.78,19.72,20.05,18.71,28.63,-5.2,M
04/01/2022,19.81,20.28,20.35,19.59,15.1,-1.83,M
03/01/2022,20.18,20.8,21.38,20.0,11.19,-3.9,M
30/12/2021,21.0,20.85,21.05,20.68,7.23,1.45,M
29/12/2021,20.7,20.95,20.99,20.41,5.41,-0.77,M
28/12/2021,20.86,21.6,21.63,20.55,8.41,-2.8,M
27/12/2021,21.46,21.5,21.88,21.25,4.39,0.05,M
23/12/2021,21.45,21.95,22.0,21.38,4.83,-2.28,M
