Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.13,9.52,10.32,9.39,8.59,1.4,M
23/02/2022,9.99,10.28,10.55,9.98,5.73,-2.25,M
22/02/2022,10.22,10.35,10.59,10.18,4.93,0.2,M
21/02/2022,10.2,10.66,10.73,10.2,3.26,-4.49,M
18/02/2022,10.68,11.32,11.59,10.6,6.06,-5.4,M
17/02/2022,11.29,11.0,11.45,10.92,9.09,1.44,M
16/02/2022,11.13,11.08,11.34,10.85,6.3,0.45,M
15/02/2022,11.08,10.14,11.09,10.12,9.74,10.47,M
14/02/2022,10.03,10.03,10.29,9.92,5.08,0.8,M
11/02/2022,9.95,9.98,10.29,9.83,10.03,0.0,M
10/02/2022,9.95,10.01,10.23,9.93,7.42,-0.5,M
09/02/2022,10.0,10.01,10.24,9.85,9.28,0.0,M
08/02/2022,10.0,9.5,10.07,9.35,22.65,7.87,M
07/02/2022,9.27,9.24,9.38,9.05,4.79,0.65,M
04/02/2022,9.21,9.21,9.28,8.8,8.49,-0.11,M
03/02/2022,9.22,9.68,9.84,9.2,12.09,-3.96,M
02/02/2022,9.6,10.45,10.54,9.55,11.95,-7.34,M
01/02/2022,10.36,10.95,10.96,10.27,9.74,-5.22,M
31/01/2022,10.93,10.2,11.0,10.15,5.61,7.58,M
28/01/2022,10.16,10.45,10.66,10.15,4.34,-3.33,M
27/01/2022,10.51,10.38,11.02,10.35,7.23,3.44,M
26/01/2022,10.16,10.31,10.63,10.07,8.3,2.11,M
25/01/2022,9.95,9.47,10.06,9.31,9.22,3.65,M
24/01/2022,9.6,10.13,10.14,9.31,8.92,-5.88,M
21/01/2022,10.2,10.29,10.75,10.09,5.87,-2.11,M
20/01/2022,10.42,9.97,10.73,9.97,9.87,5.25,M
19/01/2022,9.9,9.55,9.95,9.47,8.46,4.21,M
18/01/2022,9.5,9.74,9.82,9.5,4.79,-3.85,M
17/01/2022,9.88,10.11,10.14,9.76,4.52,-3.23,M
14/01/2022,10.21,9.66,10.41,9.6,11.12,6.13,M
13/01/2022,9.62,9.68,9.78,9.39,8.7,-0.62,M
12/01/2022,9.68,9.78,10.24,9.56,9.1,-0.41,M
11/01/2022,9.72,9.55,9.86,9.4,24.08,1.89,M
10/01/2022,9.54,9.48,9.66,9.28,8.61,-1.14,M
07/01/2022,9.65,9.51,9.86,9.17,9.47,0.94,M
06/01/2022,9.56,9.53,9.91,9.31,5.86,1.06,M
05/01/2022,9.46,9.27,10.0,8.95,14.46,0.32,M
04/01/2022,9.43,10.26,10.35,9.39,7.32,-7.82,M
03/01/2022,10.23,10.71,11.0,10.12,6.36,-4.21,M
30/12/2021,10.68,10.63,11.16,10.57,5.43,0.95,M
29/12/2021,10.58,10.55,10.9,10.47,4.42,0.47,M
28/12/2021,10.53,10.44,10.77,10.43,5.6,0.29,M
27/12/2021,10.5,10.86,11.22,10.46,8.39,-3.23,M
23/12/2021,10.85,10.82,10.97,10.43,8.52,0.84,M
22/12/2021,10.76,10.0,10.87,10.0,10.37,6.01,M
21/12/2021,10.15,10.36,10.48,9.94,6.49,-0.88,M
20/12/2021,10.24,10.41,10.74,10.18,7.44,-2.66,M
17/12/2021,10.52,10.74,10.9,10.46,7.01,-4.01,M
16/12/2021,10.96,11.62,11.75,10.88,7.67,-4.45,M
15/12/2021,11.47,10.96,11.59,10.28,14.52,6.01,M
14/12/2021,10.82,12.44,12.53,10.82,18.25,-12.18,M
13/12/2021,12.32,13.49,13.7,12.32,8.96,-8.61,M
10/12/2021,13.48,11.8,13.58,11.8,11.09,15.31,M
09/12/2021,11.69,12.25,12.68,11.46,8.61,-5.19,M
08/12/2021,12.33,12.45,12.72,12.02,6.21,-0.8,M
07/12/2021,12.43,12.15,12.55,11.94,6.08,6.06,M
06/12/2021,11.72,11.83,11.93,11.17,6.21,1.38,M
03/12/2021,11.56,11.08,12.27,11.08,7.82,5.0,M
02/12/2021,11.01,11.26,11.52,10.81,5.15,0.64,M
01/12/2021,10.94,11.56,11.84,10.86,5.6,-2.84,M
30/11/2021,11.26,11.69,12.04,11.01,5.83,-4.41,M
29/11/2021,11.78,11.72,12.2,11.57,5.81,2.7,M
26/11/2021,11.47,11.6,11.99,11.24,6.25,-6.75,M
25/11/2021,12.3,11.43,12.57,11.42,10.41,8.27,M
24/11/2021,11.36,10.75,11.44,10.6,4.64,5.19,M
23/11/2021,10.8,11.08,11.13,10.4,7.04,-1.37,M
22/11/2021,10.95,11.41,11.75,10.82,7.41,-4.37,M
19/11/2021,11.45,11.61,12.18,11.3,6.05,-2.39,M
18/11/2021,11.73,11.48,12.19,11.29,8.93,2.8,M
17/11/2021,11.41,12.02,12.21,11.18,9.18,-4.68,M
16/11/2021,11.97,13.06,13.19,11.91,5.13,-7.85,M
12/11/2021,12.99,13.66,13.73,12.83,3.61,-3.85,M
11/11/2021,13.51,12.64,13.85,12.63,9.19,7.39,M
10/11/2021,12.58,12.18,13.28,12.12,9.58,3.45,M
09/11/2021,12.16,12.3,12.58,12.01,8.36,-1.14,M
08/11/2021,12.3,12.85,12.97,12.2,5.0,-5.82,M
05/11/2021,13.06,12.96,13.35,12.81,5.96,1.4,M
