Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,29.0,27.99,29.14,27.55,3.56,0.62,M
23/02/2022,28.82,29.78,29.94,28.81,2.96,-2.17,M
22/02/2022,29.46,29.75,29.85,29.06,4.03,-0.57,M
21/02/2022,29.63,29.32,29.78,29.11,3.01,2.0,M
18/02/2022,29.05,29.21,29.45,28.99,3.68,0.38,M
17/02/2022,28.94,29.67,29.69,28.94,3.73,-3.08,M
16/02/2022,29.86,30.01,30.49,29.77,3.01,-0.17,M
15/02/2022,29.91,30.35,30.61,29.72,4.35,-3.67,M
14/02/2022,31.05,31.0,31.4,30.79,3.94,-0.7,M
11/02/2022,31.27,30.94,31.45,30.47,8.1,1.1,M
10/02/2022,30.93,30.44,31.22,30.37,6.71,2.42,M
09/02/2022,30.2,29.57,30.47,29.3,2.21,1.17,M
08/02/2022,29.85,29.7,30.0,29.29,3.7,1.15,M
07/02/2022,29.51,28.79,29.75,28.79,4.33,2.64,M
04/02/2022,28.75,28.1,28.78,28.07,2.48,2.13,M
03/02/2022,28.15,28.22,28.28,27.81,2.61,0.07,M
02/02/2022,28.13,27.92,28.33,27.55,4.31,1.15,M
01/02/2022,27.81,26.75,28.05,26.75,4.55,3.65,M
31/01/2022,26.83,27.09,27.23,26.56,4.02,-1.07,M
28/01/2022,27.12,27.28,27.42,26.88,4.61,0.44,M
27/01/2022,27.0,27.49,27.5,26.6,3.42,-0.33,M
26/01/2022,27.09,27.5,28.15,26.98,3.43,-0.04,M
25/01/2022,27.1,26.8,27.29,26.7,2.51,0.93,M
24/01/2022,26.85,27.38,27.4,26.41,5.89,-2.89,M
21/01/2022,27.65,28.15,28.17,27.38,4.5,-2.37,M
20/01/2022,28.32,28.81,29.08,28.16,4.08,-1.36,M
19/01/2022,28.71,28.14,28.99,28.11,4.22,3.05,M
18/01/2022,27.86,27.42,28.24,27.42,11.71,1.79,M
17/01/2022,27.37,27.35,27.74,27.26,3.84,-0.55,M
14/01/2022,27.52,27.2,27.58,26.69,3.49,0.51,M
13/01/2022,27.38,27.5,27.66,27.15,3.74,-1.3,M
12/01/2022,27.74,27.65,28.04,27.51,6.83,1.65,M
11/01/2022,27.29,26.78,27.8,26.69,6.47,2.4,M
10/01/2022,26.65,26.44,26.87,26.18,4.39,-0.04,M
07/01/2022,26.66,25.71,26.67,25.56,5.27,3.94,M
06/01/2022,25.65,25.06,25.88,25.04,7.74,2.85,M
05/01/2022,24.94,24.84,25.32,24.55,7.42,0.24,M
04/01/2022,24.88,24.95,25.22,24.65,6.52,0.93,M
03/01/2022,24.65,25.18,25.54,24.63,5.28,-1.36,M
