Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,17.34,17.78,17.78,16.8,19.86,-6.07,M
23/02/2022,18.46,19.48,19.7,18.46,12.67,-4.6,M
22/02/2022,19.35,18.31,19.45,18.02,23.52,5.51,M
21/02/2022,18.34,18.8,18.83,18.28,7.6,-2.55,M
18/02/2022,18.82,18.99,19.1,18.82,6.73,-0.69,M
17/02/2022,18.95,18.94,19.05,18.75,15.27,-0.26,M
16/02/2022,19.0,19.02,19.02,18.78,14.58,0.0,M
15/02/2022,19.0,19.2,19.2,18.81,7.76,0.21,M
14/02/2022,18.96,18.86,19.03,18.6,15.96,0.8,M
11/02/2022,18.81,19.19,19.44,18.53,10.01,-1.72,M
10/02/2022,19.14,19.01,19.39,18.8,11.59,1.27,M
09/02/2022,18.9,18.6,18.9,18.23,13.99,3.0,M
08/02/2022,18.35,18.4,18.54,18.13,12.23,-0.11,M
07/02/2022,18.37,18.83,18.83,17.59,36.3,-2.03,M
04/02/2022,18.75,19.9,19.9,18.55,24.92,-5.54,M
03/02/2022,19.85,20.01,20.3,19.82,19.13,-0.5,M
02/02/2022,19.95,20.0,20.1,19.51,45.58,-7.77,M
01/02/2022,21.63,22.19,22.36,21.5,10.72,-3.13,M
31/01/2022,22.33,22.76,22.76,21.67,12.32,-2.28,M
28/01/2022,22.85,22.97,23.08,22.55,6.55,-1.08,M
27/01/2022,23.1,23.0,23.65,22.75,4.82,1.23,M
26/01/2022,22.82,23.4,23.45,22.81,4.39,-1.85,M
25/01/2022,23.25,23.22,23.4,22.58,8.15,-0.9,M
24/01/2022,23.46,22.66,23.46,21.95,9.34,3.39,M
21/01/2022,22.69,23.3,23.4,22.66,7.28,-2.87,M
20/01/2022,23.36,23.72,24.23,23.11,5.79,-1.48,M
19/01/2022,23.71,23.55,23.95,23.12,7.06,1.67,M
18/01/2022,23.32,24.5,24.5,23.04,14.15,-5.78,M
17/01/2022,24.75,24.2,24.75,23.22,11.36,1.85,M
14/01/2022,24.3,24.05,24.56,23.9,5.82,1.21,M
13/01/2022,24.01,24.03,25.12,24.01,12.98,0.71,M
12/01/2022,23.84,23.25,24.16,22.91,9.32,2.67,M
11/01/2022,23.22,23.52,23.53,22.42,12.88,-1.28,M
10/01/2022,23.52,24.37,24.75,23.25,9.39,-4.39,M
07/01/2022,24.6,24.34,25.46,23.65,25.84,1.23,M
06/01/2022,24.3,22.77,24.39,22.36,21.82,7.05,M
05/01/2022,22.7,22.73,23.63,22.5,19.01,1.25,M
04/01/2022,22.42,23.39,23.44,21.96,12.33,-3.45,M
03/01/2022,23.22,22.52,23.32,22.25,12.28,3.11,M
30/12/2021,22.52,22.62,22.79,22.22,4.27,0.72,M
29/12/2021,22.36,22.66,22.75,22.22,3.11,-1.02,M
28/12/2021,22.59,22.23,22.84,22.07,3.78,1.62,M
27/12/2021,22.23,22.73,23.16,22.12,5.73,-1.72,M
23/12/2021,22.62,22.21,23.17,22.15,9.64,1.98,M
22/12/2021,22.18,22.21,22.94,21.9,10.45,0.45,M
21/12/2021,22.08,21.27,22.42,21.02,7.78,3.81,M
20/12/2021,21.27,21.0,21.97,20.91,7.41,-1.07,M
17/12/2021,21.5,20.61,22.67,20.61,23.38,5.39,M
16/12/2021,20.4,20.71,20.76,20.04,6.66,-0.39,M
15/12/2021,20.48,20.59,21.24,20.3,6.99,1.09,M
14/12/2021,20.26,19.86,20.4,19.77,6.33,3.58,M
13/12/2021,19.56,20.16,20.24,19.56,5.27,-2.78,M
10/12/2021,20.12,19.89,20.37,19.77,6.49,2.18,M
09/12/2021,19.69,20.26,20.26,19.44,5.64,-2.52,M
08/12/2021,20.2,20.66,20.7,19.96,7.16,-1.17,M
07/12/2021,20.44,20.91,20.99,20.44,6.26,-0.78,M
06/12/2021,20.6,19.84,21.23,19.68,10.26,4.99,M
03/12/2021,19.62,19.69,20.06,19.38,6.04,-0.76,M
02/12/2021,19.77,19.47,19.94,19.26,5.83,2.75,M
01/12/2021,19.24,19.97,19.97,18.91,10.1,-2.58,M
30/11/2021,19.75,20.23,20.29,19.16,12.05,-3.19,M
29/11/2021,20.4,20.87,20.87,20.23,5.18,-0.73,M
26/11/2021,20.55,20.99,21.17,20.33,4.26,-4.68,M
25/11/2021,21.56,21.74,22.11,21.42,3.21,-0.23,M
24/11/2021,21.61,21.38,21.91,20.94,4.58,0.14,M
23/11/2021,21.58,21.51,21.73,20.85,6.58,0.89,M
22/11/2021,21.39,22.77,22.77,21.35,6.88,-5.65,M
19/11/2021,22.67,22.77,23.36,22.48,7.82,0.67,M
18/11/2021,22.52,22.43,22.92,22.24,5.17,0.13,M
17/11/2021,22.49,22.84,23.18,22.29,5.57,-0.62,M
16/11/2021,22.63,22.9,23.27,22.52,6.27,-1.05,M
12/11/2021,22.87,23.31,23.45,22.7,5.7,-0.13,M
11/11/2021,22.9,23.01,23.74,22.02,11.07,-0.95,M
10/11/2021,23.12,23.5,23.67,23.02,5.64,-1.78,M
09/11/2021,23.54,23.19,24.07,23.18,6.13,1.6,M
08/11/2021,23.17,23.6,23.91,23.15,3.8,-2.28,M
05/11/2021,23.71,23.51,23.92,23.38,3.87,1.85,M
