Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,46.8,45.69,46.95,45.22,3.18,-0.17,M
23/02/2022,46.88,47.22,47.53,46.09,3.2,-0.66,M
22/02/2022,47.19,48.13,48.13,46.75,1.99,-1.69,M
21/02/2022,48.0,49.94,49.94,47.46,3.12,-4.06,M
18/02/2022,50.03,51.18,51.19,50.0,1.82,-1.46,M
17/02/2022,50.77,51.22,51.5,50.32,2.08,-1.47,M
16/02/2022,51.53,52.15,52.15,51.1,2.3,-0.16,M
15/02/2022,51.61,53.0,53.32,51.54,2.62,-1.88,M
14/02/2022,52.6,53.17,53.61,52.48,2.13,-1.13,M
11/02/2022,53.2,54.87,55.09,52.73,3.27,-2.6,M
10/02/2022,54.62,54.21,54.88,53.78,2.14,1.35,M
09/02/2022,53.89,54.45,55.32,53.32,2.5,-0.28,M
08/02/2022,54.04,54.53,54.63,53.43,2.37,-1.24,M
07/02/2022,54.72,53.73,55.11,53.58,3.67,1.16,M
04/02/2022,54.09,51.08,54.09,50.76,3.28,5.27,M
03/02/2022,51.38,51.19,52.33,50.9,3.19,0.67,M
02/02/2022,51.04,51.49,51.71,50.53,2.72,-0.62,M
01/02/2022,51.36,49.26,51.59,49.26,4.12,4.45,M
31/01/2022,49.17,49.53,50.22,48.52,4.15,-1.66,M
28/01/2022,50.0,50.36,51.55,49.39,14.38,7.5,M
27/01/2022,46.51,48.0,48.92,45.71,8.72,-2.7,M
26/01/2022,47.8,50.5,51.55,47.65,5.25,-4.17,M
25/01/2022,49.88,49.6,50.54,48.35,4.05,-0.14,M
24/01/2022,49.95,47.82,50.0,46.82,3.8,3.63,M
21/01/2022,48.2,48.98,49.8,48.13,3.15,-2.01,M
20/01/2022,49.19,49.2,50.09,49.07,2.49,-0.02,M
19/01/2022,49.2,49.65,51.06,49.2,3.85,0.14,M
18/01/2022,49.13,48.39,49.5,47.86,3.45,0.99,M
17/01/2022,48.65,51.77,52.1,48.47,5.4,-6.73,M
14/01/2022,52.16,52.3,52.86,50.41,2.83,0.21,M
13/01/2022,52.05,52.9,54.54,51.95,2.75,-2.07,M
12/01/2022,53.15,52.98,53.78,52.42,2.25,0.4,M
11/01/2022,52.94,53.53,54.15,52.42,2.25,-1.19,M
10/01/2022,53.58,52.47,54.42,52.47,2.8,1.59,M
07/01/2022,52.74,53.12,53.8,52.24,1.91,-0.28,M
06/01/2022,52.89,53.68,54.2,51.86,3.0,-1.64,M
05/01/2022,53.77,55.34,56.55,53.52,2.98,-4.8,M
04/01/2022,56.48,57.24,57.24,55.46,2.33,-0.63,M
03/01/2022,56.84,57.92,59.15,56.19,3.45,-1.37,M
30/12/2021,57.63,57.58,58.95,57.2,3.48,0.59,M
29/12/2021,57.29,57.39,58.03,56.99,1.26,0.0,M
28/12/2021,57.29,57.49,57.93,56.81,1.08,-0.14,M
27/12/2021,57.37,57.69,57.69,56.66,1.74,0.23,M
23/12/2021,57.24,56.6,58.25,56.39,3.06,1.13,M
22/12/2021,56.6,56.27,58.0,55.84,3.22,0.98,M
21/12/2021,56.05,56.0,56.61,55.42,1.59,1.08,M
20/12/2021,55.45,54.9,55.77,54.07,2.97,0.47,M
17/12/2021,55.19,54.96,57.06,54.51,3.92,-0.47,M
16/12/2021,55.45,57.0,57.72,54.5,4.88,-0.59,M
15/12/2021,55.78,52.95,55.99,52.65,4.41,6.19,M
14/12/2021,52.53,54.09,54.39,51.83,3.66,-2.29,M
13/12/2021,53.76,54.89,56.32,53.23,3.17,-0.81,M
10/12/2021,54.2,54.25,55.14,53.75,2.8,0.37,M
09/12/2021,54.0,56.6,56.6,53.45,7.0,-17.61,M
08/12/2021,65.54,67.1,67.65,64.83,6.0,-1.56,M
07/12/2021,66.58,69.0,69.66,66.01,7.09,0.27,M
06/12/2021,66.4,61.75,66.92,61.63,7.25,9.75,M
03/12/2021,60.5,58.16,62.13,58.03,6.76,4.67,M
02/12/2021,57.8,54.5,57.94,52.6,9.41,9.51,M
01/12/2021,52.78,51.3,54.58,51.1,6.22,5.45,M
30/11/2021,50.05,51.88,52.79,48.81,5.86,-4.12,M
29/11/2021,52.2,51.17,53.42,50.94,2.95,3.65,M
26/11/2021,50.36,50.49,50.9,49.56,1.43,-2.76,M
25/11/2021,51.79,51.38,52.28,50.66,1.83,1.43,M
24/11/2021,51.06,49.81,51.55,49.26,2.15,1.88,M
23/11/2021,50.12,47.44,50.59,47.4,3.13,6.68,M
22/11/2021,46.98,47.15,48.71,46.88,1.41,-0.38,M
19/11/2021,47.16,46.59,47.74,46.09,1.25,1.22,M
18/11/2021,46.59,46.46,48.08,45.96,2.83,0.82,M
17/11/2021,46.21,48.75,49.27,45.85,3.02,-4.13,M
16/11/2021,48.2,48.97,50.0,48.15,3.27,-0.62,M
12/11/2021,48.5,48.15,49.17,47.34,2.94,0.73,M
11/11/2021,48.15,50.52,52.1,47.9,6.02,-2.94,M
10/11/2021,49.61,55.0,55.0,49.25,10.29,-11.88,M
09/11/2021,56.3,55.73,57.48,55.5,1.86,0.91,M
08/11/2021,55.79,54.6,57.5,54.28,2.38,2.01,M
05/11/2021,54.69,53.84,55.36,53.41,1.97,2.74,M
04/11/2021,53.23,54.11,56.01,52.54,1.8,-1.64,M
03/11/2021,54.12,53.6,54.88,52.22,2.82,0.88,M
01/11/2021,53.65,55.14,55.14,53.17,2.59,-1.49,M
29/10/2021,54.46,56.67,56.67,54.14,1.66,-3.49,M
28/10/2021,56.43,56.73,57.48,55.37,2.56,-0.93,M
27/10/2021,56.96,57.18,57.78,55.7,2.41,-0.12,M
26/10/2021,57.03,55.96,58.37,54.38,3.55,1.78,M
25/10/2021,56.03,55.41,56.98,55.06,1.67,2.11,M
22/10/2021,54.87,56.55,56.55,53.11,3.98,-3.67,M
21/10/2021,56.96,58.39,58.89,55.32,2.83,-3.6,M
20/10/2021,59.09,57.75,59.72,56.8,3.0,2.78,M
19/10/2021,57.49,58.17,59.08,57.13,2.06,-2.82,M
18/10/2021,59.16,57.74,59.75,57.74,1.87,0.39,M
15/10/2021,58.93,57.64,59.55,57.62,2.07,2.04,M
14/10/2021,57.75,59.0,59.34,57.05,1.87,-1.64,M
13/10/2021,58.71,56.77,59.48,56.01,2.76,3.89,M
11/10/2021,56.51,58.18,58.18,56.0,2.18,-2.38,M
08/10/2021,57.89,57.18,58.89,56.91,2.35,2.21,M
07/10/2021,56.64,57.6,59.11,56.6,2.76,-0.63,M
06/10/2021,57.0,58.94,59.09,56.5,4.0,-4.49,M
05/10/2021,59.68,59.03,61.87,58.95,2.73,1.31,M
04/10/2021,58.91,59.51,59.74,57.8,2.34,-0.62,M
01/10/2021,59.28,59.71,60.25,58.4,2.61,-0.1,M
30/09/2021,59.34,61.56,62.11,59.01,4.83,-2.37,M
29/09/2021,60.78,56.46,61.73,56.37,6.17,9.06,M
28/09/2021,55.73,57.47,58.99,55.54,3.53,-3.03,M
27/09/2021,57.47,57.75,59.0,57.0,3.13,-0.85,M
24/09/2021,57.96,56.14,58.43,55.43,2.93,2.4,M
23/09/2021,56.6,57.56,57.97,56.0,3.59,-1.14,M
22/09/2021,57.25,59.12,60.6,57.16,3.97,-2.07,M
21/09/2021,58.46,59.4,60.6,58.1,2.78,0.12,M
20/09/2021,58.39,62.79,63.19,57.9,8.03,-11.54,M
17/09/2021,66.01,69.34,69.69,65.7,4.98,-5.01,M
16/09/2021,69.49,69.54,70.4,68.6,2.91,-0.97,M
15/09/2021,70.17,69.79,70.55,69.05,3.41,1.08,M
14/09/2021,69.42,68.49,70.34,68.49,4.39,3.0,M
13/09/2021,67.4,68.09,68.4,66.91,1.75,0.3,M
10/09/2021,67.2,68.09,68.55,67.03,2.8,0.18,M
09/09/2021,67.08,65.8,67.85,65.2,3.67,2.76,M
08/09/2021,65.28,66.5,67.88,64.65,4.29,-2.67,M
06/09/2021,67.07,66.87,67.85,66.02,1.6,0.43,M
03/09/2021,66.78,67.98,69.16,66.2,4.82,-0.43,M
02/09/2021,67.07,67.01,68.02,65.91,4.21,-0.75,M
01/09/2021,67.58,66.48,68.39,65.15,7.08,2.41,M
31/08/2021,65.99,62.5,65.99,62.49,8.29,5.6,M
30/08/2021,62.49,62.69,63.12,60.93,2.62,-0.18,M
27/08/2021,62.6,61.59,62.85,61.59,2.68,1.52,M
26/08/2021,61.66,63.06,63.28,61.41,2.5,-1.91,M
25/08/2021,62.86,60.07,63.31,59.76,4.48,3.92,M
24/08/2021,60.49,60.36,61.4,60.18,1.89,0.68,M
23/08/2021,60.08,58.59,60.25,58.39,3.08,2.56,M
20/08/2021,58.58,56.15,59.14,56.15,2.29,1.95,M
19/08/2021,57.46,54.01,57.49,53.61,4.21,5.03,M
18/08/2021,54.71,52.89,56.2,52.89,4.88,4.21,M
17/08/2021,52.5,54.35,55.23,52.22,3.06,-3.78,M
16/08/2021,54.56,56.29,56.48,54.04,2.77,-3.42,M
13/08/2021,56.49,55.92,56.64,55.59,1.94,0.62,M
12/08/2021,56.14,56.78,57.08,55.9,1.61,-1.04,M
11/08/2021,56.73,56.92,57.32,56.02,1.46,-0.46,M
10/08/2021,56.99,57.15,58.28,56.2,2.3,-0.19,M
09/08/2021,57.1,56.49,57.8,55.44,1.65,1.12,M
06/08/2021,56.47,55.4,56.79,55.29,1.85,1.91,M
05/08/2021,55.41,58.43,59.96,54.67,4.19,-4.17,M
04/08/2021,57.82,57.45,58.35,56.6,1.69,-0.34,M
03/08/2021,58.02,57.98,58.39,55.9,2.32,-0.36,M
02/08/2021,58.23,57.21,58.95,56.79,2.75,0.83,M
30/07/2021,57.75,58.66,59.15,57.37,1.84,-2.71,M
29/07/2021,59.36,59.09,60.2,58.81,1.78,0.44,M
28/07/2021,59.1,58.51,59.46,58.31,2.18,1.9,M
27/07/2021,58.0,59.8,60.0,57.08,2.37,-3.73,M
26/07/2021,60.25,59.24,60.64,58.27,1.98,2.24,M
23/07/2021,58.93,62.41,62.74,58.76,3.39,-5.56,M
22/07/2021,62.4,62.65,63.78,62.17,2.1,-0.75,M
21/07/2021,62.87,60.0,63.0,59.78,2.77,4.59,M
20/07/2021,60.11,59.51,60.69,58.5,2.82,1.23,M
19/07/2021,59.38,59.6,59.6,58.22,2.3,-1.74,M
16/07/2021,60.43,61.94,63.0,59.94,2.31,-2.67,M
15/07/2021,62.09,62.13,63.79,61.74,2.93,-0.75,M
14/07/2021,62.56,60.54,62.82,59.83,3.36,4.62,M
13/07/2021,59.8,60.58,61.9,59.23,1.97,-0.99,M
12/07/2021,60.4,58.7,60.74,58.5,2.28,3.44,M
08/07/2021,58.39,57.08,58.58,56.55,2.63,-0.75,M
07/07/2021,58.83,59.6,59.6,57.65,2.19,-0.32,M
06/07/2021,59.02,61.1,61.48,58.6,2.17,-3.34,M
05/07/2021,61.06,59.6,61.75,59.4,1.92,1.77,M
02/07/2021,60.0,58.91,60.47,58.72,2.08,2.83,M
01/07/2021,58.35,59.79,59.79,58.12,1.8,-2.02,M
30/06/2021,59.55,59.11,60.0,58.08,3.37,0.39,M
29/06/2021,59.32,56.74,59.32,56.53,3.19,5.36,M
28/06/2021,56.3,55.58,56.61,55.02,1.47,1.59,M
25/06/2021,55.42,57.19,57.34,55.33,1.62,-2.6,M
24/06/2021,56.9,56.88,57.57,56.0,2.41,0.82,M
23/06/2021,56.44,55.25,56.87,54.94,1.99,2.82,M
22/06/2021,54.89,54.54,54.93,54.07,1.69,-0.4,M
21/06/2021,55.11,54.55,55.19,53.38,1.86,1.94,M
18/06/2021,54.06,54.08,54.97,52.48,2.88,0.41,M
17/06/2021,53.84,56.61,56.76,53.71,3.27,-5.38,M
16/06/2021,56.9,57.66,57.74,56.03,3.55,-0.85,M
15/06/2021,57.39,56.54,57.55,55.56,2.46,1.85,M
14/06/2021,56.35,57.85,58.1,55.9,2.7,-1.66,M
11/06/2021,57.3,60.0,60.0,57.22,3.52,-3.63,M
10/06/2021,59.46,57.6,60.19,57.53,3.12,4.26,M
09/06/2021,57.03,56.43,57.86,54.77,3.94,1.17,M
08/06/2021,56.37,60.74,61.53,56.11,4.39,-6.36,M
07/06/2021,60.2,59.39,60.74,58.09,4.17,2.19,M
