Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,9.72,9.3,9.89,9.12,19.94,1.14,M
23/02/2022,9.61,9.75,9.76,9.56,7.7,-0.52,M
22/02/2022,9.66,9.57,9.8,9.54,13.88,1.9,M
21/02/2022,9.48,9.76,9.77,9.38,8.23,-2.47,M
18/02/2022,9.72,9.71,9.91,9.65,11.36,0.52,M
17/02/2022,9.67,9.71,9.79,9.58,9.82,-0.51,M
16/02/2022,9.72,9.79,9.88,9.7,17.85,-0.61,M
15/02/2022,9.78,9.58,9.85,9.48,16.65,3.27,M
14/02/2022,9.47,9.46,9.65,9.38,18.19,1.18,M
11/02/2022,9.36,9.48,9.69,9.26,15.81,-0.32,M
10/02/2022,9.39,9.43,9.57,9.36,18.98,-0.53,M
09/02/2022,9.44,9.31,9.49,9.15,21.24,1.83,M
08/02/2022,9.27,9.54,9.55,9.18,27.47,-3.64,M
07/02/2022,9.62,9.26,9.62,9.11,20.57,3.89,M
04/02/2022,9.26,9.42,9.45,9.08,12.65,-1.8,M
03/02/2022,9.43,9.37,9.75,9.28,17.64,0.75,M
02/02/2022,9.36,9.52,9.68,9.23,16.71,-1.47,M
01/02/2022,9.5,9.6,9.64,9.39,15.84,-1.35,M
31/01/2022,9.63,9.48,9.63,9.39,15.82,2.12,M
28/01/2022,9.43,9.36,9.5,9.21,26.18,0.32,M
27/01/2022,9.4,9.37,9.49,9.21,30.06,2.06,M
26/01/2022,9.21,9.38,9.65,8.91,35.76,-0.75,M
25/01/2022,9.28,8.97,9.33,8.94,20.14,3.0,M
24/01/2022,9.01,9.22,9.25,8.89,26.94,-2.07,M
21/01/2022,9.2,8.88,9.2,8.88,30.49,2.22,M
20/01/2022,9.0,8.7,9.02,8.67,30.87,3.09,M
19/01/2022,8.73,8.45,8.73,8.38,33.42,4.55,M
18/01/2022,8.35,8.34,8.5,8.28,19.05,-0.71,M
17/01/2022,8.41,8.43,8.66,8.19,29.21,0.12,M
14/01/2022,8.4,8.16,8.52,7.9,64.28,7.01,M
13/01/2022,7.85,7.62,7.94,7.62,23.63,2.21,M
12/01/2022,7.68,7.3,7.73,7.27,27.45,5.93,M
11/01/2022,7.25,7.04,7.36,6.99,24.76,2.11,M
10/01/2022,7.1,7.22,7.27,6.89,26.87,-2.47,M
07/01/2022,7.28,7.27,7.38,7.09,17.68,-0.82,M
06/01/2022,7.34,7.62,7.62,7.26,24.02,-2.65,M
05/01/2022,7.54,7.84,8.03,7.48,30.13,-4.8,M
04/01/2022,7.92,8.0,8.02,7.76,26.56,-0.88,M
03/01/2022,7.99,8.46,8.54,7.89,31.12,-3.85,M
30/12/2021,8.31,8.24,8.46,8.11,21.18,1.84,M
29/12/2021,8.16,8.48,8.57,8.09,42.09,0.49,M
28/12/2021,8.12,7.97,8.26,7.86,27.77,2.78,M
27/12/2021,7.9,7.79,8.24,7.75,18.77,2.2,M
23/12/2021,7.73,7.82,7.84,7.68,13.76,-0.9,M
22/12/2021,7.8,7.68,7.87,7.6,13.26,0.78,M
21/12/2021,7.74,7.91,7.92,7.64,15.62,-1.4,M
20/12/2021,7.85,8.29,8.34,7.8,28.59,-6.66,M
17/12/2021,8.41,7.79,8.45,7.74,32.51,5.52,M
16/12/2021,7.97,8.2,8.25,7.89,14.66,-1.97,M
15/12/2021,8.13,8.15,8.22,7.99,17.63,-0.12,M
14/12/2021,8.14,8.42,8.49,8.07,20.55,-2.28,M
13/12/2021,8.33,8.44,8.5,8.27,14.39,-0.72,M
10/12/2021,8.39,8.17,8.45,8.15,19.01,3.97,M
09/12/2021,8.07,8.19,8.27,7.97,13.06,-2.42,M
08/12/2021,8.27,7.96,8.35,7.78,22.12,4.29,M
