Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,7.56,7.33,7.59,7.19,2.52,0.67,M
23/02/2022,7.51,7.41,7.56,7.35,3.6,2.46,M
22/02/2022,7.33,7.43,7.51,7.33,1.26,-0.68,M
21/02/2022,7.38,7.52,7.54,7.28,1.19,-1.6,M
18/02/2022,7.5,7.36,7.59,7.27,1.85,-1.96,M
17/02/2022,7.65,7.7,7.8,7.63,2.4,0.92,M
16/02/2022,7.58,7.52,7.63,7.49,795.0,0.66,K
15/02/2022,7.53,7.24,7.55,7.24,1.36,4.58,M
14/02/2022,7.2,7.08,7.35,7.07,827.2,1.69,K
11/02/2022,7.08,7.35,7.5,7.08,1.99,-3.15,M
10/02/2022,7.31,7.32,7.43,7.2,888.2,-0.14,K
09/02/2022,7.32,7.22,7.35,7.11,1.2,1.1,M
08/02/2022,7.24,7.35,7.37,7.18,1.74,-1.76,M
07/02/2022,7.37,7.25,7.58,7.09,1.92,1.38,M
04/02/2022,7.27,7.26,7.27,7.01,2.57,1.11,M
03/02/2022,7.19,7.05,7.26,6.98,3.62,2.28,M
02/02/2022,7.03,7.15,7.32,7.02,2.51,-1.4,M
01/02/2022,7.13,7.28,7.34,7.06,1.11,-1.52,M
31/01/2022,7.24,7.18,7.31,7.13,1.11,1.12,M
28/01/2022,7.16,7.18,7.28,7.11,813.5,-0.42,K
27/01/2022,7.19,7.14,7.28,7.08,1.91,1.27,M
26/01/2022,7.1,7.11,7.26,7.0,1.39,0.71,M
25/01/2022,7.05,6.88,7.12,6.85,1.42,2.17,M
24/01/2022,6.9,6.95,7.05,6.84,1.44,-1.15,M
21/01/2022,6.98,6.85,7.0,6.79,1.63,1.45,M
20/01/2022,6.88,6.77,6.93,6.77,1.16,1.62,M
19/01/2022,6.77,6.78,6.94,6.74,1.28,0.3,M
18/01/2022,6.75,6.57,6.79,6.56,1.75,2.12,M
17/01/2022,6.61,6.77,6.8,6.6,1.23,-3.08,M
14/01/2022,6.82,6.38,6.87,6.26,3.03,6.9,M
13/01/2022,6.38,6.47,6.47,6.27,1.35,-1.24,M
12/01/2022,6.46,6.36,6.5,6.3,2.0,1.41,M
11/01/2022,6.37,6.25,6.44,6.14,1.9,2.41,M
10/01/2022,6.22,6.48,6.48,6.19,1.55,-3.57,M
07/01/2022,6.45,6.47,6.58,6.35,1.57,-0.92,M
06/01/2022,6.51,6.51,6.6,6.34,6.44,-0.76,M
05/01/2022,6.56,6.9,6.91,6.51,2.72,-4.79,M
04/01/2022,6.89,7.12,7.14,6.79,3.85,-2.68,M
03/01/2022,7.08,7.35,7.41,7.03,2.1,-3.15,M
30/12/2021,7.31,7.25,7.32,7.15,1.69,1.53,M
29/12/2021,7.2,7.24,7.38,7.12,885.8,-0.69,K
28/12/2021,7.25,7.37,7.41,7.14,1.19,0.14,M
27/12/2021,7.24,7.15,7.34,7.12,1.22,1.69,M
23/12/2021,7.12,7.21,7.21,7.06,813.9,-0.84,K
22/12/2021,7.18,7.22,7.24,7.06,1.99,0.28,M
21/12/2021,7.16,7.41,7.42,7.16,2.07,-2.59,M
20/12/2021,7.35,7.84,7.89,7.35,3.29,-5.89,M
17/12/2021,7.81,7.18,7.81,7.1,4.79,9.23,M
16/12/2021,7.15,7.25,7.35,7.09,2.65,-1.79,M
15/12/2021,7.28,7.3,7.31,7.12,2.15,0.55,M
14/12/2021,7.24,7.58,7.62,7.17,1.97,-4.11,M
13/12/2021,7.55,7.76,7.77,7.55,1.11,-2.08,M
10/12/2021,7.71,7.58,7.73,7.49,1.31,2.8,M
09/12/2021,7.5,7.49,7.59,7.37,1.17,-1.7,M
08/12/2021,7.63,7.36,7.67,7.26,2.01,4.09,M
07/12/2021,7.33,7.7,7.79,7.33,1.42,-4.06,M
06/12/2021,7.64,7.45,7.66,7.39,2.23,2.55,M
03/12/2021,7.45,7.3,7.63,7.3,2.01,1.92,M
02/12/2021,7.31,7.0,7.31,6.93,2.17,5.48,M
01/12/2021,6.93,7.25,7.35,6.92,1.67,-3.75,M
30/11/2021,7.2,7.22,7.3,7.04,2.3,-1.37,M
