Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.08,10.19,10.28,9.95,3.48,-4.0,M
23/02/2022,10.5,10.65,10.81,10.5,1.12,-0.94,M
22/02/2022,10.6,10.56,10.82,10.53,1.1,1.63,M
21/02/2022,10.43,10.82,10.84,10.43,1.02,-3.43,M
18/02/2022,10.8,10.63,10.85,10.61,1.56,1.89,M
17/02/2022,10.6,10.65,10.75,10.59,1.38,-0.66,M
16/02/2022,10.67,10.77,10.87,10.58,2.59,-0.84,M
15/02/2022,10.76,10.5,10.84,10.49,1.9,3.46,M
14/02/2022,10.4,10.37,10.6,10.31,1.2,0.39,M
11/02/2022,10.36,10.25,10.62,10.22,2.27,1.67,M
10/02/2022,10.19,10.03,10.32,10.02,2.66,1.9,M
09/02/2022,10.0,10.04,10.14,9.96,2.26,-0.4,M
08/02/2022,10.04,10.12,10.18,10.02,1.87,-0.79,M
07/02/2022,10.12,10.23,10.28,10.12,1.59,-1.27,M
04/02/2022,10.25,10.34,10.34,10.14,1.19,-0.68,M
03/02/2022,10.32,10.6,10.72,10.32,2.46,-2.73,M
02/02/2022,10.61,10.73,10.76,10.6,1.52,-1.3,M
01/02/2022,10.75,10.95,11.03,10.7,2.18,-1.83,M
31/01/2022,10.95,10.8,10.98,10.74,1.15,1.58,M
28/01/2022,10.78,10.75,10.91,10.69,1.65,0.09,M
27/01/2022,10.77,10.72,10.95,10.7,1.55,1.32,M
26/01/2022,10.63,10.81,10.91,10.58,2.14,-1.02,M
25/01/2022,10.74,10.31,10.77,10.31,2.15,3.57,M
24/01/2022,10.37,10.37,10.52,10.24,2.33,-0.19,M
21/01/2022,10.39,10.45,10.58,10.32,2.09,-0.57,M
20/01/2022,10.45,10.43,10.48,10.28,1.86,0.97,M
19/01/2022,10.35,10.17,10.42,10.17,3.06,1.27,M
18/01/2022,10.22,10.0,10.22,9.95,2.88,1.89,M
17/01/2022,10.03,9.94,10.1,9.79,1.75,0.8,M
14/01/2022,9.95,9.7,9.98,9.7,1.77,2.58,M
13/01/2022,9.7,9.58,9.78,9.55,2.44,1.15,M
12/01/2022,9.59,9.52,9.66,9.52,1.42,0.74,M
11/01/2022,9.52,9.48,9.57,9.44,1.12,0.42,M
10/01/2022,9.48,9.43,9.6,9.35,2.36,0.53,M
07/01/2022,9.43,9.44,9.51,9.3,3.02,-0.53,M
06/01/2022,9.48,9.44,9.59,9.39,2.2,0.64,M
05/01/2022,9.42,9.56,9.71,9.42,2.24,-1.77,M
04/01/2022,9.59,9.51,9.64,9.39,2.55,0.95,M
03/01/2022,9.5,9.7,9.92,9.49,2.35,-1.55,M
30/12/2021,9.65,9.6,9.72,9.53,3.25,0.63,M
29/12/2021,9.59,9.61,9.72,9.5,1.85,-0.1,M
28/12/2021,9.6,9.51,9.7,9.5,1.71,1.27,M
27/12/2021,9.48,9.26,9.53,9.25,1.63,2.6,M
23/12/2021,9.24,9.28,9.36,9.2,1.5,0.33,M
22/12/2021,9.21,9.3,9.35,9.16,2.59,-0.75,M
21/12/2021,9.28,9.43,9.43,9.28,2.24,-0.85,M
20/12/2021,9.36,9.5,9.56,9.36,3.05,-2.3,M
17/12/2021,9.58,9.68,9.68,9.44,3.83,-1.34,M
16/12/2021,9.71,10.02,10.09,9.68,5.37,-3.86,M
15/12/2021,10.1,10.06,10.15,9.92,3.68,1.1,M
14/12/2021,9.99,10.06,10.13,9.95,4.18,0.0,M
13/12/2021,9.99,10.0,10.42,9.99,4.12,0.6,M
10/12/2021,9.93,10.04,10.05,9.86,3.69,-0.3,M
09/12/2021,9.96,10.04,10.1,9.91,3.55,-1.97,M
08/12/2021,10.16,10.04,10.16,9.9,3.91,1.8,M
07/12/2021,9.98,10.34,10.36,9.98,3.11,-1.77,M
06/12/2021,10.16,10.07,10.38,10.06,3.18,1.7,M
03/12/2021,9.99,10.08,10.29,9.96,4.54,-0.99,M
02/12/2021,10.09,9.97,10.2,9.94,3.9,2.02,M
