Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,9.41,9.16,9.45,9.03,1.45,0.75,M
23/02/2022,9.34,9.16,9.36,9.16,1.44,1.85,M
22/02/2022,9.17,9.0,9.22,8.96,1.31,1.55,M
21/02/2022,9.03,9.29,9.29,8.95,805.5,-2.8,K
18/02/2022,9.29,9.41,9.57,9.28,1.22,-1.06,M
17/02/2022,9.39,9.27,9.44,9.24,1.45,2.07,M
16/02/2022,9.2,9.21,9.3,9.13,1.07,0.33,M
15/02/2022,9.17,9.23,9.3,9.15,1.36,-0.22,M
14/02/2022,9.19,9.06,9.33,9.05,1.53,1.55,M
11/02/2022,9.05,9.13,9.2,9.03,1.44,-0.77,M
10/02/2022,9.12,9.12,9.23,9.04,1.05,0.44,M
09/02/2022,9.08,9.1,9.2,9.05,807.9,-0.11,K
08/02/2022,9.09,9.09,9.26,9.08,1.74,0.22,M
07/02/2022,9.07,9.03,9.16,8.99,1.15,-0.11,M
04/02/2022,9.08,9.14,9.16,8.87,2.08,-0.77,M
03/02/2022,9.15,9.28,9.4,9.15,1.34,-1.19,M
02/02/2022,9.26,9.18,9.38,9.1,1.85,0.76,M
01/02/2022,9.19,8.88,9.22,8.88,2.12,2.8,M
31/01/2022,8.94,8.88,9.03,8.76,2.69,0.68,M
28/01/2022,8.88,8.98,9.01,8.87,1.17,-1.44,M
27/01/2022,9.01,8.96,9.06,8.95,1.4,0.9,M
26/01/2022,8.93,9.19,9.32,8.93,1.8,-2.83,M
25/01/2022,9.19,8.92,9.22,8.84,1.86,2.68,M
24/01/2022,8.95,9.13,9.2,8.83,2.37,-2.08,M
21/01/2022,9.14,9.43,9.45,9.12,1.67,-2.77,M
20/01/2022,9.4,9.1,9.54,9.06,2.59,3.3,M
19/01/2022,9.1,9.22,9.22,9.01,1.82,-0.55,M
18/01/2022,9.15,9.33,9.47,9.09,2.7,-1.93,M
17/01/2022,9.33,9.93,9.94,9.2,3.92,-6.61,M
14/01/2022,9.99,11.0,11.02,9.67,5.07,-9.59,M
13/01/2022,11.05,10.75,11.09,10.75,1.78,2.79,M
12/01/2022,10.75,10.58,10.8,10.52,1.03,1.8,M
11/01/2022,10.56,10.8,10.84,10.51,1.35,-2.22,M
10/01/2022,10.8,10.99,11.16,10.72,1.82,-1.1,M
07/01/2022,10.92,10.9,11.01,10.77,1.93,0.28,M
06/01/2022,10.89,10.88,11.13,10.88,1.92,-1.09,M
05/01/2022,11.01,10.99,11.28,10.99,1.88,-0.27,M
04/01/2022,11.04,11.27,11.37,10.96,1.4,-1.95,M
03/01/2022,11.26,11.47,11.54,11.21,1.56,-1.05,M
30/12/2021,11.38,11.09,11.46,11.06,1.86,3.27,M
29/12/2021,11.02,10.97,11.2,10.86,1.81,0.36,M
28/12/2021,10.98,9.86,11.08,9.82,3.42,11.13,M
27/12/2021,9.88,10.08,10.15,9.8,950.6,-2.08,K
23/12/2021,10.09,10.01,10.09,9.93,706.3,0.8,K
22/12/2021,10.01,10.19,10.2,9.99,926.0,-1.57,K
21/12/2021,10.17,10.18,10.32,10.13,951.9,-0.1,K
20/12/2021,10.18,10.16,10.26,10.07,1.15,-0.29,M
17/12/2021,10.21,10.3,10.33,10.09,1.36,-0.97,M
16/12/2021,10.31,9.98,10.36,9.95,2.15,3.72,M
15/12/2021,9.94,9.98,9.98,9.79,1.38,-0.3,M
14/12/2021,9.97,9.79,10.12,9.78,1.49,1.84,M
13/12/2021,9.79,9.73,9.81,9.62,1.18,0.62,M
10/12/2021,9.73,9.84,9.84,9.63,1.17,-0.1,M
09/12/2021,9.74,9.82,9.82,9.63,724.2,-0.81,K
08/12/2021,9.82,9.78,9.91,9.68,1.3,0.51,M
07/12/2021,9.77,9.56,9.83,9.56,1.77,2.52,M
06/12/2021,9.53,9.63,9.72,9.45,1.74,-0.94,M
03/12/2021,9.62,9.41,9.74,9.41,1.85,2.12,M
02/12/2021,9.42,9.41,9.45,9.29,1.67,0.0,M
01/12/2021,9.42,9.62,9.67,9.33,2.13,-1.57,M
30/11/2021,9.57,9.38,9.57,9.15,2.58,1.81,M
29/11/2021,9.4,9.6,9.73,9.34,1.75,-1.05,M
