Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,13.97,13.45,14.14,12.95,329.2,1.23,K
23/02/2022,13.8,14.0,14.42,13.45,226.7,-1.43,K
22/02/2022,14.0,13.82,14.24,13.81,180.1,-0.07,K
21/02/2022,14.01,14.56,14.56,13.55,249.2,-0.99,K
18/02/2022,14.15,14.4,14.57,14.15,175.9,-1.05,K
17/02/2022,14.3,14.63,14.8,14.08,206.1,-2.26,K
16/02/2022,14.63,14.01,14.96,14.01,565.6,4.65,K
15/02/2022,13.98,13.72,14.19,13.61,235.7,3.48,K
14/02/2022,13.51,13.37,13.97,13.31,190.9,0.15,K
11/02/2022,13.49,13.49,13.66,13.29,241.9,0.6,K
10/02/2022,13.41,13.6,13.6,12.9,390.2,-0.3,K
09/02/2022,13.45,13.4,13.76,13.11,266.8,1.51,K
08/02/2022,13.25,13.59,13.69,13.1,146.5,-2.5,K
07/02/2022,13.59,13.53,14.03,13.04,245.4,0.44,K
04/02/2022,13.53,14.28,14.4,13.5,364.7,-6.37,K
03/02/2022,14.45,14.46,14.91,14.18,297.1,0.07,K
02/02/2022,14.44,15.6,15.86,14.44,405.0,-7.61,K
01/02/2022,15.63,14.98,15.63,14.78,421.5,5.25,K
31/01/2022,14.85,14.16,15.37,14.09,430.4,6.3,K
28/01/2022,13.97,13.87,14.21,13.59,278.1,0.87,K
27/01/2022,13.85,13.66,14.15,13.4,277.1,1.24,K
26/01/2022,13.68,13.34,14.25,13.11,489.2,2.86,K
25/01/2022,13.3,12.88,13.52,12.82,236.3,0.83,K
24/01/2022,13.19,13.52,13.52,12.61,329.6,-2.94,K
21/01/2022,13.59,13.06,13.59,12.92,298.2,4.06,K
20/01/2022,13.06,12.84,13.49,12.5,408.7,3.24,K
19/01/2022,12.65,12.01,12.79,11.96,303.2,5.33,K
18/01/2022,12.01,12.31,12.62,11.89,231.3,-2.44,K
17/01/2022,12.31,12.14,12.61,12.14,149.8,0.16,K
14/01/2022,12.29,12.1,12.36,11.88,194.5,1.57,K
13/01/2022,12.1,12.39,12.45,11.93,228.5,-2.34,K
12/01/2022,12.39,11.67,12.39,11.5,238.0,6.26,K
11/01/2022,11.66,11.75,11.91,11.36,210.1,-0.68,K
10/01/2022,11.74,12.15,12.15,11.22,197.4,-3.77,K
07/01/2022,12.2,11.23,12.2,11.04,404.7,7.3,K
06/01/2022,11.37,11.43,11.57,11.11,342.2,0.0,K
05/01/2022,11.37,12.01,12.25,11.37,194.4,-4.29,K
04/01/2022,11.88,12.5,12.67,11.84,298.9,-5.56,K
03/01/2022,12.58,13.06,13.4,12.34,284.5,-3.68,K
30/12/2021,13.06,12.62,13.06,12.42,150.8,3.57,K
29/12/2021,12.61,12.67,12.97,12.35,135.1,-0.24,K
28/12/2021,12.64,12.66,12.94,12.56,122.9,-0.24,K
27/12/2021,12.67,12.55,12.95,12.46,159.0,0.96,K
23/12/2021,12.55,12.72,12.72,12.4,104.5,-0.32,K
22/12/2021,12.59,12.31,12.79,12.2,221.3,1.53,K
21/12/2021,12.4,12.72,12.89,12.31,233.6,-2.59,K
20/12/2021,12.73,13.15,13.27,12.69,217.2,-6.12,K
17/12/2021,13.56,13.38,13.56,12.97,205.4,2.11,K
16/12/2021,13.28,13.63,13.94,13.07,165.2,-2.28,K
15/12/2021,13.59,12.77,13.59,12.61,289.3,6.5,K
14/12/2021,12.76,13.32,13.53,12.7,309.5,-4.06,K
13/12/2021,13.3,13.95,14.03,13.3,308.7,-3.62,K
10/12/2021,13.8,13.74,13.87,13.54,164.0,2.07,K
09/12/2021,13.52,13.74,13.74,13.17,174.2,-0.81,K
08/12/2021,13.63,13.27,13.86,13.02,288.8,3.89,K
07/12/2021,13.12,13.62,13.81,13.12,288.0,-1.8,K
06/12/2021,13.36,12.86,13.36,12.55,257.4,5.36,K
03/12/2021,12.68,12.39,12.83,12.22,273.0,3.59,K
02/12/2021,12.24,11.86,12.24,11.63,320.2,3.38,K
01/12/2021,11.84,12.67,12.79,11.51,388.4,-5.88,K
30/11/2021,12.58,12.65,12.67,12.03,300.5,-0.94,K
29/11/2021,12.7,13.04,13.23,12.61,235.8,-1.78,K
26/11/2021,12.93,13.5,13.5,12.86,415.8,-6.44,K
25/11/2021,13.82,13.56,13.97,13.44,283.2,1.92,K
24/11/2021,13.56,13.8,14.04,13.44,257.7,-1.74,K
23/11/2021,13.8,14.14,14.14,13.65,306.6,-1.43,K
22/11/2021,14.0,15.03,15.23,14.0,319.6,-7.53,K
19/11/2021,15.14,14.9,15.32,14.79,199.4,2.51,K
18/11/2021,14.77,14.87,15.33,14.64,295.1,-0.27,K
17/11/2021,14.81,15.51,15.74,14.62,367.2,-4.51,K
16/11/2021,15.51,16.24,16.3,15.26,301.3,-4.5,K
12/11/2021,16.24,17.3,17.5,16.16,301.8,-6.24,K
11/11/2021,17.32,16.48,17.59,16.44,439.7,5.61,K
10/11/2021,16.4,17.54,17.54,16.34,424.9,-5.86,K
09/11/2021,17.42,17.12,17.91,17.11,238.4,2.83,K
08/11/2021,16.94,17.35,17.35,16.57,201.7,-2.36,K
05/11/2021,17.35,17.08,17.61,17.03,205.8,1.52,K
04/11/2021,17.09,17.73,17.98,16.69,353.2,-3.56,K
03/11/2021,17.72,17.58,18.22,17.29,297.4,0.74,K
01/11/2021,17.59,16.88,17.59,16.88,168.7,3.84,K
29/10/2021,16.94,17.09,17.47,16.67,324.7,-1.4,K
28/10/2021,17.18,17.51,17.74,17.09,574.1,-2.94,K
27/10/2021,17.7,17.77,18.55,17.63,393.5,0.17,K
26/10/2021,17.67,18.15,18.33,17.67,318.6,-4.43,K
25/10/2021,18.49,17.92,18.66,17.92,286.2,3.07,K
22/10/2021,17.94,18.51,18.84,17.51,528.3,-5.08,K
21/10/2021,18.9,19.17,19.41,18.57,383.1,-4.01,K
20/10/2021,19.69,19.76,20.08,19.52,227.2,-0.3,K
19/10/2021,19.75,20.69,20.69,19.6,381.7,-4.54,K
18/10/2021,20.69,19.96,20.91,19.96,299.1,3.97,K
15/10/2021,19.9,19.53,20.38,19.53,287.3,1.22,K
14/10/2021,19.66,19.88,20.27,19.66,221.2,-1.75,K
13/10/2021,20.01,19.18,20.21,19.18,249.3,4.27,K
11/10/2021,19.19,19.07,19.95,19.07,267.7,-0.57,K
08/10/2021,19.3,18.36,19.65,18.36,294.2,4.83,K
07/10/2021,18.41,18.98,19.21,18.38,341.5,-2.07,K
06/10/2021,18.8,18.08,18.8,17.86,509.8,1.57,K
05/10/2021,18.51,19.02,19.24,18.51,502.1,-2.99,K
04/10/2021,19.08,19.98,19.98,19.08,323.6,-4.07,K
01/10/2021,19.89,19.77,21.8,19.55,1.5,0.96,M
