Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,2.43,2.31,2.48,2.26,52.18,-1.62,M
23/02/2022,2.47,2.52,2.62,2.45,32.88,-1.2,M
22/02/2022,2.5,2.6,2.62,2.48,29.92,-2.34,M
21/02/2022,2.56,2.73,2.74,2.56,27.33,-6.23,M
18/02/2022,2.73,2.79,2.82,2.71,23.48,-1.44,M
17/02/2022,2.77,2.8,2.87,2.75,34.38,-1.77,M
16/02/2022,2.82,2.85,2.92,2.77,35.8,-1.05,M
15/02/2022,2.85,2.78,2.85,2.76,37.04,5.17,M
14/02/2022,2.71,2.77,2.79,2.66,38.44,-1.81,M
11/02/2022,2.76,2.88,2.94,2.72,65.69,-2.82,M
10/02/2022,2.84,2.97,3.02,2.79,56.17,-4.05,M
09/02/2022,2.96,2.8,3.01,2.8,66.58,5.71,M
08/02/2022,2.8,2.81,2.84,2.77,28.28,-1.41,M
07/02/2022,2.84,2.86,2.92,2.8,36.1,-1.39,M
04/02/2022,2.88,2.86,2.91,2.71,40.0,1.05,M
03/02/2022,2.85,2.9,2.95,2.73,43.27,0.0,M
02/02/2022,2.85,2.95,3.08,2.82,49.02,-2.73,M
01/02/2022,2.93,2.95,3.09,2.89,47.28,0.69,M
31/01/2022,2.91,2.85,2.96,2.8,53.81,2.83,M
28/01/2022,2.83,3.08,3.1,2.81,69.86,-4.07,M
27/01/2022,2.95,2.97,3.14,2.92,64.56,0.34,M
26/01/2022,2.94,2.83,3.04,2.81,82.66,6.91,M
25/01/2022,2.75,2.69,2.83,2.62,62.83,1.1,M
24/01/2022,2.72,2.78,2.83,2.59,45.5,-3.55,M
21/01/2022,2.82,2.79,2.98,2.75,54.96,-2.08,M
20/01/2022,2.88,2.67,2.95,2.66,58.34,8.27,M
19/01/2022,2.66,2.55,2.7,2.54,42.42,5.98,M
18/01/2022,2.51,2.54,2.57,2.49,34.31,-3.09,M
17/01/2022,2.59,2.54,2.72,2.52,31.95,0.78,M
14/01/2022,2.57,2.56,2.6,2.47,32.03,0.39,M
13/01/2022,2.56,2.67,2.72,2.47,43.96,-4.83,M
12/01/2022,2.69,2.63,2.8,2.57,42.9,1.89,M
11/01/2022,2.64,2.45,2.67,2.45,46.74,7.32,M
10/01/2022,2.46,2.53,2.57,2.42,33.8,-5.75,M
07/01/2022,2.61,2.58,2.7,2.48,38.52,0.0,M
06/01/2022,2.61,2.66,2.74,2.53,45.7,-0.76,M
05/01/2022,2.63,2.94,2.94,2.61,61.63,-9.0,M
04/01/2022,2.89,3.07,3.11,2.83,52.32,-5.25,M
03/01/2022,3.05,3.24,3.29,2.99,47.27,-5.86,M
30/12/2021,3.24,3.02,3.32,3.01,65.42,7.64,M
29/12/2021,3.01,3.09,3.11,2.98,27.87,-2.27,M
28/12/2021,3.08,3.13,3.17,3.06,25.11,-0.96,M
27/12/2021,3.11,3.1,3.23,3.06,39.41,0.32,M
23/12/2021,3.1,3.32,3.35,3.08,40.29,-6.34,M
22/12/2021,3.31,3.11,3.32,3.05,50.55,6.77,M
21/12/2021,3.1,3.22,3.23,3.03,42.09,-0.96,M
20/12/2021,3.13,3.06,3.27,3.05,37.06,-2.49,M
17/12/2021,3.21,3.05,3.27,2.94,59.6,1.9,M
16/12/2021,3.15,3.56,3.59,3.12,70.75,-8.16,M
15/12/2021,3.43,3.27,3.49,3.1,79.17,5.21,M
14/12/2021,3.26,3.77,3.77,3.21,79.4,-10.68,M
13/12/2021,3.65,3.95,3.98,3.63,63.89,-5.19,M
10/12/2021,3.85,3.47,3.92,3.41,85.54,14.93,M
09/12/2021,3.35,3.29,3.6,3.28,56.23,-0.89,M
08/12/2021,3.38,3.34,3.62,3.26,64.96,-1.46,M
07/12/2021,3.43,3.13,3.52,3.12,92.51,13.58,M
06/12/2021,3.02,3.53,3.61,3.0,89.77,-11.7,M
03/12/2021,3.42,2.76,3.49,2.74,122.44,31.03,M
02/12/2021,2.61,2.73,2.83,2.51,54.59,-1.51,M
01/12/2021,2.65,3.1,3.12,2.65,60.85,-11.37,M
30/11/2021,2.99,3.23,3.27,2.92,56.0,-9.12,M
29/11/2021,3.29,3.29,3.39,3.25,31.61,3.46,M
