Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,19.16,19.3,20.2,18.64,3.43,0.74,M
23/02/2022,19.02,20.15,20.43,18.93,1.85,-5.37,M
22/02/2022,20.1,20.63,20.98,19.97,1.74,-0.99,M
21/02/2022,20.3,19.52,20.61,19.46,2.19,4.0,M
18/02/2022,19.52,20.04,20.21,19.41,2.03,-2.3,M
17/02/2022,19.98,20.71,20.71,19.84,1.96,-3.52,M
16/02/2022,20.71,20.58,20.81,20.41,2.43,1.97,M
15/02/2022,20.31,20.32,20.67,19.96,2.66,-0.05,M
14/02/2022,20.32,20.0,20.93,19.8,2.89,2.63,M
11/02/2022,19.8,19.17,20.0,18.62,4.92,3.07,M
10/02/2022,19.21,19.5,20.0,19.04,3.0,0.58,M
09/02/2022,19.1,18.7,19.44,18.6,2.4,2.14,M
08/02/2022,18.7,17.55,18.83,17.41,5.82,7.04,M
07/02/2022,17.47,17.33,18.07,17.33,2.18,0.4,M
04/02/2022,17.4,17.35,17.42,16.87,2.92,0.4,M
03/02/2022,17.33,17.44,17.58,17.12,919.6,-0.35,K
02/02/2022,17.39,17.4,17.63,17.03,1.25,0.69,M
01/02/2022,17.27,17.32,17.78,17.01,2.31,-0.4,M
31/01/2022,17.34,16.95,17.45,16.71,2.06,2.6,M
28/01/2022,16.9,16.45,16.95,16.27,2.95,2.36,M
27/01/2022,16.51,16.87,16.87,16.15,2.71,-1.43,M
26/01/2022,16.75,16.21,16.86,16.09,2.7,4.3,M
25/01/2022,16.06,15.92,16.48,15.71,2.27,1.01,M
24/01/2022,15.9,16.01,16.17,15.47,2.59,-1.36,M
21/01/2022,16.12,16.18,16.7,16.01,1.46,-0.8,M
20/01/2022,16.25,16.21,16.7,16.03,1.99,0.62,M
19/01/2022,16.15,16.0,16.56,15.78,3.41,2.74,M
18/01/2022,15.72,15.24,15.8,15.09,2.24,4.52,M
17/01/2022,15.04,15.2,15.58,14.84,1.16,-1.31,M
