Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,12.41,12.31,12.44,12.1,12.91,-1.9,M
23/02/2022,12.65,12.75,12.92,12.65,5.42,-1.56,M
22/02/2022,12.85,12.8,12.96,12.7,6.94,1.82,M
21/02/2022,12.62,12.87,12.95,12.62,2.81,-2.09,M
18/02/2022,12.89,13.03,13.07,12.89,5.88,-0.23,M
17/02/2022,12.92,12.86,13.07,12.68,15.22,0.16,M
16/02/2022,12.9,12.74,12.93,12.65,7.36,1.26,M
15/02/2022,12.74,12.56,12.8,12.53,5.13,2.0,M
14/02/2022,12.49,12.48,12.57,12.35,5.93,0.24,M
11/02/2022,12.46,12.5,12.71,12.42,7.29,0.08,M
10/02/2022,12.45,12.52,12.56,12.34,4.07,-0.56,M
09/02/2022,12.52,12.55,12.62,12.44,4.65,0.81,M
08/02/2022,12.42,12.38,12.61,12.2,4.93,0.49,M
07/02/2022,12.36,12.4,12.45,12.23,3.52,-0.48,M
04/02/2022,12.42,12.65,12.7,12.22,7.58,-2.13,M
03/02/2022,12.69,12.75,12.97,12.62,6.96,-0.47,M
02/02/2022,12.75,12.85,13.03,12.74,5.91,-0.86,M
01/02/2022,12.86,13.04,13.17,12.72,10.92,-1.08,M
31/01/2022,13.0,12.69,13.16,12.6,7.79,2.12,M
28/01/2022,12.73,12.6,12.78,12.5,7.25,-0.16,M
27/01/2022,12.75,12.49,12.83,12.42,13.62,2.82,M
26/01/2022,12.4,12.25,12.54,12.15,11.25,2.06,M
25/01/2022,12.15,11.9,12.2,11.85,6.57,1.0,M
24/01/2022,12.03,12.14,12.18,11.84,8.49,-0.58,M
21/01/2022,12.1,11.81,12.25,11.76,11.79,1.42,M
20/01/2022,11.93,11.43,12.0,11.38,13.37,5.2,M
19/01/2022,11.34,11.43,11.6,11.24,15.17,0.09,M
18/01/2022,11.33,11.2,11.4,11.12,7.41,0.8,M
17/01/2022,11.24,11.38,11.43,11.21,5.12,-1.32,M
14/01/2022,11.39,11.34,11.47,11.25,5.18,-0.09,M
13/01/2022,11.4,11.36,11.54,11.29,5.85,-0.26,M
12/01/2022,11.43,11.0,11.49,10.98,21.99,3.63,M
11/01/2022,11.03,10.97,11.06,10.83,7.09,0.36,M
10/01/2022,10.99,11.2,11.2,10.96,9.69,-2.4,M
07/01/2022,11.26,11.03,11.4,10.86,11.11,2.27,M
06/01/2022,11.01,11.25,11.35,10.94,7.52,-2.22,M
05/01/2022,11.26,11.4,11.57,11.24,10.86,-1.49,M
04/01/2022,11.43,11.44,11.69,11.34,9.1,-0.09,M
03/01/2022,11.44,11.67,11.92,11.32,10.99,-1.29,M
30/12/2021,11.59,11.69,11.69,11.44,13.64,0.0,M
29/12/2021,11.59,11.82,11.82,11.53,4.77,-1.61,M
28/12/2021,11.78,11.85,11.93,11.66,3.76,-0.84,M
27/12/2021,11.88,11.96,12.11,11.78,4.74,-0.34,M
23/12/2021,11.92,12.1,12.1,11.87,4.23,-0.67,M
22/12/2021,12.0,12.12,12.14,11.82,6.47,-1.07,M
21/12/2021,12.13,11.9,12.15,11.76,7.65,1.68,M
20/12/2021,11.93,12.34,12.34,11.64,10.04,-1.81,M
17/12/2021,12.15,12.33,12.4,12.13,10.88,-2.57,M
16/12/2021,12.47,12.68,12.7,12.38,7.65,-0.72,M
15/12/2021,12.56,12.42,12.66,12.3,9.34,1.13,M
14/12/2021,12.42,12.5,12.6,12.28,11.12,0.98,M
13/12/2021,12.3,12.51,12.6,12.28,6.91,-1.6,M
10/12/2021,12.5,12.62,12.72,12.41,7.25,1.54,M
