Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.27,5.07,5.33,4.92,2.61,-0.75,M
23/02/2022,5.31,5.4,5.47,5.24,3.51,-0.93,M
22/02/2022,5.36,5.45,5.48,5.28,2.23,-0.56,M
21/02/2022,5.39,5.68,5.7,5.34,2.46,-5.27,M
18/02/2022,5.69,5.66,5.73,5.58,2.31,1.43,M
17/02/2022,5.61,5.82,5.91,5.57,4.49,-3.77,M
16/02/2022,5.83,5.86,6.0,5.75,2.22,-0.17,M
15/02/2022,5.84,5.64,5.85,5.63,2.2,4.1,M
14/02/2022,5.61,5.75,5.84,5.57,2.06,-2.43,M
11/02/2022,5.75,5.91,6.09,5.65,3.04,-2.04,M
10/02/2022,5.87,5.89,5.99,5.76,2.0,0.0,M
09/02/2022,5.87,5.89,6.11,5.81,1.58,-0.17,M
08/02/2022,5.88,5.82,5.99,5.73,1.73,0.51,M
07/02/2022,5.85,5.98,6.0,5.78,1.85,-2.34,M
04/02/2022,5.99,6.14,6.15,5.86,2.31,-2.12,M
03/02/2022,6.12,6.23,6.35,6.0,2.95,-1.45,M
02/02/2022,6.21,6.33,6.41,6.15,2.05,-2.05,M
01/02/2022,6.34,6.58,6.77,6.29,2.58,-3.65,M
31/01/2022,6.58,6.44,6.63,6.35,2.63,3.3,M
28/01/2022,6.37,6.23,6.42,6.17,3.93,1.43,M
27/01/2022,6.28,6.01,6.42,6.01,4.18,6.8,M
26/01/2022,5.88,5.96,6.06,5.79,4.47,0.68,M
25/01/2022,5.84,5.53,5.93,5.46,2.94,4.29,M
24/01/2022,5.6,5.57,5.65,5.38,2.75,0.0,M
21/01/2022,5.6,5.74,5.88,5.58,3.62,-2.95,M
20/01/2022,5.77,5.6,6.0,5.56,3.43,6.46,M
19/01/2022,5.42,5.28,5.51,5.25,2.18,3.44,M
18/01/2022,5.24,5.36,5.43,5.18,2.42,-2.06,M
17/01/2022,5.35,5.5,5.57,5.26,1.38,-2.73,M
14/01/2022,5.5,5.6,5.66,5.39,1.7,-1.96,M
13/01/2022,5.61,5.59,5.68,5.49,1.53,-0.53,M
12/01/2022,5.64,5.49,5.75,5.45,2.34,3.3,M
11/01/2022,5.46,5.21,5.52,5.2,2.19,4.4,M
10/01/2022,5.23,5.15,5.34,5.05,3.87,1.16,M
07/01/2022,5.17,5.14,5.39,5.1,3.87,0.0,M
06/01/2022,5.17,5.33,5.34,5.14,2.48,-3.0,M
05/01/2022,5.33,5.48,5.53,5.28,2.3,-3.44,M
04/01/2022,5.52,5.91,5.94,5.48,2.34,-6.6,M
03/01/2022,5.91,6.17,6.3,5.86,2.04,-3.9,M
30/12/2021,6.15,6.11,6.27,5.97,2.84,1.32,M
29/12/2021,6.07,6.28,6.35,6.07,1.45,-2.72,M
28/12/2021,6.24,6.07,6.28,6.03,2.55,2.8,M
27/12/2021,6.07,5.95,6.16,5.95,3.61,2.02,M
23/12/2021,5.95,5.94,5.98,5.81,2.9,0.0,M
22/12/2021,5.95,6.13,6.16,5.92,3.03,-3.25,M
21/12/2021,6.15,6.33,6.37,6.1,2.01,-1.13,M
20/12/2021,6.22,6.23,6.28,6.09,2.93,-1.89,M
17/12/2021,6.34,6.31,6.43,6.08,2.2,-1.09,M
16/12/2021,6.41,6.35,6.72,6.35,2.49,1.58,M
15/12/2021,6.31,6.2,6.38,6.03,1.79,1.77,M
14/12/2021,6.2,6.57,6.6,6.11,2.51,-4.17,M
13/12/2021,6.47,6.68,6.8,6.47,1.53,-3.29,M
10/12/2021,6.69,6.8,6.81,6.63,1.44,0.75,M
09/12/2021,6.64,6.77,6.84,6.54,1.37,-2.92,M
08/12/2021,6.84,6.79,6.98,6.45,2.26,2.09,M
07/12/2021,6.7,6.73,6.88,6.64,2.82,1.67,M
06/12/2021,6.59,6.5,6.74,6.35,3.21,3.62,M
03/12/2021,6.36,6.26,6.55,6.2,4.47,1.27,M
02/12/2021,6.28,6.5,6.66,6.12,2.85,-2.03,M
01/12/2021,6.41,6.55,6.89,6.28,3.64,-0.77,M
30/11/2021,6.46,6.46,6.5,6.17,3.06,-0.62,M
29/11/2021,6.5,6.65,6.87,6.45,2.25,-0.76,M
26/11/2021,6.55,6.44,6.75,6.27,3.34,-1.21,M
25/11/2021,6.63,6.79,7.03,6.6,2.65,-1.78,M
24/11/2021,6.75,6.89,6.98,6.68,3.49,-2.17,M
23/11/2021,6.9,7.43,7.43,6.82,4.51,-6.76,M
22/11/2021,7.4,7.94,7.96,7.17,4.19,-6.21,M
19/11/2021,7.89,7.25,7.97,7.14,4.02,8.68,M
18/11/2021,7.26,6.99,7.38,6.92,2.98,3.57,M
17/11/2021,7.01,7.45,7.61,6.9,2.72,-5.27,M
16/11/2021,7.4,7.78,7.83,7.3,3.61,-4.15,M
12/11/2021,7.72,7.98,8.42,7.65,5.84,-3.26,M
11/11/2021,7.98,7.92,8.11,7.57,4.99,1.92,M
10/11/2021,7.83,7.5,8.0,7.5,8.29,7.7,M
09/11/2021,7.27,7.11,7.4,7.08,1.91,2.83,M
08/11/2021,7.07,7.45,7.45,6.99,2.75,-4.85,M
05/11/2021,7.43,6.98,7.58,6.98,3.95,6.75,M
04/11/2021,6.96,6.92,7.25,6.81,4.71,0.0,M
03/11/2021,6.96,6.73,7.16,6.7,7.13,3.73,M
01/11/2021,6.71,6.13,6.79,6.09,4.36,10.73,M
29/10/2021,6.06,6.22,6.37,6.05,2.5,-2.1,M
28/10/2021,6.19,6.31,6.45,6.16,2.2,-2.83,M
27/10/2021,6.37,6.13,6.53,6.13,2.22,4.26,M
26/10/2021,6.11,6.47,6.54,6.11,1.73,-6.43,M
25/10/2021,6.53,6.29,6.59,6.15,3.9,6.18,M
22/10/2021,6.15,6.48,6.49,5.92,6.76,-5.53,M
21/10/2021,6.51,6.87,6.87,6.43,2.69,-6.2,M
20/10/2021,6.94,7.15,7.2,6.92,2.24,-2.53,M
19/10/2021,7.12,7.37,7.42,7.02,2.52,-4.3,M
