Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,22.96,22.75,23.32,22.52,2.6,-0.09,M
23/02/2022,22.98,22.81,23.35,22.81,1.67,0.61,M
22/02/2022,22.84,22.61,22.98,22.44,2.23,1.78,M
21/02/2022,22.44,22.78,22.86,22.44,1.54,-1.49,M
18/02/2022,22.78,23.24,23.41,22.67,1.72,-1.68,M
17/02/2022,23.17,22.67,23.37,22.6,3.86,2.25,M
16/02/2022,22.66,22.6,22.95,22.35,4.18,0.0,M
15/02/2022,22.66,22.83,23.02,22.43,3.24,-0.57,M
14/02/2022,22.79,23.42,23.43,22.67,2.09,-1.56,M
11/02/2022,23.15,23.43,23.53,23.15,970.9,-0.98,K
10/02/2022,23.38,23.27,23.43,22.84,1.28,0.78,M
09/02/2022,23.2,22.95,23.34,22.83,1.1,0.91,M
08/02/2022,22.99,22.96,23.09,22.72,1.18,0.13,M
07/02/2022,22.96,23.37,23.54,22.96,1.41,-1.8,M
04/02/2022,23.38,23.35,23.51,22.98,1.71,-0.09,M
03/02/2022,23.4,23.15,23.52,22.96,1.32,0.47,M
02/02/2022,23.29,23.04,23.78,23.0,2.57,1.13,M
01/02/2022,23.03,23.37,23.97,22.87,2.99,-1.12,M
31/01/2022,23.29,23.16,23.42,22.68,1.59,1.17,M
28/01/2022,23.02,22.64,23.6,22.49,2.56,1.63,M
27/01/2022,22.65,22.15,23.0,22.05,2.03,3.38,M
26/01/2022,21.91,22.15,22.41,21.75,4.8,-0.54,M
25/01/2022,22.03,21.93,22.45,21.67,2.33,0.05,M
24/01/2022,22.02,22.64,22.8,21.97,2.17,-2.61,M
21/01/2022,22.61,23.0,23.02,22.57,1.9,-1.91,M
20/01/2022,23.05,22.86,23.4,22.51,2.08,1.05,M
19/01/2022,22.81,22.7,23.29,22.58,1.66,1.15,M
18/01/2022,22.55,22.28,22.75,22.28,1.32,1.26,M
17/01/2022,22.27,22.57,23.08,22.27,1.13,-2.11,M
14/01/2022,22.75,22.54,22.86,22.42,1.25,0.8,M
13/01/2022,22.57,22.76,22.92,22.53,713.0,-1.23,K
12/01/2022,22.85,22.46,23.26,22.42,3.34,1.92,M
11/01/2022,22.42,21.1,22.59,21.09,4.0,6.51,M
10/01/2022,21.05,19.72,21.16,19.7,4.17,6.58,M
07/01/2022,19.75,19.71,19.9,19.42,1.29,0.41,M
06/01/2022,19.67,20.0,20.2,19.66,1.52,-1.6,M
05/01/2022,19.99,20.35,20.87,19.93,3.24,-1.87,M
04/01/2022,20.37,21.07,21.07,20.34,1.67,-2.49,M
03/01/2022,20.89,21.51,21.81,20.89,1.3,-2.88,M
30/12/2021,21.51,21.15,21.64,20.96,2.63,2.28,M
29/12/2021,21.03,21.37,21.54,20.99,974.1,-0.99,K
28/12/2021,21.24,21.1,21.47,21.04,950.8,0.71,K
27/12/2021,21.09,21.05,21.26,20.7,1.05,0.19,M
23/12/2021,21.05,21.28,21.28,20.87,904.2,-1.08,K
22/12/2021,21.28,21.25,21.38,20.91,1.06,0.33,M
21/12/2021,21.21,21.12,21.33,20.91,1.17,0.52,M
20/12/2021,21.1,21.6,21.6,21.03,874.8,-2.09,K
17/12/2021,21.55,21.29,21.78,21.05,2.91,1.17,M
16/12/2021,21.3,21.8,21.84,21.1,2.21,-2.07,M
15/12/2021,21.75,21.8,21.8,20.65,2.96,0.6,M
14/12/2021,21.62,22.79,22.89,21.58,4.44,-4.72,M
13/12/2021,22.69,22.96,23.19,22.53,2.34,-0.74,M
10/12/2021,22.86,23.35,23.39,22.77,2.02,-1.47,M
09/12/2021,23.2,23.22,23.42,22.95,1.35,-0.39,M
08/12/2021,23.29,23.29,23.86,23.13,2.59,0.65,M
07/12/2021,23.14,23.35,23.43,22.91,1.64,0.17,M
06/12/2021,23.1,23.0,23.39,22.84,1.83,0.61,M
03/12/2021,22.96,23.21,23.77,22.65,2.19,-1.08,M
02/12/2021,23.21,22.95,23.21,22.31,2.91,2.43,M
01/12/2021,22.66,23.78,23.82,22.49,4.87,-4.67,M
30/11/2021,23.77,23.88,24.09,23.47,1.86,-0.79,M
29/11/2021,23.96,24.27,24.34,23.86,1.63,-1.07,M
26/11/2021,24.22,24.48,24.48,24.03,1.25,-1.62,M
25/11/2021,24.62,24.4,24.68,24.39,586.3,0.86,K
24/11/2021,24.41,24.04,24.47,24.03,1.06,1.12,M
23/11/2021,24.14,24.81,24.84,23.98,3.5,-2.19,M
22/11/2021,24.68,25.05,25.24,24.44,2.37,-0.88,M
19/11/2021,24.9,24.88,25.1,24.73,3.31,0.08,M
18/11/2021,24.88,25.0,25.28,24.74,1.81,-0.16,M
17/11/2021,24.92,25.34,25.46,24.78,1.73,-1.5,M
16/11/2021,25.3,25.5,25.63,25.14,1.67,-1.09,M
12/11/2021,25.58,26.17,26.56,25.43,2.7,-2.81,M
11/11/2021,26.32,26.74,26.74,26.23,1.78,-0.94,M
10/11/2021,26.57,26.5,26.75,26.45,1.55,-0.11,M
09/11/2021,26.6,26.59,26.75,26.38,1.14,0.38,M
08/11/2021,26.5,26.13,26.68,26.09,1.49,0.99,M
05/11/2021,26.24,26.41,26.6,25.98,2.65,-0.34,M
04/11/2021,26.33,26.51,26.62,26.06,1.48,-1.2,M
03/11/2021,26.65,26.39,26.99,26.23,2.88,1.25,M
01/11/2021,26.32,25.82,26.59,25.58,3.15,3.22,M
29/10/2021,25.5,25.92,25.98,25.36,2.59,-0.39,M
28/10/2021,25.6,25.27,26.14,25.17,4.19,1.15,M
27/10/2021,25.31,25.09,25.54,24.96,3.35,1.24,M
26/10/2021,25.0,24.74,25.25,24.6,1.69,0.28,M
25/10/2021,24.93,24.76,25.03,24.56,1.99,1.22,M
22/10/2021,24.63,24.32,24.77,23.8,7.67,0.24,M
21/10/2021,24.57,24.54,24.6,24.0,4.29,-1.13,M
20/10/2021,24.85,24.64,24.95,24.13,5.69,0.89,M
19/10/2021,24.63,24.3,25.46,24.3,12.24,1.36,M
18/10/2021,24.3,24.17,24.42,23.96,1.85,0.41,M
15/10/2021,24.2,24.4,24.56,24.2,1.28,-0.82,M
14/10/2021,24.4,24.61,24.7,24.28,1.26,-0.81,M
13/10/2021,24.6,24.33,24.85,24.33,2.07,1.11,M
11/10/2021,24.33,23.9,24.54,23.75,3.24,1.63,M
