Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,2.65,2.49,2.65,2.46,46.72,1.92,M
23/02/2022,2.6,2.62,2.65,2.55,36.64,-0.38,M
22/02/2022,2.61,2.69,2.75,2.59,42.96,-1.88,M
21/02/2022,2.66,2.81,2.81,2.65,34.35,-6.01,M
18/02/2022,2.83,2.69,2.89,2.69,135.57,12.3,M
17/02/2022,2.52,2.48,2.55,2.43,47.84,1.2,M
16/02/2022,2.49,2.37,2.49,2.35,43.08,5.06,M
15/02/2022,2.37,2.38,2.42,2.35,23.55,-0.42,M
14/02/2022,2.38,2.32,2.4,2.31,26.41,2.59,M
11/02/2022,2.32,2.4,2.41,2.31,27.34,-2.52,M
10/02/2022,2.38,2.32,2.39,2.28,31.98,3.48,M
09/02/2022,2.3,2.31,2.36,2.25,26.38,-0.86,M
08/02/2022,2.32,2.31,2.36,2.27,33.65,-0.85,M
07/02/2022,2.34,2.31,2.37,2.29,26.27,0.43,M
04/02/2022,2.33,2.21,2.38,2.21,66.15,6.39,M
03/02/2022,2.19,2.42,2.45,2.18,68.75,-6.01,M
02/02/2022,2.33,2.32,2.36,2.3,32.09,1.3,M
01/02/2022,2.3,2.35,2.35,2.26,28.91,0.0,M
31/01/2022,2.3,2.28,2.31,2.23,35.63,0.88,M
28/01/2022,2.28,2.14,2.31,2.14,37.22,6.05,M
27/01/2022,2.15,2.21,2.26,2.15,36.84,-2.27,M
26/01/2022,2.2,2.19,2.29,2.19,41.96,0.92,M
25/01/2022,2.18,2.04,2.2,2.03,45.23,6.34,M
24/01/2022,2.05,2.06,2.07,2.01,26.91,-0.97,M
21/01/2022,2.07,2.12,2.13,2.05,37.99,-3.27,M
20/01/2022,2.14,2.09,2.15,2.08,47.57,2.88,M
19/01/2022,2.08,2.07,2.11,2.06,22.27,1.46,M
18/01/2022,2.05,2.1,2.13,2.04,22.72,-3.3,M
17/01/2022,2.12,2.02,2.15,2.02,29.2,5.47,M
14/01/2022,2.01,2.02,2.03,1.99,18.12,-0.5,M
13/01/2022,2.02,2.04,2.05,1.99,23.12,-0.49,M
12/01/2022,2.03,2.08,2.1,2.03,23.92,-2.4,M
11/01/2022,2.08,2.01,2.09,2.01,26.19,3.48,M
10/01/2022,2.01,2.05,2.08,2.0,20.13,-1.95,M
07/01/2022,2.05,2.07,2.08,2.01,17.71,-0.49,M
06/01/2022,2.06,2.13,2.13,2.05,25.22,-2.37,M
05/01/2022,2.11,2.13,2.19,2.09,21.34,-0.47,M
04/01/2022,2.12,2.21,2.22,2.11,18.22,-3.2,M
03/01/2022,2.19,2.27,2.28,2.17,20.96,-3.95,M
30/12/2021,2.28,2.19,2.32,2.15,33.75,2.24,M
29/12/2021,2.23,2.28,2.31,2.21,15.28,-1.76,M
28/12/2021,2.27,2.19,2.32,2.17,29.02,4.13,M
27/12/2021,2.18,2.17,2.24,2.16,22.06,2.35,M
23/12/2021,2.13,2.12,2.15,2.09,14.75,0.95,M
22/12/2021,2.11,2.14,2.15,2.1,11.08,-1.4,M
21/12/2021,2.14,2.19,2.19,2.12,14.25,-0.47,M
20/12/2021,2.15,2.21,2.25,2.14,22.34,-4.44,M
17/12/2021,2.25,2.21,2.25,2.17,25.89,0.9,M
16/12/2021,2.23,2.34,2.35,2.23,27.37,-4.29,M
15/12/2021,2.33,2.27,2.34,2.23,20.94,3.56,M
14/12/2021,2.25,2.33,2.37,2.24,25.89,-2.17,M
13/12/2021,2.3,2.36,2.41,2.29,25.37,-1.71,M
10/12/2021,2.34,2.27,2.34,2.27,20.09,4.46,M
09/12/2021,2.24,2.29,2.33,2.24,25.25,-3.03,M
08/12/2021,2.31,2.26,2.36,2.24,27.85,2.67,M
07/12/2021,2.25,2.3,2.31,2.24,21.25,-0.88,M
06/12/2021,2.27,2.2,2.29,2.18,33.73,3.18,M
03/12/2021,2.2,2.14,2.24,2.14,33.56,2.8,M
02/12/2021,2.14,2.03,2.15,2.02,24.14,6.47,M
01/12/2021,2.01,2.09,2.13,2.01,22.12,-3.37,M
30/11/2021,2.08,2.07,2.11,2.03,34.81,0.48,M
29/11/2021,2.07,2.11,2.14,2.07,18.59,-0.48,M
