Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,9.47,8.69,9.58,8.34,2.2,6.29,M
23/02/2022,8.91,9.22,9.44,8.76,837.4,-3.36,K
22/02/2022,9.22,8.86,9.53,8.75,1.6,5.98,M
21/02/2022,8.7,9.4,9.52,8.62,1.41,-7.15,M
18/02/2022,9.37,9.55,9.8,9.14,1.4,-1.68,M
17/02/2022,9.53,9.77,9.94,9.18,1.7,-2.26,M
16/02/2022,9.75,9.99,10.05,9.53,1.35,-1.52,M
15/02/2022,9.9,9.74,10.3,9.72,1.39,2.38,M
14/02/2022,9.67,9.83,10.08,9.52,1.9,-2.13,M
11/02/2022,9.88,10.41,10.83,9.76,2.56,-5.0,M
10/02/2022,10.4,10.88,11.09,10.16,2.1,-4.41,M
09/02/2022,10.88,10.97,11.16,10.57,3.12,-0.64,M
08/02/2022,10.95,11.45,11.52,10.95,1.37,-4.78,M
07/02/2022,11.5,10.61,11.81,10.61,1.36,6.48,M
04/02/2022,10.8,11.6,11.6,10.57,2.15,-6.09,M
03/02/2022,11.5,11.39,11.89,10.99,1.51,0.97,M
02/02/2022,11.39,11.23,11.75,10.97,2.14,1.42,M
01/02/2022,11.23,11.13,11.65,10.82,3.91,-2.6,M
31/01/2022,11.53,11.1,11.61,10.86,1.48,3.69,M
28/01/2022,11.12,10.66,11.36,10.3,2.37,3.93,M
27/01/2022,10.7,10.13,10.84,9.85,2.13,6.47,M
26/01/2022,10.05,10.38,10.96,9.99,2.03,-2.14,M
25/01/2022,10.27,9.98,10.57,9.83,3.4,2.09,M
24/01/2022,10.06,9.7,10.2,9.3,2.38,3.71,M
21/01/2022,9.7,8.97,10.13,8.97,2.4,6.01,M
20/01/2022,9.15,8.74,9.41,8.74,1.1,4.69,M
19/01/2022,8.74,8.39,9.19,8.3,3.39,5.43,M
18/01/2022,8.29,9.72,9.95,8.29,3.43,-13.65,M
17/01/2022,9.6,9.59,10.1,9.28,1.07,-0.93,M
14/01/2022,9.69,9.3,9.77,8.81,3.0,1.47,M
13/01/2022,9.55,9.33,9.58,8.95,1.8,1.17,M
12/01/2022,9.44,9.0,9.83,9.0,1.42,2.05,M
11/01/2022,9.25,9.0,9.3,8.51,1.79,3.24,M
10/01/2022,8.96,8.9,9.11,8.37,1.12,-0.44,M
07/01/2022,9.0,8.78,9.17,8.49,988.1,1.24,K
06/01/2022,8.89,8.74,8.95,8.25,1.03,3.37,M
05/01/2022,8.6,8.63,8.93,8.33,2.45,-4.12,M
04/01/2022,8.97,8.7,8.99,8.34,1.77,3.1,M
03/01/2022,8.7,9.3,9.33,8.41,1.21,-3.33,M
30/12/2021,9.0,8.87,9.33,8.71,1.22,2.27,M
29/12/2021,8.8,9.27,9.27,8.6,1.36,-3.51,M
28/12/2021,9.12,9.5,9.5,8.8,1.36,-2.25,M
27/12/2021,9.33,9.2,9.39,8.73,1.31,1.3,M
23/12/2021,9.21,8.97,9.21,8.79,1.93,2.79,M
22/12/2021,8.96,8.68,9.07,8.43,2.65,1.93,M
21/12/2021,8.79,8.38,8.79,7.76,3.62,6.93,M
20/12/2021,8.22,8.14,8.5,7.98,803.3,-1.2,K
17/12/2021,8.32,8.26,8.42,7.98,2.24,-0.95,M
16/12/2021,8.4,8.99,9.07,7.92,2.23,-5.41,M
15/12/2021,8.88,7.8,8.98,7.23,3.98,14.88,M
14/12/2021,7.73,9.22,9.22,7.72,2.64,-16.16,M
13/12/2021,9.22,9.56,9.95,9.03,611.6,-4.26,K
10/12/2021,9.63,10.01,10.03,9.42,557.1,-2.73,K
09/12/2021,9.9,10.55,10.6,9.74,596.9,-7.39,K
08/12/2021,10.69,9.98,10.86,9.73,1.15,7.44,M
07/12/2021,9.95,10.4,10.55,9.63,1.22,-2.64,M
06/12/2021,10.22,9.66,10.58,9.29,3.6,7.81,M
03/12/2021,9.48,8.93,9.77,8.86,2.16,8.1,M
02/12/2021,8.77,9.0,9.13,8.2,3.74,-1.02,M
01/12/2021,8.86,9.85,10.22,8.86,2.02,-8.19,M
30/11/2021,9.65,11.56,11.7,9.65,2.92,-18.77,M
29/11/2021,11.88,12.88,12.92,11.82,939.4,-5.26,K
26/11/2021,12.54,12.78,13.04,12.24,738.6,-4.35,K
25/11/2021,13.11,12.88,13.18,12.37,516.9,2.82,K
24/11/2021,12.75,13.21,13.45,12.56,1.05,-3.34,M
23/11/2021,13.19,15.17,15.61,12.82,2.17,-13.68,M
22/11/2021,15.28,16.91,16.92,14.73,1.19,-7.95,M
19/11/2021,16.6,16.95,17.37,16.31,345.6,-0.95,K
18/11/2021,16.76,17.29,17.51,16.52,394.9,-0.83,K
17/11/2021,16.9,17.5,17.6,16.51,409.8,-2.37,K
