Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,17.11,17.0,17.52,16.88,377.3,-2.17,K
23/02/2022,17.49,16.62,17.84,16.62,587.3,4.67,K
22/02/2022,16.71,16.93,17.07,16.62,342.8,-0.54,K
21/02/2022,16.8,17.01,17.1,16.72,225.8,-1.18,K
18/02/2022,17.0,17.25,17.35,17.0,285.0,-0.58,K
17/02/2022,17.1,17.32,17.43,16.93,356.2,-0.29,K
16/02/2022,17.15,17.02,17.52,17.02,418.7,1.42,K
15/02/2022,16.91,16.87,17.18,16.82,319.3,1.02,K
14/02/2022,16.74,17.21,17.42,16.74,419.4,-2.05,K
11/02/2022,17.09,17.48,17.62,17.09,298.1,-1.27,K
10/02/2022,17.31,17.43,17.47,17.21,236.0,0.29,K
09/02/2022,17.26,17.18,17.47,17.1,570.8,0.52,K
08/02/2022,17.17,17.19,17.3,17.02,408.3,-0.12,K
07/02/2022,17.19,17.76,17.9,17.19,261.0,-2.99,K
04/02/2022,17.72,18.09,18.15,17.68,264.1,-2.42,K
03/02/2022,18.16,18.1,18.44,18.1,270.9,-0.44,K
02/02/2022,18.24,18.63,18.83,18.11,387.7,-2.09,K
01/02/2022,18.63,18.82,19.02,18.36,582.5,0.05,K
31/01/2022,18.62,17.76,18.8,17.76,436.1,3.96,K
28/01/2022,17.91,17.75,18.12,17.64,343.2,0.9,K
27/01/2022,17.75,17.45,17.91,17.42,349.2,2.25,K
26/01/2022,17.36,17.55,17.76,17.33,241.0,-0.69,K
25/01/2022,17.48,17.01,17.63,16.98,286.4,1.86,K
24/01/2022,17.16,17.6,17.82,17.1,271.9,-2.89,K
21/01/2022,17.67,17.69,18.01,17.54,291.6,-0.06,K
20/01/2022,17.68,17.76,18.15,17.68,191.1,-0.39,K
19/01/2022,17.75,17.68,18.2,17.63,360.0,0.57,K
18/01/2022,17.65,17.5,18.45,17.5,483.3,0.23,K
17/01/2022,17.61,17.63,18.15,17.25,423.6,0.4,K
14/01/2022,17.54,17.13,17.63,16.87,333.6,2.39,K
13/01/2022,17.13,17.42,17.45,16.99,320.4,-1.27,K
12/01/2022,17.35,16.87,17.46,16.87,287.5,2.85,K
11/01/2022,16.87,16.62,17.04,16.58,260.8,1.5,K
10/01/2022,16.62,16.75,16.99,16.61,217.4,-2.35,K
07/01/2022,17.02,16.05,17.17,16.01,450.7,5.06,K
06/01/2022,16.2,17.2,17.21,16.2,388.9,-4.71,K
05/01/2022,17.0,17.67,17.85,17.0,208.3,-3.02,K
04/01/2022,17.53,18.24,18.28,17.53,529.8,-3.15,K
03/01/2022,18.1,18.82,19.08,17.98,647.6,-2.27,K
30/12/2021,18.52,17.86,18.53,17.73,1.09,3.52,M
29/12/2021,17.89,17.91,18.08,17.75,149.8,-0.28,K
28/12/2021,17.94,17.95,18.14,17.86,147.7,-0.17,K
27/12/2021,17.97,17.88,18.16,17.73,169.7,0.5,K
23/12/2021,17.88,17.97,17.98,17.71,86.1,-0.17,K
22/12/2021,17.91,18.16,18.23,17.83,143.0,-2.34,K
21/12/2021,18.34,18.84,18.86,18.34,166.6,-2.19,K
20/12/2021,18.75,18.34,18.9,18.04,332.1,-0.79,K
17/12/2021,18.9,18.4,18.9,18.22,392.4,2.55,K
16/12/2021,18.43,18.45,18.57,18.1,315.5,-0.05,K
15/12/2021,18.44,18.43,18.58,18.15,198.5,0.05,K
14/12/2021,18.43,18.57,18.76,18.37,159.6,0.11,K
13/12/2021,18.41,18.75,18.85,18.41,214.2,-0.81,K
10/12/2021,18.56,18.05,18.7,18.05,301.5,1.75,K
09/12/2021,18.24,18.25,18.37,18.03,282.0,-0.55,K
08/12/2021,18.34,17.9,18.39,17.9,178.9,2.34,K
07/12/2021,17.92,18.06,18.1,17.76,127.2,0.0,K
06/12/2021,17.92,18.01,18.21,17.77,385.0,-0.06,K
03/12/2021,17.93,17.68,18.27,17.68,274.7,2.22,K
02/12/2021,17.54,17.14,17.85,17.14,303.4,3.18,K
01/12/2021,17.0,17.65,17.65,16.84,412.5,-1.73,K
30/11/2021,17.3,17.59,17.64,17.2,735.4,-1.42,K
29/11/2021,17.55,17.63,17.87,17.46,306.6,0.46,K
26/11/2021,17.47,17.59,17.67,17.16,349.6,-1.41,K
25/11/2021,17.72,17.78,17.95,17.67,142.2,1.08,K
24/11/2021,17.53,17.59,17.76,17.47,170.6,-0.85,K
23/11/2021,17.68,17.56,17.78,17.19,299.5,0.91,K
22/11/2021,17.52,17.5,17.73,17.35,367.9,-0.45,K
19/11/2021,17.6,17.5,18.01,17.5,188.8,0.57,K
18/11/2021,17.5,17.6,17.6,17.25,366.9,1.45,K
17/11/2021,17.25,17.64,17.64,17.12,443.3,-1.43,K
16/11/2021,17.5,17.67,17.84,17.43,396.6,-1.02,K
12/11/2021,17.68,17.68,17.93,17.36,491.4,0.06,K
11/11/2021,17.67,17.57,17.91,17.57,261.4,1.09,K
10/11/2021,17.48,17.24,17.77,17.15,257.0,1.81,K
09/11/2021,17.17,16.8,17.4,16.8,257.0,1.96,K
08/11/2021,16.84,17.0,17.22,16.81,219.7,-0.94,K
05/11/2021,17.0,17.11,17.25,16.96,267.9,0.71,K
04/11/2021,16.88,17.3,17.35,16.71,323.9,-2.03,K
03/11/2021,17.23,17.0,17.51,16.82,738.2,1.0,K
01/11/2021,17.06,16.76,17.23,16.67,231.9,2.65,K
29/10/2021,16.62,17.19,17.32,16.62,502.2,-3.2,K
28/10/2021,17.17,17.69,17.87,17.12,481.0,-3.59,K
27/10/2021,17.81,17.89,18.19,17.63,664.6,0.34,K
26/10/2021,17.75,17.66,17.75,17.18,638.7,0.57,K
25/10/2021,17.65,17.02,17.68,17.02,733.7,3.7,K
22/10/2021,17.02,17.71,17.73,16.6,1.36,-4.38,M
21/10/2021,17.8,18.2,18.43,17.34,2.34,-3.63,M
20/10/2021,18.47,18.08,18.64,18.08,397.7,2.27,K
19/10/2021,18.06,18.88,18.88,18.06,802.8,-4.9,K
18/10/2021,18.99,18.39,18.99,18.29,405.3,2.87,K
15/10/2021,18.46,18.69,18.89,18.46,339.7,-0.81,K
14/10/2021,18.61,18.39,18.67,18.34,201.7,1.25,K
13/10/2021,18.38,18.0,18.5,17.97,324.8,2.4,K
11/10/2021,17.95,17.23,18.07,17.11,372.7,3.82,K
08/10/2021,17.29,17.14,17.43,17.14,224.0,1.41,K
07/10/2021,17.05,17.0,17.16,16.54,420.9,0.29,K
06/10/2021,17.0,17.15,17.15,16.54,572.1,-1.16,K
05/10/2021,17.2,17.12,17.57,16.85,705.9,0.64,K
04/10/2021,17.09,17.16,17.17,16.8,369.7,-0.41,K
01/10/2021,17.16,17.03,17.16,16.87,622.3,0.47,K
30/09/2021,17.08,17.22,17.31,16.86,574.8,-0.12,K
29/09/2021,17.1,17.21,17.21,16.88,298.5,0.88,K
28/09/2021,16.95,17.5,17.5,16.95,328.4,-3.14,K
27/09/2021,17.5,17.29,17.66,17.06,396.3,1.51,K
24/09/2021,17.24,16.91,17.3,16.76,351.5,1.41,K
23/09/2021,17.0,17.07,17.17,16.75,375.5,-0.47,K
22/09/2021,17.08,16.66,17.08,16.57,640.3,3.26,K
21/09/2021,16.54,16.45,16.6,16.35,519.3,0.73,K
20/09/2021,16.42,16.1,16.45,15.97,508.1,0.55,K
17/09/2021,16.33,16.4,16.51,16.2,812.5,-0.67,K
16/09/2021,16.44,16.59,16.71,16.43,224.2,-1.02,K
15/09/2021,16.61,16.63,16.75,16.43,183.7,-0.54,K
14/09/2021,16.7,16.64,16.8,16.51,331.2,0.66,K
13/09/2021,16.59,16.37,16.63,16.34,273.8,1.65,K
10/09/2021,16.32,16.31,16.57,16.16,801.9,0.25,K
09/09/2021,16.28,15.94,16.45,15.84,488.2,1.94,K
08/09/2021,15.97,15.81,16.21,15.81,795.8,0.95,K
06/09/2021,15.82,16.16,16.39,15.82,673.3,-1.43,K
03/09/2021,16.05,16.88,17.0,16.05,1.88,-4.18,M
02/09/2021,16.75,17.2,17.2,16.72,510.4,-2.95,K
01/09/2021,17.26,16.79,17.37,16.79,990.0,3.42,K
31/08/2021,16.69,16.51,16.86,16.51,227.0,0.36,K
30/08/2021,16.63,16.67,16.93,16.53,334.4,-0.24,K
27/08/2021,16.67,16.5,16.67,16.16,795.5,2.02,K
26/08/2021,16.34,16.5,16.78,16.28,578.3,-1.09,K
25/08/2021,16.52,16.35,16.61,16.27,311.0,-0.18,K
24/08/2021,16.55,15.92,16.61,15.72,466.4,4.09,K
23/08/2021,15.9,15.85,15.99,15.58,345.9,0.32,K
20/08/2021,15.85,15.07,15.99,14.86,1.01,4.83,M
19/08/2021,15.12,14.4,15.15,14.15,448.6,4.06,K
18/08/2021,14.53,14.06,14.79,13.82,1.86,3.79,M
17/08/2021,14.0,13.56,14.39,13.56,1.55,3.24,M
16/08/2021,13.56,14.01,14.01,13.56,260.9,-2.38,K
13/08/2021,13.89,13.82,13.98,13.61,242.5,0.8,K
12/08/2021,13.78,13.99,13.99,13.69,303.1,-0.65,K
11/08/2021,13.87,14.15,14.15,13.72,259.5,0.14,K
10/08/2021,13.85,14.21,14.24,13.85,282.9,-2.53,K
09/08/2021,14.21,14.16,14.29,13.91,500.8,0.85,K
06/08/2021,14.09,13.87,14.19,13.85,293.1,2.1,K
05/08/2021,13.8,14.12,14.45,13.21,665.5,-2.13,K
04/08/2021,14.1,14.45,14.52,14.1,502.3,-2.42,K
03/08/2021,14.45,14.74,14.74,14.23,447.1,-0.41,K
02/08/2021,14.51,15.07,15.07,14.51,454.2,-1.29,K
30/07/2021,14.7,15.09,15.12,14.66,368.3,-2.58,K
29/07/2021,15.09,15.16,15.35,15.0,146.5,-1.18,K
28/07/2021,15.27,15.1,15.32,15.04,206.7,1.53,K
27/07/2021,15.04,14.95,15.08,14.82,224.3,0.67,K
26/07/2021,14.94,14.99,15.07,14.84,176.5,-0.07,K
23/07/2021,14.95,15.27,15.27,14.93,255.0,-2.16,K
22/07/2021,15.28,14.94,15.42,14.94,324.7,2.28,K
21/07/2021,14.94,14.93,15.08,14.88,226.5,0.07,K
20/07/2021,14.93,14.51,14.96,14.51,144.4,1.84,K
19/07/2021,14.66,14.7,14.75,14.52,313.8,-0.74,K
16/07/2021,14.77,14.91,14.97,14.73,194.1,-0.61,K
15/07/2021,14.86,14.93,15.05,14.78,169.3,-0.47,K
14/07/2021,14.93,14.78,15.02,14.78,172.9,1.01,K
13/07/2021,14.78,14.92,14.94,14.61,348.7,-1.07,K
12/07/2021,14.94,14.55,14.94,14.52,331.7,3.03,K
08/07/2021,14.5,14.48,14.56,14.22,1.21,-0.68,M
07/07/2021,14.6,14.75,14.75,14.42,211.0,0.0,K
06/07/2021,14.6,14.55,14.6,14.21,702.6,0.34,K
05/07/2021,14.55,14.52,14.65,14.4,538.4,0.41,K
02/07/2021,14.49,14.26,14.5,14.26,251.2,1.4,K
01/07/2021,14.29,14.72,14.72,14.22,405.7,-1.99,K
30/06/2021,14.58,14.56,14.71,14.5,412.3,-1.09,K
29/06/2021,14.74,15.03,15.1,14.7,380.5,-2.25,K
28/06/2021,15.08,15.03,15.12,14.94,275.4,0.6,K
25/06/2021,14.99,15.32,15.37,14.93,369.9,-2.6,K
24/06/2021,15.39,15.55,15.55,15.26,184.0,-0.52,K
23/06/2021,15.47,15.51,15.65,15.36,280.5,-0.77,K
22/06/2021,15.59,15.76,15.83,15.5,267.7,-2.44,K
21/06/2021,15.98,15.96,15.98,15.71,563.9,1.01,K
18/06/2021,15.82,16.51,16.7,15.82,1.61,-4.18,M
17/06/2021,16.51,16.71,16.81,16.46,330.7,-1.2,K
