Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,6.08,5.85,6.12,5.78,10.72,-0.82,M
23/02/2022,6.13,6.25,6.35,6.13,5.55,-2.08,M
22/02/2022,6.26,6.23,6.31,6.19,4.46,1.29,M
21/02/2022,6.18,6.4,6.45,6.12,4.92,-1.9,M
18/02/2022,6.3,6.49,6.49,6.29,4.41,-1.25,M
17/02/2022,6.38,6.57,6.59,6.37,5.5,-3.92,M
16/02/2022,6.64,6.67,6.78,6.6,6.0,-0.15,M
15/02/2022,6.65,6.54,6.69,6.52,4.2,-0.3,M
14/02/2022,6.67,6.55,6.72,6.53,5.74,1.06,M
11/02/2022,6.6,6.87,6.9,6.6,11.66,-3.93,M
10/02/2022,6.87,7.04,7.15,6.84,15.48,-1.01,M
09/02/2022,6.94,7.08,7.1,6.88,11.31,-1.84,M
08/02/2022,7.07,7.13,7.21,7.04,6.87,-0.7,M
07/02/2022,7.12,7.16,7.26,7.1,9.62,0.0,M
04/02/2022,7.12,7.16,7.21,6.99,7.75,-0.56,M
03/02/2022,7.16,7.17,7.22,7.07,3.75,-0.14,M
02/02/2022,7.17,7.21,7.37,7.15,6.63,-0.42,M
01/02/2022,7.2,6.97,7.26,6.97,7.33,3.15,M
31/01/2022,6.98,7.13,7.14,6.95,9.47,-2.38,M
28/01/2022,7.15,7.28,7.28,7.1,8.39,0.42,M
27/01/2022,7.12,7.31,7.39,7.07,9.18,-1.52,M
26/01/2022,7.23,7.3,7.53,7.22,11.45,0.0,M
25/01/2022,7.23,7.0,7.3,6.94,7.94,3.29,M
24/01/2022,7.0,7.08,7.09,6.91,5.14,-2.51,M
21/01/2022,7.18,7.18,7.36,7.17,4.14,-0.55,M
20/01/2022,7.22,7.33,7.48,7.22,4.11,-1.1,M
19/01/2022,7.3,7.41,7.5,7.27,7.78,1.39,M
18/01/2022,7.2,7.03,7.27,6.97,6.22,2.27,M
17/01/2022,7.04,7.13,7.2,7.03,3.17,-1.95,M
14/01/2022,7.18,7.15,7.23,7.08,3.74,0.28,M
13/01/2022,7.16,7.24,7.36,7.14,4.67,-2.05,M
12/01/2022,7.31,7.17,7.44,7.03,12.6,4.43,M
11/01/2022,7.0,6.99,7.2,6.96,5.51,0.14,M
10/01/2022,6.99,6.89,7.03,6.69,6.41,0.14,M
07/01/2022,6.98,6.89,7.13,6.77,7.38,2.35,M
06/01/2022,6.82,7.11,7.18,6.77,7.87,-2.01,M
05/01/2022,6.96,7.45,7.48,6.89,11.44,-7.81,M
04/01/2022,7.55,7.11,7.59,7.09,17.92,7.09,M
03/01/2022,7.05,6.83,7.16,6.59,13.28,4.6,M
30/12/2021,6.74,6.61,6.97,6.58,48.47,2.43,M
29/12/2021,6.58,6.49,6.67,6.43,6.49,0.92,M
28/12/2021,6.52,6.66,6.66,6.43,7.02,-2.54,M
27/12/2021,6.69,6.57,6.77,6.55,4.21,0.9,M
23/12/2021,6.63,6.67,6.69,6.47,4.27,0.0,M
22/12/2021,6.63,6.91,6.91,6.63,5.81,-4.19,M
21/12/2021,6.92,6.88,7.01,6.74,9.09,2.82,M
20/12/2021,6.73,7.02,7.05,6.73,9.79,-6.66,M
17/12/2021,7.21,6.89,7.25,6.82,10.04,4.19,M
16/12/2021,6.92,7.02,7.05,6.67,13.81,1.91,M
15/12/2021,6.79,6.73,6.84,6.5,7.63,0.89,M
14/12/2021,6.73,6.88,7.01,6.67,5.83,-2.04,M
13/12/2021,6.87,6.89,7.2,6.85,12.05,2.69,M
10/12/2021,6.69,6.76,6.95,6.58,7.63,-1.18,M
09/12/2021,6.77,6.46,6.8,6.43,8.41,4.15,M
08/12/2021,6.5,6.54,6.71,6.38,11.15,-0.61,M
07/12/2021,6.54,6.49,6.74,6.43,13.71,4.47,M
06/12/2021,6.26,6.1,6.32,6.01,8.33,3.99,M
03/12/2021,6.02,6.05,6.32,6.0,6.79,-1.15,M
02/12/2021,6.09,5.9,6.14,5.9,5.22,3.92,M
01/12/2021,5.86,6.07,6.19,5.86,8.59,-1.84,M
30/11/2021,5.97,5.96,6.1,5.88,5.75,0.0,M
29/11/2021,5.97,6.22,6.25,5.97,7.19,-0.5,M
26/11/2021,6.0,5.93,6.1,5.78,7.72,-3.23,M
25/11/2021,6.2,6.25,6.32,6.14,3.67,-0.32,M
24/11/2021,6.22,6.15,6.3,6.08,5.09,2.3,M
23/11/2021,6.08,6.24,6.49,6.04,11.53,1.84,M
22/11/2021,5.97,6.1,6.26,5.97,15.08,0.67,M
19/11/2021,5.93,5.73,6.04,5.73,9.26,4.04,M
18/11/2021,5.7,5.83,5.84,5.69,6.57,-2.06,M
17/11/2021,5.82,5.97,6.09,5.81,4.31,-1.36,M
16/11/2021,5.9,6.09,6.14,5.88,3.8,-3.44,M
12/11/2021,6.11,6.1,6.47,6.05,9.14,-0.49,M
11/11/2021,6.14,5.91,6.29,5.86,16.43,10.04,M
10/11/2021,5.58,5.7,5.85,5.57,12.2,-3.13,M
09/11/2021,5.76,5.74,6.0,5.68,13.87,-0.69,M
08/11/2021,5.8,5.65,5.85,5.58,12.56,4.88,M
05/11/2021,5.53,5.2,5.55,5.17,11.41,5.94,M
04/11/2021,5.22,5.01,5.37,4.97,18.28,0.19,M
03/11/2021,5.21,5.32,5.36,5.15,12.5,-3.16,M
