Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,2.37,2.2,2.42,2.18,64.15,-0.42,M
23/02/2022,2.38,2.42,2.51,2.38,26.75,-2.06,M
22/02/2022,2.43,2.34,2.47,2.33,49.71,7.05,M
21/02/2022,2.27,2.4,2.41,2.27,25.04,-5.81,M
18/02/2022,2.41,2.44,2.5,2.4,29.12,-0.41,M
17/02/2022,2.42,2.45,2.46,2.38,23.09,-0.82,M
16/02/2022,2.44,2.45,2.47,2.38,26.54,0.41,M
15/02/2022,2.43,2.39,2.47,2.39,22.17,2.1,M
14/02/2022,2.38,2.35,2.44,2.33,24.89,2.15,M
11/02/2022,2.33,2.5,2.56,2.32,57.76,-3.72,M
10/02/2022,2.42,2.45,2.49,2.38,21.66,-0.41,M
09/02/2022,2.43,2.42,2.48,2.4,18.12,0.83,M
08/02/2022,2.41,2.38,2.43,2.35,18.6,0.0,M
07/02/2022,2.41,2.46,2.47,2.33,34.33,-3.21,M
04/02/2022,2.49,2.52,2.54,2.41,30.25,-1.97,M
03/02/2022,2.54,2.51,2.59,2.5,23.41,1.2,M
02/02/2022,2.51,2.58,2.62,2.49,28.67,-2.33,M
01/02/2022,2.57,2.58,2.7,2.55,34.23,-0.39,M
31/01/2022,2.58,2.52,2.6,2.51,22.0,2.38,M
28/01/2022,2.52,2.5,2.58,2.48,26.43,-0.4,M
27/01/2022,2.53,2.58,2.61,2.51,32.64,-0.78,M
26/01/2022,2.55,2.52,2.61,2.46,46.77,3.24,M
25/01/2022,2.47,2.35,2.49,2.35,27.05,3.78,M
24/01/2022,2.38,2.36,2.4,2.32,22.34,-0.42,M
21/01/2022,2.39,2.32,2.41,2.31,31.19,1.7,M
20/01/2022,2.35,2.19,2.37,2.18,52.78,6.82,M
19/01/2022,2.2,2.26,2.3,2.2,25.4,-2.22,M
18/01/2022,2.25,2.15,2.28,2.15,42.28,3.69,M
17/01/2022,2.17,2.13,2.21,2.13,12.41,0.46,M
14/01/2022,2.16,2.06,2.18,2.04,25.52,3.85,M
13/01/2022,2.08,2.03,2.09,2.0,32.94,1.46,M
12/01/2022,2.05,2.02,2.11,2.02,26.45,0.49,M
11/01/2022,2.04,1.99,2.1,1.99,22.61,2.0,M
10/01/2022,2.0,2.06,2.07,1.98,25.48,-3.38,M
07/01/2022,2.07,2.09,2.13,2.04,32.09,-0.96,M
06/01/2022,2.09,2.15,2.17,2.08,39.75,-2.34,M
05/01/2022,2.14,2.3,2.31,2.13,45.9,-6.55,M
04/01/2022,2.29,2.4,2.41,2.29,35.9,-4.18,M
03/01/2022,2.39,2.49,2.51,2.36,29.93,-2.85,M
30/12/2021,2.46,2.4,2.5,2.37,32.5,2.93,M
29/12/2021,2.39,2.41,2.49,2.38,29.98,-0.83,M
28/12/2021,2.41,2.41,2.44,2.38,17.87,0.42,M
27/12/2021,2.4,2.42,2.48,2.38,24.81,-0.41,M
23/12/2021,2.41,2.48,2.5,2.41,31.08,-2.03,M
22/12/2021,2.46,2.52,2.57,2.46,32.15,-3.15,M
21/12/2021,2.54,2.54,2.58,2.5,23.56,0.79,M
20/12/2021,2.52,2.51,2.58,2.47,41.77,-1.95,M
17/12/2021,2.57,2.53,2.62,2.5,30.25,-0.39,M
16/12/2021,2.58,2.58,2.66,2.55,29.7,1.18,M
15/12/2021,2.55,2.52,2.57,2.48,35.34,2.0,M
14/12/2021,2.5,2.65,2.72,2.5,44.07,-4.94,M
13/12/2021,2.63,2.8,2.84,2.63,67.63,-9.31,M
10/12/2021,2.9,2.62,2.9,2.6,44.65,11.97,M
09/12/2021,2.59,2.57,2.65,2.56,22.58,-1.15,M
08/12/2021,2.62,2.5,2.62,2.47,36.37,5.22,M
07/12/2021,2.49,2.62,2.66,2.49,32.34,-2.73,M
06/12/2021,2.56,2.5,2.62,2.47,28.84,3.23,M
03/12/2021,2.48,2.45,2.6,2.45,32.96,0.81,M
02/12/2021,2.46,2.39,2.47,2.33,30.4,4.24,M
01/12/2021,2.36,2.5,2.55,2.35,34.32,-4.84,M
30/11/2021,2.48,2.38,2.5,2.35,42.37,2.9,M
29/11/2021,2.41,2.39,2.46,2.38,27.7,2.55,M
26/11/2021,2.35,2.38,2.41,2.29,47.18,-6.0,M
25/11/2021,2.5,2.49,2.56,2.47,22.62,1.63,M
24/11/2021,2.46,2.35,2.46,2.34,29.09,3.8,M
23/11/2021,2.37,2.44,2.44,2.33,51.84,-1.66,M
22/11/2021,2.41,2.53,2.55,2.41,40.93,-3.98,M
19/11/2021,2.51,2.55,2.61,2.51,32.28,-1.57,M
18/11/2021,2.55,2.55,2.66,2.54,28.43,-0.78,M
17/11/2021,2.57,2.62,2.66,2.51,44.86,-1.53,M
16/11/2021,2.61,2.79,2.82,2.61,44.91,-6.45,M
12/11/2021,2.79,2.78,2.88,2.69,44.19,0.72,M
