Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,30.51,30.27,30.9,30.05,2.16,-0.72,M
23/02/2022,30.73,30.03,31.09,30.02,3.27,1.82,M
22/02/2022,30.18,30.09,30.41,29.93,1.81,0.87,M
21/02/2022,29.92,29.84,30.31,29.64,2.81,0.5,M
18/02/2022,29.77,29.83,29.93,29.51,1.35,0.1,M
17/02/2022,29.74,29.59,30.14,29.45,5.25,0.1,M
16/02/2022,29.71,29.88,30.23,29.59,2.69,0.0,M
15/02/2022,29.71,29.2,29.97,29.0,2.79,1.99,M
14/02/2022,29.13,28.95,29.29,28.88,2.4,0.97,M
11/02/2022,28.85,28.75,29.51,28.62,2.81,0.91,M
10/02/2022,28.59,28.74,28.89,28.15,1.63,-0.45,M
09/02/2022,28.72,28.5,28.93,28.38,2.63,0.77,M
08/02/2022,28.5,28.34,28.82,27.96,2.81,0.35,M
07/02/2022,28.4,28.01,28.49,27.86,2.74,0.35,M
04/02/2022,28.3,28.75,29.05,28.04,1.65,-1.84,M
03/02/2022,28.83,28.79,28.91,28.42,2.12,1.62,M
02/02/2022,28.37,29.14,29.3,28.35,2.73,-2.27,M
01/02/2022,29.03,29.06,29.43,28.91,3.58,0.35,M
31/01/2022,28.93,28.37,29.09,28.25,1.93,1.87,M
28/01/2022,28.4,28.21,28.4,28.09,1.25,0.35,M
27/01/2022,28.3,28.56,28.69,27.95,2.35,0.43,M
26/01/2022,28.18,28.19,28.76,28.05,3.17,-0.04,M
25/01/2022,28.19,27.21,28.37,27.17,3.73,3.07,M
24/01/2022,27.35,27.09,27.75,27.02,3.19,1.03,M
21/01/2022,27.07,26.73,27.24,26.48,1.95,0.78,M
20/01/2022,26.86,26.64,27.25,26.64,2.42,0.71,M
19/01/2022,26.67,26.33,26.96,26.13,2.75,1.79,M
18/01/2022,26.2,26.06,26.5,25.93,2.42,0.77,M
17/01/2022,26.0,25.82,26.26,25.82,1.7,0.19,M
14/01/2022,25.95,25.99,26.05,25.42,1.95,0.39,M
13/01/2022,25.85,26.25,26.43,25.85,2.02,-1.52,M
12/01/2022,26.25,25.7,26.3,25.45,2.55,2.86,M
