Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,18.3,17.67,18.3,17.38,6.05,2.12,M
23/02/2022,17.92,18.06,18.1,17.78,3.79,-1.59,M
22/02/2022,18.21,17.48,18.21,17.3,18.11,4.9,M
21/02/2022,17.36,17.36,17.41,17.1,1.5,-0.23,M
18/02/2022,17.4,17.22,17.55,17.05,3.95,1.69,M
17/02/2022,17.11,16.67,17.53,16.67,4.23,1.54,M
16/02/2022,16.85,16.29,17.43,16.21,10.44,5.31,M
15/02/2022,16.0,16.39,16.48,15.96,6.22,-1.84,M
14/02/2022,16.3,16.62,16.98,16.25,9.46,-2.1,M
11/02/2022,16.65,16.84,16.97,16.61,8.92,-0.6,M
10/02/2022,16.75,16.42,16.75,16.4,4.23,2.13,M
09/02/2022,16.4,16.03,16.6,16.0,6.54,3.4,M
08/02/2022,15.86,15.75,15.93,15.6,4.37,-0.31,M
07/02/2022,15.91,15.88,16.05,15.66,4.61,0.7,M
04/02/2022,15.8,16.47,16.47,15.52,8.83,-3.95,M
03/02/2022,16.45,16.54,16.86,16.44,3.53,-0.72,M
02/02/2022,16.57,16.63,16.8,16.36,3.19,-0.3,M
01/02/2022,16.62,16.67,16.75,16.39,1.73,-0.3,M
31/01/2022,16.67,16.5,16.75,16.31,2.46,0.79,M
28/01/2022,16.54,16.43,16.76,16.31,6.34,-0.06,M
27/01/2022,16.55,15.8,16.58,15.66,10.84,5.75,M
26/01/2022,15.65,15.5,15.85,15.26,6.75,1.23,M
25/01/2022,15.46,14.99,15.49,14.84,4.86,3.41,M
24/01/2022,14.95,14.84,15.02,14.62,3.48,0.54,M
21/01/2022,14.87,14.64,14.87,14.52,3.83,1.5,M
20/01/2022,14.65,15.13,15.17,14.52,6.63,-2.59,M
19/01/2022,15.04,14.67,15.07,14.57,7.34,2.94,M
18/01/2022,14.61,14.49,14.68,14.2,5.1,0.83,M
17/01/2022,14.49,14.33,14.64,14.29,2.05,0.63,M
14/01/2022,14.4,14.2,14.4,13.88,3.94,1.41,M
13/01/2022,14.2,14.49,14.55,14.02,2.55,-2.0,M
12/01/2022,14.49,14.21,14.54,14.06,2.62,1.76,M
11/01/2022,14.24,13.98,14.26,13.98,3.51,1.28,M
10/01/2022,14.06,13.89,14.34,13.73,5.6,0.72,M
07/01/2022,13.96,14.19,14.3,13.94,4.35,-2.17,M
06/01/2022,14.27,14.07,14.74,13.98,9.26,2.22,M
05/01/2022,13.96,14.17,14.54,13.96,7.16,-2.24,M
04/01/2022,14.28,14.32,14.39,14.16,2.95,-0.28,M
03/01/2022,14.32,15.17,15.19,14.26,4.63,-6.1,M
30/12/2021,15.25,14.99,15.3,14.89,3.48,2.21,M
29/12/2021,14.92,15.24,15.24,14.84,1.86,-1.91,M
28/12/2021,15.21,15.48,15.52,15.07,5.53,-1.68,M
27/12/2021,15.47,15.37,15.57,15.31,1.73,0.52,M
23/12/2021,15.39,15.25,15.42,15.12,2.46,0.59,M
22/12/2021,15.3,15.32,15.33,14.83,4.25,-0.13,M
21/12/2021,15.32,15.51,15.55,15.18,2.37,-1.23,M
20/12/2021,15.51,15.73,15.86,15.35,2.23,-1.9,M
17/12/2021,15.81,15.81,15.94,15.68,5.24,-1.06,M
16/12/2021,15.98,15.61,16.1,15.61,4.45,2.77,M
15/12/2021,15.55,15.32,15.68,15.28,3.66,2.1,M
14/12/2021,15.23,15.29,15.62,15.08,4.96,-0.2,M
13/12/2021,15.26,15.56,15.62,15.26,3.98,-1.86,M
10/12/2021,15.55,14.9,15.64,14.89,5.8,5.0,M
09/12/2021,14.81,14.86,14.87,14.49,5.39,-0.8,M
08/12/2021,14.93,14.93,15.04,14.69,5.32,0.54,M
07/12/2021,14.85,15.3,15.32,14.7,5.76,-1.59,M
06/12/2021,15.09,14.86,15.19,14.85,4.5,2.1,M
03/12/2021,14.78,14.99,15.32,14.69,11.76,-1.27,M
02/12/2021,14.97,15.19,15.25,14.73,7.48,-0.4,M
01/12/2021,15.03,15.44,15.55,14.89,5.35,-1.96,M
30/11/2021,15.33,15.5,15.62,15.18,12.98,-1.35,M
29/11/2021,15.54,15.88,15.89,15.54,5.98,-0.77,M
26/11/2021,15.66,16.0,16.04,15.62,2.18,-4.16,M
25/11/2021,16.34,16.11,16.52,16.1,1.62,1.49,M
24/11/2021,16.1,15.93,16.29,15.8,2.87,0.5,M
23/11/2021,16.02,15.89,16.02,15.51,4.66,1.39,M
22/11/2021,15.8,16.14,16.32,15.7,4.66,-2.17,M
19/11/2021,16.15,15.97,16.41,15.92,5.37,0.94,M
18/11/2021,16.0,16.2,16.38,15.81,3.5,-1.11,M
17/11/2021,16.18,16.56,16.6,15.99,3.12,-1.88,M
16/11/2021,16.49,17.12,17.19,16.33,5.25,-4.96,M
12/11/2021,17.35,16.86,17.51,16.73,6.01,3.15,M
11/11/2021,16.82,17.0,17.03,16.75,2.76,-0.36,M
10/11/2021,16.88,17.34,17.56,16.73,5.27,-3.71,M
09/11/2021,17.53,17.04,17.8,17.04,3.42,3.0,M
08/11/2021,17.02,16.69,17.3,16.65,2.4,1.31,M
05/11/2021,16.8,17.09,17.25,16.69,4.67,-1.0,M
04/11/2021,16.97,17.26,17.38,16.66,4.35,-1.96,M
03/11/2021,17.31,17.24,17.67,17.11,4.22,0.17,M
