Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,20.51,20.04,20.64,19.99,6.27,0.29,M
23/02/2022,20.45,20.51,20.72,20.03,8.1,-0.34,M
22/02/2022,20.52,21.38,21.42,20.48,9.9,-3.12,M
21/02/2022,21.18,21.94,21.94,21.0,7.17,-2.67,M
18/02/2022,21.76,22.98,23.01,21.48,11.81,-4.81,M
17/02/2022,22.86,22.98,23.24,22.73,6.28,-0.26,M
16/02/2022,22.92,22.3,23.05,22.21,8.66,2.78,M
15/02/2022,22.3,22.48,22.59,21.94,7.37,0.13,M
14/02/2022,22.27,22.27,22.73,22.04,12.09,0.0,M
11/02/2022,22.27,22.4,22.52,22.04,6.39,-0.22,M
10/02/2022,22.32,22.43,22.53,22.0,3.83,-0.18,M
09/02/2022,22.36,22.17,22.58,22.04,5.53,0.86,M
08/02/2022,22.17,22.58,22.64,21.86,9.08,-1.64,M
07/02/2022,22.54,23.12,23.16,22.47,6.14,-3.3,M
04/02/2022,23.31,23.61,23.62,22.68,6.51,-1.4,M
03/02/2022,23.64,23.63,23.91,23.44,3.26,0.04,M
02/02/2022,23.63,23.83,24.1,23.48,7.14,-0.3,M
01/02/2022,23.7,23.96,24.0,23.37,5.7,-0.29,M
31/01/2022,23.77,23.29,24.1,23.13,12.05,2.41,M
28/01/2022,23.21,23.04,23.54,22.94,7.06,-0.64,M
27/01/2022,23.36,22.61,23.36,22.61,9.51,4.15,M
26/01/2022,22.43,22.11,23.02,22.04,8.95,2.14,M
25/01/2022,21.96,21.52,22.05,21.41,9.11,1.43,M
24/01/2022,21.65,21.98,22.13,21.45,4.62,-1.5,M
21/01/2022,21.98,22.22,22.37,21.82,7.71,-1.88,M
20/01/2022,22.4,22.07,22.77,22.06,5.9,1.96,M
19/01/2022,21.97,21.5,22.42,21.37,9.48,3.1,M
18/01/2022,21.31,21.12,21.44,21.02,3.84,1.09,M
17/01/2022,21.08,21.17,21.56,21.0,4.39,-0.66,M
14/01/2022,21.22,21.05,21.37,20.99,3.05,0.81,M
13/01/2022,21.05,21.07,21.38,20.95,3.93,-0.85,M
12/01/2022,21.23,20.45,21.39,20.36,7.84,3.26,M
11/01/2022,20.56,19.7,20.72,19.59,8.91,4.21,M
10/01/2022,19.73,19.81,19.95,19.39,5.97,-0.4,M
07/01/2022,19.81,19.8,20.03,19.64,5.23,0.2,M
06/01/2022,19.77,20.28,20.38,19.63,6.83,-2.32,M
05/01/2022,20.24,21.26,21.37,20.23,8.47,-4.98,M
04/01/2022,21.3,21.18,21.65,21.04,6.33,0.61,M
03/01/2022,21.17,21.77,22.18,21.06,8.99,-2.4,M
30/12/2021,21.69,21.49,21.84,21.48,5.71,1.07,M
29/12/2021,21.46,21.52,21.64,21.27,2.4,0.05,M
28/12/2021,21.45,21.39,21.63,21.2,3.39,0.19,M
27/12/2021,21.41,21.25,21.56,21.17,3.3,1.23,M
23/12/2021,21.15,21.42,21.48,21.06,4.13,-1.17,M
22/12/2021,21.4,21.35,21.51,21.04,5.44,0.28,M
21/12/2021,21.34,21.56,21.68,21.3,4.05,-1.52,M
20/12/2021,21.67,22.0,22.03,21.38,5.25,-2.12,M
17/12/2021,22.14,22.12,22.25,21.93,7.08,-0.9,M
16/12/2021,22.34,22.3,22.58,22.16,7.0,0.27,M
15/12/2021,22.28,21.79,22.52,21.73,9.51,0.36,M
14/12/2021,22.2,22.42,23.1,22.13,5.65,0.14,M
13/12/2021,22.17,22.4,22.49,22.01,5.53,-0.4,M
10/12/2021,22.26,22.12,22.55,22.12,5.37,1.09,M
09/12/2021,22.02,22.17,22.34,21.82,4.6,-0.86,M
08/12/2021,22.21,22.11,22.5,22.01,8.17,1.09,M
07/12/2021,21.97,22.08,22.22,21.68,5.83,0.37,M
06/12/2021,21.89,22.44,22.77,21.78,7.63,-2.15,M
03/12/2021,22.37,22.0,22.7,21.93,9.43,1.96,M
02/12/2021,21.94,21.59,22.05,21.35,8.63,3.39,M
01/12/2021,21.22,21.4,21.81,21.02,7.8,-0.14,M
30/11/2021,21.25,21.48,21.75,20.86,15.91,-1.07,M
29/11/2021,21.48,21.47,21.89,21.32,6.3,0.85,M
26/11/2021,21.3,21.0,21.35,20.83,6.95,-1.02,M
25/11/2021,21.52,21.32,22.04,21.21,5.99,1.46,M
24/11/2021,21.21,21.12,21.5,21.05,7.67,-0.28,M
23/11/2021,21.27,20.7,21.44,20.55,9.82,2.95,M
22/11/2021,20.66,21.1,21.59,20.66,5.59,-1.9,M
19/11/2021,21.06,20.95,21.53,20.88,5.08,0.43,M
18/11/2021,20.97,20.87,21.37,20.76,4.73,0.72,M
17/11/2021,20.82,21.05,21.56,20.48,8.58,0.14,M
16/11/2021,20.79,21.27,21.83,20.2,10.33,-1.52,M
12/11/2021,21.11,21.81,21.9,20.99,7.29,-3.43,M
11/11/2021,21.86,21.58,22.41,21.47,5.39,2.73,M
10/11/2021,21.28,20.98,21.84,20.91,9.35,1.24,M
09/11/2021,21.02,20.6,21.46,20.55,5.67,1.84,M
08/11/2021,20.64,20.52,20.99,20.48,4.87,-0.67,M
05/11/2021,20.78,20.53,21.12,20.3,6.18,2.72,M
04/11/2021,20.23,20.46,20.59,20.04,5.43,-1.61,M
03/11/2021,20.56,19.9,20.73,19.79,10.7,1.83,M
01/11/2021,20.19,20.05,20.43,19.9,7.29,2.02,M
29/10/2021,19.79,20.3,20.37,19.68,7.08,-1.74,M
28/10/2021,20.14,20.34,20.7,20.01,8.74,-2.0,M
27/10/2021,20.55,20.81,21.01,20.43,7.35,-0.82,M
26/10/2021,20.72,21.21,21.7,20.63,10.08,-4.38,M
25/10/2021,21.67,21.08,22.03,20.94,7.46,3.59,M
