Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,14.01,13.75,14.09,13.69,1.69,0.0,M
23/02/2022,14.01,13.71,14.24,13.71,2.37,2.19,M
22/02/2022,13.71,13.75,13.85,13.62,1.22,0.81,M
21/02/2022,13.6,13.76,13.99,13.55,1.15,-0.66,M
18/02/2022,13.69,13.73,13.8,13.64,614.6,0.37,K
17/02/2022,13.64,13.6,13.72,13.54,1.05,0.0,M
16/02/2022,13.64,13.56,13.68,13.47,1.16,0.66,M
15/02/2022,13.55,13.4,13.63,13.32,896.5,1.73,K
14/02/2022,13.32,13.49,13.59,13.19,1.11,-1.26,M
11/02/2022,13.49,13.68,13.85,13.41,1.57,-0.95,M
10/02/2022,13.62,13.61,13.74,13.57,740.5,0.15,K
09/02/2022,13.6,13.52,13.7,13.45,979.4,0.67,K
08/02/2022,13.51,13.45,13.67,13.34,1.41,0.3,M
07/02/2022,13.47,13.33,13.74,13.33,3.21,0.45,M
04/02/2022,13.41,13.25,13.47,13.07,2.13,1.36,M
03/02/2022,13.23,13.07,13.3,12.98,1.47,1.46,M
02/02/2022,13.04,13.13,13.18,12.97,877.5,-0.53,K
01/02/2022,13.11,13.1,13.33,13.0,1.49,-0.3,M
31/01/2022,13.15,12.92,13.2,12.83,2.19,1.94,M
28/01/2022,12.9,12.82,12.99,12.76,1.34,0.7,M
27/01/2022,12.81,12.73,12.89,12.72,1.05,1.34,M
26/01/2022,12.64,12.66,12.81,12.54,2.03,0.48,M
25/01/2022,12.58,12.26,12.65,12.18,1.7,2.44,M
24/01/2022,12.28,12.27,12.45,12.23,1.53,0.82,M
21/01/2022,12.18,12.32,12.39,12.12,1.72,-1.54,M
20/01/2022,12.37,12.24,12.43,12.2,1.05,1.73,M
19/01/2022,12.16,12.11,12.31,12.05,1.29,0.5,M
18/01/2022,12.1,12.14,12.31,12.01,1.32,-0.08,M
17/01/2022,12.11,12.1,12.32,12.0,781.7,1.0,K
14/01/2022,11.99,11.9,12.05,11.85,656.2,1.1,K
13/01/2022,11.86,11.8,11.98,11.79,721.6,-0.08,K
12/01/2022,11.87,11.6,11.9,11.56,876.6,2.86,K
11/01/2022,11.54,11.5,11.66,11.4,966.6,0.35,K
10/01/2022,11.5,11.6,11.75,11.45,1.17,-0.78,M
07/01/2022,11.59,11.6,11.75,11.41,1.46,0.09,M
06/01/2022,11.58,12.0,12.04,11.53,1.95,-2.93,M
05/01/2022,11.93,12.16,12.23,11.93,1.35,-1.81,M
04/01/2022,12.15,12.19,12.38,12.0,2.1,-0.08,M
03/01/2022,12.16,12.78,12.96,12.13,2.16,-4.33,M
30/12/2021,12.71,12.58,12.78,12.42,3.57,1.76,M
29/12/2021,12.49,12.53,12.72,12.41,2.49,-0.32,M
28/12/2021,12.53,12.65,12.78,12.47,2.29,-2.64,M
27/12/2021,12.87,12.74,12.9,12.72,711.5,0.94,K
23/12/2021,12.75,12.9,12.94,12.69,1.09,-0.93,M
22/12/2021,12.87,13.02,13.04,12.79,1.58,-1.23,M
21/12/2021,13.03,13.08,13.19,12.95,911.6,-0.31,K
20/12/2021,13.07,13.13,13.16,12.9,1.94,-0.61,M
17/12/2021,13.15,13.09,13.24,13.02,2.26,0.0,M
