Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,23.5,22.74,23.5,22.55,10.05,-0.84,M
23/02/2022,23.7,25.04,25.21,23.56,11.19,-4.86,M
22/02/2022,24.91,24.95,25.11,24.4,8.39,0.69,M
21/02/2022,24.74,24.85,25.38,24.61,9.07,0.41,M
18/02/2022,24.64,25.21,25.36,24.56,10.29,-1.28,M
17/02/2022,24.96,26.02,26.23,24.87,14.51,-5.85,M
16/02/2022,26.51,26.55,26.98,26.46,8.76,0.42,M
15/02/2022,26.4,27.4,27.4,26.05,17.91,-4.83,M
14/02/2022,27.74,27.6,28.23,27.32,8.51,-0.25,M
11/02/2022,27.81,28.37,28.63,27.66,9.87,-1.42,M
10/02/2022,28.21,28.54,29.33,28.05,16.09,0.11,M
09/02/2022,28.18,27.41,28.28,27.36,7.72,1.22,M
08/02/2022,27.84,27.42,27.91,27.12,8.14,1.35,M
07/02/2022,27.47,26.7,27.62,26.67,9.42,3.15,M
04/02/2022,26.63,26.41,26.79,26.01,7.9,0.45,M
03/02/2022,26.51,27.06,27.2,26.32,7.02,-1.67,M
02/02/2022,26.96,26.83,27.24,26.62,7.51,0.48,M
01/02/2022,26.83,25.69,26.93,25.35,11.6,5.05,M
31/01/2022,25.54,25.35,25.84,24.48,12.13,-0.51,M
28/01/2022,25.67,26.67,26.98,25.26,14.52,-1.95,M
27/01/2022,26.18,26.33,26.72,25.75,11.81,0.69,M
26/01/2022,26.0,26.01,26.69,25.64,16.81,2.32,M
25/01/2022,25.41,25.99,26.22,25.11,14.24,-2.04,M
24/01/2022,25.94,25.47,25.97,24.73,13.59,0.74,M
21/01/2022,25.75,26.25,26.51,25.72,13.98,-2.28,M
20/01/2022,26.35,26.62,27.09,26.32,13.55,-0.45,M
19/01/2022,26.47,26.49,26.99,26.2,14.65,2.64,M
18/01/2022,25.79,25.11,25.92,24.83,11.04,2.59,M
17/01/2022,25.14,25.5,25.6,25.06,7.89,-2.26,M
14/01/2022,25.72,26.01,26.1,25.65,9.32,-1.76,M
13/01/2022,26.18,25.81,26.55,25.68,10.72,-0.38,M
12/01/2022,26.28,25.4,26.43,25.24,16.81,5.71,M
11/01/2022,24.86,24.8,25.82,24.65,17.39,-0.24,M
10/01/2022,24.92,23.82,25.26,22.84,19.29,3.32,M
07/01/2022,24.12,23.38,24.19,22.92,10.06,4.24,M
06/01/2022,23.14,23.77,24.06,23.06,7.76,-1.28,M
05/01/2022,23.44,24.1,24.26,23.38,10.55,-2.9,M
04/01/2022,24.14,24.86,24.97,24.05,7.6,-1.51,M
03/01/2022,24.51,25.39,25.74,24.51,8.38,-1.92,M
30/12/2021,24.99,25.21,25.47,24.9,8.26,-0.2,M
29/12/2021,25.04,24.89,25.17,24.66,6.23,0.36,M
28/12/2021,24.95,24.89,25.18,24.55,6.39,0.12,M
27/12/2021,24.92,24.56,24.98,24.26,5.79,1.1,M
23/12/2021,24.65,24.77,24.88,24.42,7.22,-0.44,M
22/12/2021,24.76,24.68,25.0,24.42,6.46,-0.32,M
21/12/2021,24.84,24.27,24.99,24.12,11.48,4.77,M
20/12/2021,23.71,25.05,25.08,23.64,17.84,-6.91,M
17/12/2021,25.47,25.6,25.75,25.05,13.43,-1.36,M
16/12/2021,25.82,25.0,25.86,24.66,14.81,6.04,M
15/12/2021,24.35,24.25,25.05,23.83,12.7,-0.12,M
14/12/2021,24.38,24.95,25.18,24.31,9.62,-1.49,M
13/12/2021,24.75,24.84,25.48,24.37,14.78,1.52,M
10/12/2021,24.38,24.66,24.83,23.69,13.17,-0.33,M
09/12/2021,24.46,23.7,24.72,23.53,12.16,1.49,M
08/12/2021,24.1,24.52,24.92,24.04,9.59,-1.27,M
07/12/2021,24.41,25.24,25.44,24.32,16.17,1.16,M
06/12/2021,24.13,23.69,24.28,23.15,13.14,3.65,M
03/12/2021,23.28,23.29,23.83,22.79,13.96,-1.23,M
02/12/2021,23.57,21.94,23.57,21.85,14.14,9.17,M
01/12/2021,21.59,22.4,22.8,21.55,11.67,-0.78,M
30/11/2021,21.76,22.34,22.7,21.51,16.43,-3.46,M
29/11/2021,22.54,23.13,23.37,22.45,11.49,1.17,M
26/11/2021,22.28,22.26,22.74,21.82,12.02,-4.91,M
25/11/2021,23.43,22.92,23.56,22.69,10.19,2.23,M
24/11/2021,22.92,22.6,23.24,22.31,13.24,1.64,M
23/11/2021,22.55,22.7,23.52,22.32,19.8,3.44,M
22/11/2021,21.8,22.15,22.25,21.4,15.6,1.92,M
19/11/2021,21.39,20.3,21.53,20.11,22.24,7.98,M
18/11/2021,19.81,20.7,20.86,19.71,17.65,-5.35,M
17/11/2021,20.93,21.48,22.01,20.77,15.09,-0.85,M
16/11/2021,21.11,22.53,22.56,21.09,13.0,-5.93,M
12/11/2021,22.44,22.57,23.21,22.3,11.77,-1.36,M
11/11/2021,22.75,22.0,22.9,21.77,20.32,7.46,M
10/11/2021,21.17,20.97,21.46,20.82,12.31,-0.66,M
09/11/2021,21.31,21.53,22.19,21.15,15.52,-1.75,M
08/11/2021,21.69,21.1,22.4,21.06,13.95,2.12,M
05/11/2021,21.24,21.57,21.69,20.98,11.91,-0.42,M
04/11/2021,21.33,21.39,22.29,20.57,27.95,-3.44,M
03/11/2021,22.09,22.7,22.92,21.88,17.6,-4.58,M
01/11/2021,23.15,22.7,23.47,22.59,11.5,1.62,M
29/10/2021,22.78,24.06,24.09,22.74,15.23,-5.24,M
28/10/2021,24.04,24.26,24.52,23.92,7.7,-1.88,M
27/10/2021,24.5,24.58,25.39,24.43,13.72,0.29,M
26/10/2021,24.43,25.84,25.95,24.35,14.76,-6.4,M
25/10/2021,26.1,25.35,26.24,25.15,8.86,4.03,M
22/10/2021,25.09,24.96,25.81,24.52,14.92,0.08,M
21/10/2021,25.07,24.57,25.1,24.08,16.11,-1.84,M
20/10/2021,25.54,25.88,25.95,25.23,9.88,-0.51,M
19/10/2021,25.67,26.2,26.7,25.43,13.25,-2.95,M
18/10/2021,26.45,27.03,27.14,26.3,13.56,-4.13,M
15/10/2021,27.59,27.22,27.88,26.97,9.87,1.88,M
14/10/2021,27.08,27.9,27.94,26.94,9.23,-1.42,M
13/10/2021,27.47,28.0,28.05,27.19,12.42,-2.31,M
11/10/2021,28.12,29.06,29.44,28.12,11.82,-0.71,M
08/10/2021,28.32,28.1,29.15,28.07,14.63,3.09,M
07/10/2021,27.47,28.0,28.51,27.32,14.31,-1.26,M
06/10/2021,27.82,27.24,27.82,26.76,11.28,-0.11,M
05/10/2021,27.85,28.0,28.32,27.38,10.13,0.32,M
04/10/2021,27.76,29.13,29.13,27.66,12.12,-5.0,M
01/10/2021,29.22,28.88,29.34,28.41,10.35,1.71,M
30/09/2021,28.73,28.56,29.58,28.46,16.83,3.05,M
29/09/2021,27.88,27.99,28.27,27.47,13.77,0.94,M
28/09/2021,27.62,29.43,29.64,27.62,15.15,-7.84,M
27/09/2021,29.97,29.49,30.39,28.75,19.21,3.24,M
24/09/2021,29.03,29.7,29.72,28.85,12.83,-3.59,M
23/09/2021,30.11,29.57,30.49,28.75,19.31,2.66,M
22/09/2021,29.33,30.25,31.27,29.14,20.02,1.95,M
21/09/2021,28.77,29.56,29.57,27.73,17.53,-0.38,M
20/09/2021,28.88,28.0,29.12,27.96,12.32,-3.09,M
17/09/2021,29.8,30.6,31.26,29.59,13.82,-4.73,M
16/09/2021,31.28,32.7,32.7,31.22,11.98,-6.18,M
15/09/2021,33.34,33.18,33.82,32.65,12.44,0.63,M
14/09/2021,33.13,33.51,33.86,32.8,10.44,-1.43,M
13/09/2021,33.61,34.07,34.37,33.41,9.68,-0.41,M
10/09/2021,33.75,35.2,35.4,33.74,10.87,-1.32,M
09/09/2021,34.2,33.02,34.59,32.94,15.6,2.98,M
08/09/2021,33.21,33.94,34.02,33.21,9.27,-2.75,M
06/09/2021,34.15,34.1,34.45,33.72,6.02,-1.9,M
03/09/2021,34.81,35.04,35.34,34.29,13.65,1.72,M
02/09/2021,34.22,34.98,35.76,34.22,11.18,-1.89,M
01/09/2021,34.88,34.0,35.49,33.47,14.27,0.06,M
31/08/2021,34.86,36.57,36.57,34.69,15.04,-4.99,M
30/08/2021,36.69,37.48,37.67,36.57,9.12,-2.03,M
27/08/2021,37.45,36.8,37.73,36.8,9.4,2.43,M
26/08/2021,36.56,37.61,37.94,36.5,8.75,-3.02,M
25/08/2021,37.7,38.5,38.68,37.57,9.27,-2.31,M
24/08/2021,38.59,38.0,38.96,37.94,12.49,5.35,M
23/08/2021,36.63,37.2,37.43,36.63,7.22,-0.84,M
20/08/2021,36.94,36.99,37.9,36.7,10.91,-0.16,M
19/08/2021,37.0,37.4,37.93,36.6,17.81,-5.78,M
18/08/2021,39.27,39.55,40.09,38.85,14.58,-2.31,M
17/08/2021,40.2,41.06,41.49,39.62,12.43,-3.02,M
16/08/2021,41.45,42.18,42.18,40.99,11.28,-2.72,M
13/08/2021,42.61,43.77,43.82,42.3,8.9,-2.32,M
12/08/2021,43.62,43.91,44.4,43.57,7.93,-1.09,M
11/08/2021,44.1,44.07,44.93,43.93,11.6,0.71,M
10/08/2021,43.79,43.36,44.42,43.22,11.87,1.06,M
09/08/2021,43.33,42.8,43.68,42.15,14.74,-0.21,M
06/08/2021,43.42,43.69,44.92,43.39,10.51,-0.48,M
05/08/2021,43.63,45.05,45.08,43.19,15.11,-3.96,M
04/08/2021,45.43,44.89,45.83,44.64,11.74,1.07,M
03/08/2021,44.95,44.84,45.4,44.16,12.16,0.25,M
02/08/2021,44.84,46.69,46.69,44.75,12.81,-4.09,M
30/07/2021,46.75,47.2,47.64,46.38,14.27,-2.87,M
29/07/2021,48.13,45.83,48.54,45.65,24.62,5.62,M
28/07/2021,45.57,47.77,48.03,45.38,19.7,-2.79,M
27/07/2021,46.88,47.16,47.27,46.15,9.34,-1.01,M
26/07/2021,47.36,46.02,47.91,46.0,12.09,3.54,M
23/07/2021,45.74,45.89,46.46,45.17,6.79,-0.35,M
22/07/2021,45.9,44.98,46.15,44.93,8.93,0.75,M
21/07/2021,45.56,44.49,45.58,44.01,9.25,2.22,M
20/07/2021,44.57,44.25,44.73,43.36,7.21,1.07,M
19/07/2021,44.1,43.86,44.1,42.41,17.35,-1.34,M
16/07/2021,44.7,46.5,46.72,44.53,11.26,-3.46,M
15/07/2021,46.3,45.65,46.94,45.57,9.74,1.98,M
14/07/2021,45.4,47.62,47.65,45.05,16.62,-3.98,M
13/07/2021,47.28,46.61,47.69,46.34,10.79,1.0,M
12/07/2021,46.81,44.79,46.91,44.53,17.82,6.17,M
08/07/2021,44.09,44.7,44.9,43.71,17.36,-4.42,M
07/07/2021,46.13,45.4,46.28,45.13,11.96,3.45,M
06/07/2021,44.59,45.51,45.65,43.97,7.73,-2.13,M
05/07/2021,45.56,45.55,46.21,45.36,6.34,1.09,M
02/07/2021,45.07,43.8,45.13,43.53,7.82,3.78,M
01/07/2021,43.43,44.19,44.79,43.05,7.24,-1.27,M
30/06/2021,43.99,44.42,45.23,43.36,8.57,-1.57,M
29/06/2021,44.69,42.99,44.85,42.91,9.45,4.1,M
28/06/2021,42.93,43.75,44.1,42.31,8.16,-1.42,M
25/06/2021,43.55,45.1,45.54,43.24,16.06,-2.35,M
24/06/2021,44.6,43.79,44.94,43.2,7.47,3.31,M
23/06/2021,43.17,42.91,43.54,42.58,6.96,1.55,M
22/06/2021,42.51,42.46,42.83,42.15,6.2,1.12,M
21/06/2021,42.04,40.5,42.26,40.17,7.58,1.55,M
18/06/2021,41.4,40.44,41.62,40.3,11.38,2.73,M
17/06/2021,40.3,42.2,42.39,40.0,16.16,-4.95,M
16/06/2021,42.4,44.64,44.64,42.0,19.23,-4.72,M
15/06/2021,44.5,45.34,45.5,43.75,8.04,-1.37,M
14/06/2021,45.12,45.9,46.18,44.91,7.61,-0.84,M
11/06/2021,45.5,45.28,46.0,45.05,7.16,1.49,M
10/06/2021,44.83,45.31,45.37,44.48,6.16,0.11,M
09/06/2021,44.78,44.21,45.1,43.15,10.37,2.24,M
08/06/2021,43.8,44.47,44.74,43.75,8.38,-1.06,M
07/06/2021,44.27,45.41,45.49,44.07,10.47,-2.96,M
04/06/2021,45.62,46.63,46.63,45.16,8.23,-2.08,M
02/06/2021,46.59,47.71,47.98,46.33,9.82,-1.73,M
01/06/2021,47.41,45.93,47.55,45.9,15.69,5.54,M
31/05/2021,44.92,45.2,45.57,44.4,7.16,0.63,M
28/05/2021,44.64,45.5,45.68,43.9,9.64,-0.71,M
27/05/2021,44.96,45.33,45.9,44.96,12.3,0.09,M
26/05/2021,44.92,43.52,44.92,43.39,10.9,1.74,M
25/05/2021,44.15,45.45,45.84,43.65,10.73,-2.39,M
24/05/2021,45.23,45.19,45.42,44.21,11.83,-1.03,M
21/05/2021,45.7,47.02,47.37,45.41,11.43,-3.18,M
20/05/2021,47.2,46.75,47.75,46.66,8.43,-0.11,M
19/05/2021,47.25,48.2,48.25,46.42,15.22,-3.98,M
18/05/2021,49.21,49.31,49.77,48.65,11.97,1.65,M
17/05/2021,48.41,47.56,48.48,47.05,7.73,3.0,M
14/05/2021,47.0,47.57,47.75,45.85,10.18,-1.94,M
13/05/2021,47.93,48.76,48.9,47.22,11.94,-3.01,M
12/05/2021,49.42,51.24,52.34,49.25,14.23,-4.54,M
11/05/2021,51.77,50.12,51.87,49.22,15.5,2.03,M
10/05/2021,50.74,52.21,53.9,50.74,14.92,0.22,M
07/05/2021,50.63,51.11,51.42,49.62,10.86,0.26,M
06/05/2021,50.5,51.19,51.37,49.06,11.79,1.63,M
05/05/2021,49.69,48.74,50.14,48.74,9.53,3.22,M
04/05/2021,48.14,47.52,49.25,46.81,11.71,0.67,M
03/05/2021,47.82,49.0,49.0,46.93,11.61,-1.48,M
30/04/2021,48.54,48.96,49.45,48.13,11.72,-3.39,M
29/04/2021,50.24,51.6,52.55,49.35,13.53,-2.2,M
28/04/2021,51.37,51.09,51.77,50.7,7.18,0.75,M
27/04/2021,50.99,51.8,51.84,50.05,11.39,-1.03,M
26/04/2021,51.52,49.85,51.52,49.62,10.68,5.08,M
23/04/2021,49.03,49.62,50.09,47.41,17.11,0.64,M
22/04/2021,48.72,47.14,49.85,46.7,16.07,4.41,M
20/04/2021,46.66,47.95,48.22,46.06,9.43,-1.62,M
19/04/2021,47.43,48.08,48.54,47.15,9.12,-1.19,M
16/04/2021,48.0,47.08,48.0,45.69,12.76,2.02,M
15/04/2021,47.05,47.8,48.16,46.61,12.71,1.16,M
14/04/2021,46.51,45.44,47.2,45.28,15.65,3.17,M
13/04/2021,45.08,43.96,45.3,43.45,13.47,2.73,M
12/04/2021,43.88,43.55,44.23,42.91,15.98,1.83,M
09/04/2021,43.09,40.81,43.44,40.61,18.43,4.84,M
08/04/2021,41.1,39.99,41.26,39.86,14.32,3.03,M
07/04/2021,39.89,39.33,40.0,38.9,11.6,1.84,M
06/04/2021,39.17,37.94,39.74,37.89,14.72,3.62,M
05/04/2021,37.8,37.33,38.08,37.25,8.48,2.72,M
01/04/2021,36.8,38.28,38.37,36.44,10.88,-2.9,M
31/03/2021,37.9,36.94,37.93,36.64,13.32,2.79,M
30/03/2021,36.87,36.48,36.99,35.77,9.95,1.21,M
29/03/2021,36.43,35.3,36.53,35.3,15.58,3.67,M
26/03/2021,35.14,34.12,35.2,33.83,16.33,4.99,M
25/03/2021,33.47,33.62,34.17,32.85,17.72,0.51,M
24/03/2021,33.3,34.09,34.55,33.14,16.32,-0.6,M
23/03/2021,33.5,35.17,35.42,33.21,13.62,-4.29,M
22/03/2021,35.0,34.95,35.22,33.86,15.06,-1.71,M
19/03/2021,35.61,37.18,37.45,35.42,16.48,-3.86,M
18/03/2021,37.04,37.36,38.7,36.56,14.25,-1.59,M
17/03/2021,37.64,37.11,37.68,36.84,11.44,1.87,M
16/03/2021,36.95,36.52,37.49,36.5,15.5,3.13,M
