Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,12.6,12.18,12.78,11.94,15.58,-3.52,M
23/02/2022,13.06,14.1,14.27,13.03,14.01,-6.31,M
22/02/2022,13.94,13.33,14.05,13.33,16.71,4.89,M
21/02/2022,13.29,14.15,14.26,13.26,8.92,-5.61,M
18/02/2022,14.08,14.9,14.94,14.07,12.11,-4.09,M
17/02/2022,14.68,15.1,15.28,14.64,14.36,-2.91,M
16/02/2022,15.12,14.36,15.2,14.03,19.24,5.96,M
15/02/2022,14.27,13.69,14.27,13.53,12.62,6.89,M
14/02/2022,13.35,13.1,13.85,13.06,14.5,1.14,M
11/02/2022,13.2,13.9,14.37,13.05,15.2,-4.69,M
10/02/2022,13.85,13.54,13.98,13.22,13.62,2.44,M
09/02/2022,13.52,13.11,13.58,13.01,9.09,3.52,M
08/02/2022,13.06,12.72,13.26,12.49,6.98,1.95,M
07/02/2022,12.81,13.01,13.2,12.65,6.84,-1.54,M
04/02/2022,13.01,13.64,13.68,12.93,8.17,-5.11,M
03/02/2022,13.71,13.48,13.98,13.16,8.18,2.08,M
02/02/2022,13.43,14.35,14.54,13.35,9.2,-5.95,M
01/02/2022,14.28,14.4,14.67,14.12,7.49,-1.24,M
31/01/2022,14.46,13.6,14.47,13.53,8.55,5.93,M
28/01/2022,13.65,13.78,13.84,13.2,7.54,-1.3,M
27/01/2022,13.83,13.67,14.04,13.56,11.29,2.07,M
26/01/2022,13.55,13.2,14.05,13.07,12.83,4.88,M
25/01/2022,12.92,12.6,13.3,12.43,9.22,1.73,M
24/01/2022,12.7,12.72,12.9,12.41,10.34,-0.47,M
21/01/2022,12.76,12.56,12.93,12.3,13.85,-0.08,M
20/01/2022,12.77,11.71,13.0,11.65,17.62,10.47,M
19/01/2022,11.56,11.22,12.02,11.16,13.3,4.24,M
18/01/2022,11.09,11.51,11.53,11.03,9.9,-4.23,M
17/01/2022,11.58,11.66,11.89,11.37,6.66,-1.11,M
14/01/2022,11.71,11.91,12.09,11.42,11.14,-2.01,M
