Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,8.23,8.2,8.3,8.03,2.19,-2.02,M
23/02/2022,8.4,8.46,8.6,8.4,1.03,-0.71,M
22/02/2022,8.46,8.44,8.6,8.41,1.17,0.24,M
21/02/2022,8.44,8.64,8.68,8.4,1.15,-2.88,M
18/02/2022,8.69,8.81,8.81,8.62,1.93,-1.25,M
17/02/2022,8.8,9.17,9.17,8.8,4.21,-4.03,M
16/02/2022,9.17,9.45,9.54,9.17,2.83,-2.24,M
15/02/2022,9.38,9.4,9.48,9.31,1.63,0.0,M
14/02/2022,9.38,9.29,9.48,9.19,2.98,1.19,M
11/02/2022,9.27,9.08,9.55,9.04,4.76,2.09,M
10/02/2022,9.08,9.05,9.27,8.97,2.53,0.22,M
09/02/2022,9.06,8.91,9.12,8.91,1.37,1.46,M
08/02/2022,8.93,8.81,9.07,8.81,1.9,-0.33,M
07/02/2022,8.96,8.94,9.04,8.88,1.81,0.67,M
04/02/2022,8.9,8.84,8.99,8.77,2.76,0.68,M
03/02/2022,8.84,8.85,8.99,8.81,2.67,0.23,M
02/02/2022,8.82,9.07,9.12,8.81,1.96,-2.76,M
01/02/2022,9.07,8.99,9.12,8.88,2.75,0.78,M
31/01/2022,9.0,8.48,9.0,8.48,5.31,6.26,M
28/01/2022,8.47,8.12,8.56,8.06,4.17,3.8,M
27/01/2022,8.16,8.07,8.33,8.05,5.25,0.99,M
26/01/2022,8.08,8.15,8.2,8.02,5.09,0.0,M
25/01/2022,8.08,8.12,8.17,8.02,3.24,-1.7,M
24/01/2022,8.22,8.28,8.28,7.96,2.51,-1.08,M
21/01/2022,8.31,8.15,8.57,8.08,7.21,1.34,M
20/01/2022,8.2,7.9,8.25,7.88,8.17,3.8,M
19/01/2022,7.9,7.92,7.94,7.85,2.78,0.25,M
18/01/2022,7.88,8.1,8.13,7.82,3.71,-3.43,M
17/01/2022,8.16,8.14,8.23,8.07,805.4,-0.37,K
14/01/2022,8.19,8.03,8.19,8.02,1.72,1.24,M
13/01/2022,8.09,7.93,8.12,7.9,1.94,2.02,M
12/01/2022,7.93,7.85,7.98,7.85,704.1,0.76,K
11/01/2022,7.87,7.91,7.95,7.83,1.27,-0.51,M
10/01/2022,7.91,7.99,7.99,7.78,2.69,-1.0,M
07/01/2022,7.99,7.89,7.99,7.81,1.49,1.14,M
06/01/2022,7.9,7.86,7.92,7.7,1.92,0.64,M
05/01/2022,7.85,8.01,8.01,7.83,2.46,-2.0,M
04/01/2022,8.01,8.11,8.15,7.99,2.77,-0.74,M
03/01/2022,8.07,8.36,8.39,8.02,2.73,-3.47,M
30/12/2021,8.36,8.06,8.43,7.97,3.24,3.47,M
29/12/2021,8.08,8.15,8.2,8.02,1.21,-0.86,M
28/12/2021,8.15,8.09,8.22,7.96,2.05,0.37,M
27/12/2021,8.12,8.08,8.2,8.03,1.26,0.5,M
23/12/2021,8.08,8.25,8.25,8.06,998.6,-1.1,K
22/12/2021,8.17,8.2,8.23,8.09,1.46,-0.37,M
21/12/2021,8.2,8.22,8.29,8.06,1.71,-0.24,M
20/12/2021,8.22,8.3,8.3,8.07,2.51,-0.96,M
17/12/2021,8.3,8.36,8.46,8.18,18.5,-2.35,M
16/12/2021,8.5,8.5,8.57,8.33,3.05,0.47,M
15/12/2021,8.46,8.42,8.52,8.22,2.54,0.83,M
14/12/2021,8.39,8.76,8.9,8.38,3.15,-4.22,M
13/12/2021,8.76,8.81,9.05,8.71,1.82,-0.57,M
10/12/2021,8.81,8.81,8.85,8.65,1.66,0.57,M
09/12/2021,8.76,8.95,8.97,8.65,1.78,-2.01,M
08/12/2021,8.94,8.95,9.11,8.87,2.75,-0.56,M
07/12/2021,8.99,8.9,9.04,8.83,2.57,1.58,M
06/12/2021,8.85,8.48,8.92,8.41,3.15,4.86,M
03/12/2021,8.44,8.26,8.71,8.26,2.26,1.81,M
02/12/2021,8.29,8.18,8.44,8.18,3.29,2.35,M
01/12/2021,8.1,8.3,8.41,8.05,6.07,-1.46,M
30/11/2021,8.22,8.73,8.73,8.1,8.25,-5.84,M
29/11/2021,8.73,8.85,8.93,8.68,2.09,0.11,M
26/11/2021,8.72,8.76,8.92,8.64,1.98,-2.24,M
25/11/2021,8.92,8.69,9.0,8.69,1.91,2.76,M
24/11/2021,8.68,8.85,8.91,8.6,3.62,-1.92,M
23/11/2021,8.85,9.37,9.37,8.82,4.93,-5.14,M
22/11/2021,9.33,9.45,9.63,9.24,4.36,-1.37,M
19/11/2021,9.46,9.29,9.47,9.2,2.5,1.72,M
18/11/2021,9.3,9.35,9.38,9.04,2.57,0.11,M
17/11/2021,9.29,9.71,9.71,9.12,3.85,-4.52,M
16/11/2021,9.73,9.4,9.75,9.23,4.82,4.06,M
12/11/2021,9.35,9.4,9.6,9.3,2.99,-0.95,M
11/11/2021,9.44,9.06,9.52,9.05,4.16,3.96,M
10/11/2021,9.08,9.05,9.27,9.03,2.71,0.22,M
09/11/2021,9.06,9.02,9.16,8.99,2.12,0.67,M
08/11/2021,9.0,9.12,9.2,8.93,2.46,-1.32,M
05/11/2021,9.12,8.88,9.15,8.7,3.96,0.66,M
04/11/2021,9.06,9.07,9.28,8.99,4.35,0.0,M
03/11/2021,9.06,8.97,9.16,8.81,3.33,1.0,M
01/11/2021,8.97,8.89,9.03,8.67,2.33,2.51,M
29/10/2021,8.75,8.81,8.89,8.64,3.71,-0.34,M
28/10/2021,8.78,8.9,8.99,8.75,2.42,-1.68,M
27/10/2021,8.93,9.07,9.18,8.91,3.04,-1.0,M
26/10/2021,9.02,9.35,9.35,8.86,6.81,-4.04,M
25/10/2021,9.4,9.17,9.56,9.07,4.56,3.98,M
22/10/2021,9.04,9.13,9.19,8.56,5.79,-1.09,M
21/10/2021,9.14,9.25,9.45,8.97,4.72,-4.09,M
20/10/2021,9.53,9.66,9.77,9.5,3.94,-1.35,M
19/10/2021,9.66,9.8,9.87,9.52,4.43,-2.42,M
18/10/2021,9.9,9.64,9.93,9.16,6.96,2.17,M
15/10/2021,9.69,8.7,9.7,8.63,13.9,12.15,M
14/10/2021,8.64,8.6,8.83,8.49,4.48,1.65,M
13/10/2021,8.5,8.07,8.62,8.07,8.23,5.07,M
11/10/2021,8.09,7.89,8.38,7.85,4.36,2.53,M
08/10/2021,7.89,7.78,7.97,7.78,2.93,1.54,M
07/10/2021,7.77,8.05,8.11,7.73,2.35,-2.88,M
06/10/2021,8.0,7.87,8.0,7.67,4.05,0.63,M
05/10/2021,7.95,8.12,8.16,7.95,2.82,-1.36,M
04/10/2021,8.06,8.44,8.46,8.06,2.64,-4.5,M
01/10/2021,8.44,8.23,8.52,8.14,3.02,2.06,M
30/09/2021,8.27,8.39,8.45,8.19,3.26,-0.72,M
