Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,15.4,14.93,15.66,14.43,7.4,-0.26,M
23/02/2022,15.44,15.87,16.19,15.35,5.72,-1.91,M
22/02/2022,15.74,15.93,16.27,15.65,5.8,0.06,M
21/02/2022,15.73,16.24,16.33,15.59,5.12,-3.14,M
18/02/2022,16.24,16.32,16.58,16.15,5.21,0.12,M
17/02/2022,16.22,16.63,16.81,16.12,4.73,-2.52,M
16/02/2022,16.64,16.76,16.84,16.28,6.41,0.24,M
15/02/2022,16.6,16.14,16.67,16.07,7.9,4.27,M
14/02/2022,15.92,15.87,16.28,15.67,5.6,0.38,M
11/02/2022,15.86,15.9,16.4,15.62,6.61,0.57,M
10/02/2022,15.77,15.9,16.12,15.56,4.84,-0.5,M
09/02/2022,15.85,15.89,16.35,15.72,4.45,-0.13,M
08/02/2022,15.87,15.83,16.1,15.51,4.99,-0.06,M
07/02/2022,15.88,15.97,16.04,15.65,4.32,-0.63,M
04/02/2022,15.98,16.83,16.91,15.86,8.13,-4.99,M
03/02/2022,16.82,16.92,17.34,16.64,4.75,0.0,M
02/02/2022,16.82,17.27,17.5,16.73,6.14,-2.38,M
01/02/2022,17.23,17.47,17.66,17.14,5.65,-1.43,M
31/01/2022,17.48,17.15,17.61,17.04,7.33,1.86,M
28/01/2022,17.16,17.24,17.44,16.95,9.91,-1.1,M
27/01/2022,17.35,17.15,17.43,17.11,6.88,2.0,M
26/01/2022,17.01,16.48,17.57,16.48,15.41,4.16,M
25/01/2022,16.33,15.36,16.51,15.3,9.76,5.42,M
24/01/2022,15.49,15.62,15.88,15.18,8.38,-1.46,M
21/01/2022,15.72,15.14,15.78,14.97,6.62,3.22,M
20/01/2022,15.23,14.75,15.37,14.71,10.38,3.25,M
19/01/2022,14.75,13.86,14.84,13.85,10.76,7.59,M
18/01/2022,13.71,14.01,14.24,13.69,6.47,-3.04,M
17/01/2022,14.14,14.23,14.48,13.65,6.05,-0.35,M
14/01/2022,14.19,14.07,14.32,13.82,9.86,0.0,M
13/01/2022,14.19,14.12,14.32,13.84,5.18,-0.07,M
12/01/2022,14.2,13.83,14.28,13.73,6.32,2.97,M
11/01/2022,13.79,13.65,13.94,13.59,4.34,0.8,M
10/01/2022,13.68,13.72,13.97,13.56,6.05,-2.01,M
07/01/2022,13.96,13.72,14.27,13.39,8.14,1.38,M
06/01/2022,13.77,13.92,14.1,13.6,9.1,-0.86,M
05/01/2022,13.89,14.22,14.49,13.68,7.78,-2.59,M
04/01/2022,14.26,14.7,14.71,14.12,10.2,-1.79,M
03/01/2022,14.52,15.92,15.92,14.52,10.56,-7.98,M
30/12/2021,15.78,15.48,15.96,15.4,7.77,2.4,M
29/12/2021,15.41,15.39,15.65,14.99,7.77,0.2,M
28/12/2021,15.38,15.36,15.62,15.27,4.44,0.07,M
27/12/2021,15.37,15.23,15.85,15.18,5.2,1.72,M
23/12/2021,15.11,15.19,15.28,14.77,3.06,-0.2,M
22/12/2021,15.14,15.21,15.45,14.97,2.77,-0.2,M
21/12/2021,15.17,15.44,15.45,14.8,4.07,-1.04,M
20/12/2021,15.33,15.2,15.5,15.01,3.85,-1.16,M
17/12/2021,15.51,15.26,15.78,15.14,6.36,0.06,M
16/12/2021,15.5,15.86,16.09,15.36,5.67,-0.39,M
15/12/2021,15.56,15.5,15.69,15.04,6.45,1.3,M
14/12/2021,15.36,15.95,16.08,15.12,8.91,-2.97,M
13/12/2021,15.83,16.41,16.45,15.82,5.94,-3.59,M
10/12/2021,16.42,15.82,16.66,15.82,13.61,5.87,M
09/12/2021,15.51,15.67,15.88,15.33,6.25,-3.0,M
08/12/2021,15.99,15.16,16.21,15.07,10.59,5.27,M
07/12/2021,15.19,15.43,15.84,15.11,6.39,-1.36,M
06/12/2021,15.4,15.07,15.75,14.89,10.01,3.15,M
03/12/2021,14.93,13.89,15.14,13.89,14.8,7.41,M
02/12/2021,13.9,13.49,13.98,13.44,7.65,5.54,M
01/12/2021,13.17,13.76,14.21,13.16,11.69,-3.16,M
30/11/2021,13.6,13.9,14.05,13.2,14.18,-3.13,M
29/11/2021,14.04,14.79,14.81,14.01,12.54,-3.7,M
26/11/2021,14.58,14.8,14.85,14.18,6.92,-4.14,M
25/11/2021,15.21,14.56,15.32,14.55,6.36,4.9,M
24/11/2021,14.5,14.33,14.73,14.02,6.11,0.55,M
23/11/2021,14.42,14.59,14.59,14.01,5.16,0.14,M
22/11/2021,14.4,15.1,15.34,14.38,5.37,-4.76,M
19/11/2021,15.12,14.52,15.34,14.52,5.96,4.06,M
18/11/2021,14.53,14.56,15.16,14.27,8.47,-0.41,M
17/11/2021,14.59,15.15,15.37,14.39,8.64,-2.6,M
16/11/2021,14.98,16.03,16.1,14.96,8.75,-5.85,M
12/11/2021,15.91,16.34,16.87,15.78,5.65,-3.98,M
11/11/2021,16.57,16.34,17.03,16.24,7.73,2.41,M
10/11/2021,16.18,15.64,16.67,15.47,10.23,3.65,M
09/11/2021,15.61,14.98,15.9,14.92,6.29,4.55,M
08/11/2021,14.93,15.54,15.56,14.85,6.01,-4.36,M
05/11/2021,15.61,14.91,15.73,14.91,7.06,5.62,M
04/11/2021,14.78,14.97,15.28,14.58,4.77,-2.18,M
03/11/2021,15.11,14.44,15.49,14.35,11.07,3.99,M
01/11/2021,14.53,14.3,14.82,14.17,4.35,3.12,M
29/10/2021,14.09,14.6,14.64,14.02,7.4,-2.15,M
28/10/2021,14.4,14.92,15.32,14.32,8.01,-5.26,M
27/10/2021,15.2,14.7,15.52,14.7,10.25,4.04,M
26/10/2021,14.61,15.19,15.25,14.36,10.64,-5.07,M
25/10/2021,15.39,15.28,15.7,14.92,9.31,1.38,M
22/10/2021,15.18,15.3,15.48,14.3,18.57,-2.63,M
21/10/2021,15.59,16.3,16.5,15.21,18.64,-6.2,M
20/10/2021,16.62,17.07,17.2,16.58,7.54,-1.66,M
19/10/2021,16.9,17.98,17.99,16.75,13.83,-7.19,M
18/10/2021,18.21,17.91,18.39,17.52,5.49,0.17,M
15/10/2021,18.18,17.78,18.3,17.71,7.9,2.25,M
14/10/2021,17.78,18.44,18.58,17.55,8.08,-2.25,M
13/10/2021,18.19,17.76,18.33,17.67,8.33,2.65,M
11/10/2021,17.72,17.9,18.14,17.61,5.32,-1.06,M
08/10/2021,17.91,17.46,18.24,17.44,13.45,4.31,M
07/10/2021,17.17,17.6,17.9,17.13,7.7,-1.83,M
06/10/2021,17.49,17.11,17.52,16.88,11.86,-0.11,M
05/10/2021,17.51,18.12,18.13,17.48,5.8,-2.45,M
04/10/2021,17.95,18.54,18.61,17.79,4.06,-3.8,M
01/10/2021,18.66,18.01,18.94,17.9,7.34,3.67,M
30/09/2021,18.0,17.89,18.63,17.8,7.88,1.12,M
29/09/2021,17.8,18.24,18.44,17.77,6.85,-1.33,M
28/09/2021,18.04,19.04,19.04,17.86,12.3,-5.89,M
27/09/2021,19.17,19.5,19.5,18.75,4.94,-1.34,M
24/09/2021,19.43,19.29,19.64,18.83,6.28,0.0,M
23/09/2021,19.43,20.57,20.57,19.28,11.37,-4.33,M
22/09/2021,20.31,20.32,20.59,20.02,7.5,1.8,M
21/09/2021,19.95,19.53,20.19,19.27,6.44,2.89,M
20/09/2021,19.39,19.17,19.5,18.9,4.5,-1.42,M
17/09/2021,19.67,19.51,19.8,19.23,5.52,-0.1,M
16/09/2021,19.69,19.44,19.98,19.29,5.67,0.2,M
15/09/2021,19.65,19.76,19.91,19.2,6.58,-0.66,M
14/09/2021,19.78,20.0,20.47,19.64,9.13,-0.35,M
13/09/2021,19.85,19.36,20.12,19.19,7.26,4.92,M
10/09/2021,18.92,18.98,19.57,18.84,16.26,2.1,M
09/09/2021,18.53,18.2,18.8,17.71,10.23,1.87,M
08/09/2021,18.19,19.36,19.36,18.15,9.05,-6.29,M
06/09/2021,19.41,18.89,19.41,18.82,2.8,2.75,M
03/09/2021,18.89,19.45,19.52,18.88,5.99,-2.02,M
02/09/2021,19.28,19.96,20.03,19.19,6.21,-3.36,M
01/09/2021,19.95,20.41,20.53,19.95,5.19,-1.34,M
31/08/2021,20.22,20.5,21.09,20.01,8.92,-1.12,M
30/08/2021,20.45,21.28,21.28,20.35,5.96,-4.04,M
27/08/2021,21.31,19.98,21.31,19.98,7.47,6.87,M
26/08/2021,19.94,21.05,21.06,19.94,9.48,-5.94,M
25/08/2021,21.2,20.19,21.4,20.11,20.95,3.87,M
24/08/2021,20.41,18.55,20.51,18.43,19.03,12.33,M
23/08/2021,18.17,18.59,18.8,18.06,5.21,-2.0,M
20/08/2021,18.54,18.2,18.84,18.15,6.79,0.76,M
19/08/2021,18.4,17.97,18.51,17.9,6.17,0.49,M
18/08/2021,18.31,18.46,18.77,18.11,12.11,-0.05,M
17/08/2021,18.32,18.96,18.96,18.05,7.26,-3.93,M
16/08/2021,19.07,18.92,19.29,18.49,8.16,0.16,M
13/08/2021,19.04,19.56,20.06,18.97,8.24,-1.5,M
12/08/2021,19.33,19.65,19.72,19.31,4.51,-1.88,M
11/08/2021,19.7,20.06,20.12,19.57,5.69,-1.75,M
10/08/2021,20.05,20.41,20.48,19.96,5.13,-1.47,M
09/08/2021,20.35,20.05,20.61,19.95,6.17,1.34,M
06/08/2021,20.08,19.67,20.23,19.6,5.46,2.29,M
05/08/2021,19.63,20.32,20.48,19.57,7.15,-2.92,M
04/08/2021,20.22,20.51,20.81,20.1,4.7,-1.51,M
03/08/2021,20.53,20.9,20.9,19.85,8.91,-1.77,M
02/08/2021,20.9,21.15,21.49,20.87,5.38,0.24,M
30/07/2021,20.85,21.15,21.29,20.71,4.44,-2.2,M
29/07/2021,21.32,21.9,22.11,21.26,4.87,-1.93,M
28/07/2021,21.74,21.53,21.82,21.23,4.04,1.59,M
27/07/2021,21.4,21.5,21.52,20.99,7.16,-0.74,M
26/07/2021,21.56,21.86,21.96,21.4,4.85,-1.55,M
23/07/2021,21.9,22.34,22.44,21.68,6.34,-2.19,M
22/07/2021,22.39,22.36,22.58,22.22,3.47,0.31,M
21/07/2021,22.32,22.49,22.54,22.06,4.46,-0.53,M
20/07/2021,22.44,22.63,22.63,22.19,3.53,-0.88,M
19/07/2021,22.64,22.35,22.67,22.06,4.68,-0.7,M
16/07/2021,22.8,23.36,23.52,22.67,4.69,-1.68,M
15/07/2021,23.19,23.56,23.72,22.96,4.97,-1.65,M
14/07/2021,23.58,23.67,23.91,23.44,5.17,0.86,M
13/07/2021,23.38,23.75,23.75,23.17,7.04,-0.34,M
12/07/2021,23.46,22.92,23.69,22.79,6.14,3.39,M
08/07/2021,22.69,22.8,22.98,22.46,11.08,-2.32,M
07/07/2021,23.23,23.2,23.52,22.84,5.29,1.26,M
06/07/2021,22.94,23.2,23.2,22.65,4.54,-1.38,M
05/07/2021,23.26,23.29,23.43,23.05,2.7,-0.68,M
02/07/2021,23.42,22.99,23.42,22.82,4.55,2.9,M
01/07/2021,22.76,23.45,23.51,22.71,7.11,-2.49,M
30/06/2021,23.34,22.83,23.66,22.71,7.33,1.61,M
29/06/2021,22.97,22.62,23.1,22.18,7.38,1.19,M
28/06/2021,22.7,22.93,23.29,22.52,6.09,-0.74,M
25/06/2021,22.87,23.71,23.72,22.77,5.72,-2.8,M
24/06/2021,23.53,23.6,24.15,23.5,7.54,0.9,M
23/06/2021,23.32,23.7,23.7,23.1,6.93,-1.73,M
22/06/2021,23.73,23.86,23.86,23.52,4.15,-1.49,M
21/06/2021,24.09,24.32,24.32,23.76,3.82,-0.33,M
18/06/2021,24.17,24.07,24.33,23.97,3.64,0.08,M
17/06/2021,24.15,24.21,24.46,23.8,6.1,-0.82,M
16/06/2021,24.35,24.63,24.71,24.12,9.07,-1.3,M
15/06/2021,24.67,24.83,24.83,24.44,2.99,-0.28,M
14/06/2021,24.74,24.67,25.03,24.48,5.9,0.86,M
11/06/2021,24.53,24.81,24.89,24.16,6.14,-1.68,M
10/06/2021,24.95,25.63,25.74,24.52,9.42,-2.42,M
09/06/2021,25.57,26.13,26.15,25.31,8.45,-2.33,M
08/06/2021,26.18,25.95,26.54,25.81,7.49,0.73,M
07/06/2021,25.99,26.2,26.33,25.88,6.64,-0.8,M
04/06/2021,26.2,25.95,26.33,25.77,7.31,1.16,M
02/06/2021,25.9,25.41,26.2,25.19,12.36,1.69,M
01/06/2021,25.47,24.1,25.67,24.02,13.53,6.57,M
31/05/2021,23.9,23.63,24.07,23.49,3.43,0.84,M
28/05/2021,23.7,23.34,23.83,23.22,5.13,1.89,M
27/05/2021,23.26,23.23,23.37,22.9,5.23,-0.09,M
26/05/2021,23.28,22.83,23.32,22.81,9.87,2.83,M
25/05/2021,22.64,22.39,22.87,22.28,7.34,2.12,M
24/05/2021,22.17,22.05,22.24,21.57,8.98,1.0,M
21/05/2021,21.95,23.27,23.28,21.84,16.99,-5.39,M
20/05/2021,23.2,23.23,23.45,23.02,5.2,0.43,M
19/05/2021,23.1,23.81,24.4,23.06,7.95,-4.03,M
18/05/2021,24.07,24.32,24.39,23.82,3.66,-1.35,M
17/05/2021,24.4,23.71,24.49,23.64,4.03,2.87,M
14/05/2021,23.72,23.66,24.4,22.91,11.1,1.72,M
13/05/2021,23.32,22.88,23.45,22.73,4.31,2.6,M
12/05/2021,22.73,23.18,23.3,22.56,6.0,-2.49,M
11/05/2021,23.31,23.39,23.72,23.15,5.7,-1.52,M
10/05/2021,23.67,24.01,24.08,23.49,3.81,-1.82,M
07/05/2021,24.11,23.67,24.18,23.67,3.59,2.12,M
06/05/2021,23.61,23.32,23.86,23.29,3.91,1.29,M
05/05/2021,23.31,23.44,23.88,23.08,7.83,0.04,M
04/05/2021,23.3,23.56,23.67,23.29,5.6,-0.89,M
03/05/2021,23.51,23.63,24.09,23.41,4.64,-0.08,M
30/04/2021,23.53,24.0,24.28,23.52,7.3,-2.28,M
