Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,24.79,23.97,24.92,22.5,1.17,4.73,M
23/02/2022,23.67,24.22,24.47,23.67,448.5,-1.91,K
22/02/2022,24.13,24.99,24.99,23.87,478.8,-2.51,K
21/02/2022,24.75,25.43,25.43,23.91,330.7,-2.44,K
18/02/2022,25.37,25.9,26.27,25.08,334.1,-1.74,K
17/02/2022,25.82,25.44,26.5,25.18,266.0,-0.27,K
16/02/2022,25.89,26.24,26.46,25.5,2.01,-1.33,M
15/02/2022,26.24,25.3,26.35,25.3,840.7,3.92,K
14/02/2022,25.25,25.8,26.22,24.91,440.0,-1.9,K
11/02/2022,25.74,26.3,26.51,25.45,486.3,-1.57,K
10/02/2022,26.15,27.4,27.4,26.05,839.3,-2.61,K
09/02/2022,26.85,27.49,27.76,26.64,512.0,-1.61,K
08/02/2022,27.29,27.46,27.72,26.9,310.2,-0.8,K
07/02/2022,27.51,27.8,28.0,27.03,218.4,-1.01,K
04/02/2022,27.79,28.06,28.12,26.69,371.8,-0.93,K
03/02/2022,28.05,28.71,28.95,27.82,364.1,-1.92,K
02/02/2022,28.6,28.99,29.25,28.33,331.9,-0.66,K
01/02/2022,28.79,29.16,29.42,28.5,275.2,-1.2,K
31/01/2022,29.14,29.31,29.5,28.91,245.3,-0.55,K
28/01/2022,29.3,29.48,30.01,28.95,537.3,-0.61,K
27/01/2022,29.48,30.43,32.06,28.75,4.69,-2.38,M
26/01/2022,30.2,29.99,30.85,29.8,465.3,1.68,K
25/01/2022,29.7,30.24,30.29,29.06,353.1,-0.34,K
24/01/2022,29.8,30.0,30.26,29.29,291.0,-0.86,K
21/01/2022,30.06,30.35,30.8,29.74,339.0,-0.86,K
20/01/2022,30.32,30.61,30.61,29.88,483.4,1.0,K
19/01/2022,30.02,29.41,30.38,29.38,834.2,2.42,K
18/01/2022,29.31,29.99,30.3,29.22,178.2,-3.33,K
17/01/2022,30.32,30.17,30.76,29.84,203.9,0.5,K
14/01/2022,30.17,30.34,31.49,29.41,452.0,0.73,K
13/01/2022,29.95,30.97,31.24,29.7,351.5,-3.32,K
12/01/2022,30.98,29.99,31.03,29.68,152.9,5.16,K
11/01/2022,29.46,28.82,29.79,28.31,123.6,3.7,K
10/01/2022,28.41,29.76,29.76,28.05,199.8,-3.17,K
07/01/2022,29.34,30.11,30.8,29.03,195.2,-2.23,K
06/01/2022,30.01,30.21,30.9,29.78,289.5,-0.13,K
05/01/2022,30.05,30.86,31.3,29.85,157.3,-2.62,K
04/01/2022,30.86,33.5,33.75,30.76,188.2,-5.05,K
03/01/2022,32.5,34.19,34.19,31.64,227.9,-3.68,K
30/12/2021,33.74,32.0,33.74,31.64,409.6,5.44,K
29/12/2021,32.0,33.18,33.19,31.23,238.6,-2.74,K
28/12/2021,32.9,33.25,34.3,32.51,125.2,-1.38,K
27/12/2021,33.36,31.98,33.66,31.85,194.4,4.54,K
23/12/2021,31.91,32.44,32.61,31.73,140.7,-2.48,K
22/12/2021,32.72,34.15,34.18,32.0,250.4,-3.74,K
21/12/2021,33.99,34.61,34.75,33.86,325.3,-1.36,K
20/12/2021,34.46,33.12,34.49,32.88,490.8,3.95,K
17/12/2021,33.15,33.42,33.5,32.09,523.4,0.33,K
16/12/2021,33.04,33.61,34.57,32.92,384.7,-1.87,K
15/12/2021,33.67,33.9,33.96,32.58,361.2,-0.41,K
14/12/2021,33.81,34.32,34.9,33.75,293.3,-1.46,K
13/12/2021,34.31,34.1,35.94,34.1,225.0,-1.77,K
10/12/2021,34.93,35.28,35.28,34.33,125.5,1.36,K
09/12/2021,34.46,35.69,35.74,34.4,227.7,-3.85,K
08/12/2021,35.84,35.5,36.24,35.47,174.5,0.96,K
07/12/2021,35.5,34.05,35.81,34.05,156.9,3.2,K
06/12/2021,34.4,34.64,35.2,33.7,150.6,0.29,K
03/12/2021,34.3,34.73,35.16,33.87,175.5,0.62,K
02/12/2021,34.09,33.39,34.98,33.39,121.4,1.46,K
01/12/2021,33.6,34.86,35.4,33.42,205.1,-3.59,K
30/11/2021,34.85,33.45,34.93,33.45,311.5,2.89,K
29/11/2021,33.87,34.33,34.47,33.6,148.6,-0.21,K
26/11/2021,33.94,34.43,34.55,33.6,269.8,-3.88,K
25/11/2021,35.31,35.19,35.75,34.25,580.0,2.35,K
24/11/2021,34.5,34.99,35.4,34.5,138.7,-0.58,K
23/11/2021,34.7,34.21,34.79,33.38,273.9,1.76,K
22/11/2021,34.1,37.42,37.42,34.1,241.3,-8.82,K
19/11/2021,37.4,35.87,37.5,35.86,388.3,5.59,K
18/11/2021,35.42,36.17,36.64,34.99,151.1,-0.2,K
17/11/2021,35.49,36.51,37.25,35.49,211.2,-1.64,K
16/11/2021,36.08,37.38,37.4,35.87,238.2,-2.67,K
12/11/2021,37.07,38.0,38.82,36.99,327.5,-3.21,K
11/11/2021,38.3,36.51,38.65,36.51,129.8,2.49,K
10/11/2021,37.37,38.26,39.22,37.12,250.6,-1.74,K
09/11/2021,38.03,37.58,38.93,37.54,173.5,1.9,K
08/11/2021,37.32,37.7,38.79,37.16,262.1,-0.85,K
05/11/2021,37.64,38.7,39.22,36.93,242.5,-0.37,K
04/11/2021,37.78,38.3,38.85,37.35,161.4,-1.13,K
03/11/2021,38.21,35.48,38.5,35.48,190.3,5.93,K
01/11/2021,36.07,35.13,36.52,34.81,153.0,2.97,K
29/10/2021,35.03,35.76,35.76,34.33,166.2,-1.63,K
28/10/2021,35.61,35.61,36.88,35.0,305.1,-1.55,K
27/10/2021,36.17,37.44,37.44,35.21,391.7,-0.9,K
26/10/2021,36.5,37.89,37.89,35.6,213.8,-3.82,K
25/10/2021,37.95,37.5,39.22,37.15,458.8,1.85,K
22/10/2021,37.26,37.66,37.67,35.2,287.4,-0.37,K
21/10/2021,37.4,39.57,39.57,36.87,766.8,-7.17,K
20/10/2021,40.29,41.2,41.37,39.59,200.8,-1.3,K
19/10/2021,40.82,41.98,41.99,40.25,274.4,-2.81,K
18/10/2021,42.0,42.93,43.24,41.95,204.9,-2.62,K
15/10/2021,43.13,41.62,43.48,41.43,138.8,2.89,K
14/10/2021,41.92,42.18,42.8,41.52,189.6,-0.64,K
