Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,9.07,8.56,9.22,8.44,718.0,-2.16,K
23/02/2022,9.27,9.46,9.71,9.12,269.1,-2.42,K
22/02/2022,9.5,9.37,9.56,9.12,206.5,0.64,K
21/02/2022,9.44,9.58,9.58,9.1,334.1,-1.46,K
18/02/2022,9.58,9.9,9.98,9.57,273.8,-2.84,K
17/02/2022,9.86,9.92,10.24,9.72,467.4,0.72,K
16/02/2022,9.79,10.0,10.07,9.78,221.7,-0.71,K
15/02/2022,9.86,9.63,9.97,9.54,212.9,2.39,K
14/02/2022,9.63,9.79,9.79,9.38,278.3,-0.41,K
11/02/2022,9.67,9.78,10.1,9.51,469.1,-0.72,K
10/02/2022,9.74,9.8,9.88,9.5,148.4,1.78,K
09/02/2022,9.57,9.91,9.95,9.54,163.0,-3.33,K
08/02/2022,9.9,9.36,9.9,9.19,199.1,5.77,K
07/02/2022,9.36,9.5,9.7,9.31,304.4,-2.9,K
04/02/2022,9.64,9.7,9.7,9.16,264.4,0.73,K
03/02/2022,9.57,9.6,10.02,9.57,280.0,-0.31,K
02/02/2022,9.6,9.94,10.29,9.55,451.9,-2.54,K
01/02/2022,9.85,10.2,10.3,9.85,411.3,0.51,K
31/01/2022,9.8,9.47,9.98,9.36,355.8,3.48,K
28/01/2022,9.47,9.13,9.48,9.06,288.5,4.87,K
27/01/2022,9.03,9.23,9.49,9.03,403.7,-0.22,K
26/01/2022,9.05,9.35,9.7,9.05,345.7,-3.72,K
25/01/2022,9.4,8.81,9.4,8.71,447.0,4.33,K
24/01/2022,9.01,8.88,9.01,8.24,503.0,1.46,K
21/01/2022,8.88,9.02,9.04,8.66,353.1,1.02,K
20/01/2022,8.79,8.8,9.05,8.69,311.2,0.34,K
19/01/2022,8.76,8.32,8.81,8.31,294.6,4.16,K
18/01/2022,8.41,8.61,8.78,8.33,279.8,-3.22,K
17/01/2022,8.69,9.1,9.14,8.6,590.0,-4.19,K
14/01/2022,9.07,9.44,9.45,9.04,356.7,-3.92,K
13/01/2022,9.44,9.88,9.89,9.33,353.8,-5.22,K
12/01/2022,9.96,9.45,10.06,9.22,637.0,6.18,K
11/01/2022,9.38,8.81,9.41,8.69,416.2,4.8,K
10/01/2022,8.95,8.4,9.11,8.4,253.6,1.47,K
07/01/2022,8.82,9.07,9.22,8.67,799.6,-4.23,K
06/01/2022,9.21,9.15,9.45,8.8,367.1,1.21,K
05/01/2022,9.1,9.56,9.64,9.05,521.0,-5.21,K
04/01/2022,9.6,10.14,10.18,9.6,333.7,-4.0,K
03/01/2022,10.0,10.5,10.81,10.0,375.5,-3.94,K
30/12/2021,10.41,10.63,11.13,10.41,484.5,-1.42,K
29/12/2021,10.56,10.95,10.99,10.56,295.4,-3.47,K
28/12/2021,10.94,10.76,11.15,10.76,343.6,1.2,K
27/12/2021,10.81,11.1,11.15,10.72,270.6,-0.83,K
23/12/2021,10.9,10.6,11.05,10.44,393.4,4.21,K
22/12/2021,10.46,10.41,10.73,10.3,277.0,0.38,K
21/12/2021,10.42,10.8,11.28,10.42,453.3,-3.79,K
20/12/2021,10.83,10.53,10.83,10.23,561.1,-1.46,K
17/12/2021,10.99,10.39,10.99,10.1,867.2,4.57,K
16/12/2021,10.51,10.28,10.63,10.22,318.0,1.06,K
15/12/2021,10.4,10.11,10.4,9.81,357.9,2.97,K
14/12/2021,10.1,10.17,10.45,9.78,479.9,-0.69,K
13/12/2021,10.17,10.79,11.0,10.17,511.1,-4.51,K
10/12/2021,10.65,10.11,10.82,9.99,592.1,5.97,K
09/12/2021,10.05,9.82,10.24,9.63,655.0,1.01,K
08/12/2021,9.95,9.68,10.17,9.56,447.4,2.9,K
07/12/2021,9.67,10.31,10.37,9.59,562.6,-3.2,K
