Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,12.41,11.92,12.44,11.73,1.13,0.08,M
23/02/2022,12.4,12.45,12.79,12.27,1.05,-0.88,M
22/02/2022,12.51,12.52,12.8,12.2,1.39,0.48,M
21/02/2022,12.45,13.08,13.08,12.41,1.05,-4.74,M
18/02/2022,13.07,13.09,13.11,12.82,1.18,1.16,M
17/02/2022,12.92,13.3,13.46,12.89,1.02,-3.44,M
16/02/2022,13.38,13.56,13.65,13.28,1.17,-1.04,M
15/02/2022,13.52,13.14,13.54,13.07,1.68,3.36,M
14/02/2022,13.08,12.95,13.38,12.91,1.71,0.23,M
11/02/2022,13.05,13.18,13.52,12.89,2.46,-0.46,M
10/02/2022,13.11,13.02,13.25,12.87,598.5,0.31,K
09/02/2022,13.07,13.46,13.6,12.93,906.0,-0.98,K
08/02/2022,13.2,13.23,13.31,13.01,980.0,-1.05,K
07/02/2022,13.34,13.3,13.38,12.97,1.16,0.0,M
04/02/2022,13.34,13.88,13.9,13.15,2.21,-4.03,M
03/02/2022,13.9,13.73,14.25,13.62,2.53,1.53,M
02/02/2022,13.69,13.71,13.88,13.5,1.18,-0.07,M
01/02/2022,13.7,13.73,13.92,13.46,1.24,-0.36,M
31/01/2022,13.75,13.43,13.85,13.36,1.28,1.93,M
28/01/2022,13.49,13.33,13.57,13.17,1.26,0.82,M
27/01/2022,13.38,12.84,13.43,12.82,2.84,3.64,M
26/01/2022,12.91,12.59,13.14,12.43,2.06,2.95,M
25/01/2022,12.54,11.82,12.62,11.82,1.27,4.67,M
24/01/2022,11.98,12.04,12.08,11.72,1.38,-0.83,M
21/01/2022,12.08,11.93,12.24,11.84,1.32,0.08,M
20/01/2022,12.07,11.36,12.25,11.22,4.63,8.15,M
19/01/2022,11.16,10.58,11.26,10.54,2.59,6.29,M
18/01/2022,10.5,10.92,10.92,10.45,804.9,-3.23,K
17/01/2022,10.85,10.79,11.1,10.58,1.11,-0.28,M
14/01/2022,10.88,10.63,10.88,10.18,1.6,2.45,M
13/01/2022,10.62,10.59,10.77,10.34,1.3,0.38,M
12/01/2022,10.58,10.39,10.72,10.37,1.13,1.24,M
11/01/2022,10.45,10.38,10.54,10.27,1.15,0.48,M
10/01/2022,10.4,10.5,10.57,10.23,588.9,-2.26,K
07/01/2022,10.64,10.56,10.91,10.55,1.84,-0.47,M
06/01/2022,10.69,10.92,11.02,10.61,2.33,-2.2,M
05/01/2022,10.93,11.64,11.66,10.93,2.42,-6.74,M
04/01/2022,11.72,12.16,12.18,11.7,2.47,-3.54,M
03/01/2022,12.15,12.71,12.71,11.99,1.07,-4.41,M
30/12/2021,12.71,12.45,12.72,12.36,1.61,2.25,M
29/12/2021,12.43,12.71,12.79,12.25,934.4,-1.97,K
28/12/2021,12.68,12.78,12.91,12.57,6.3,-0.16,M
27/12/2021,12.7,12.46,12.85,12.39,777.6,0.95,K
23/12/2021,12.58,12.6,12.75,12.26,808.8,0.24,K
