Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,13.72,13.51,13.96,13.42,3.57,-2.63,M
23/02/2022,14.09,14.02,14.29,13.92,5.05,0.86,M
22/02/2022,13.97,13.55,14.09,13.44,7.98,3.48,M
21/02/2022,13.5,13.38,13.79,13.21,2.51,1.12,M
18/02/2022,13.35,13.67,13.75,13.31,2.95,-1.98,M
17/02/2022,13.62,14.08,14.16,13.62,2.24,-3.27,M
16/02/2022,14.08,14.11,14.2,13.92,3.48,0.57,M
15/02/2022,14.0,13.81,14.11,13.77,3.35,2.12,M
14/02/2022,13.71,13.33,13.93,13.33,4.17,2.77,M
11/02/2022,13.34,13.55,13.84,13.28,4.84,-1.62,M
10/02/2022,13.56,14.15,14.15,13.54,4.29,-2.52,M
09/02/2022,13.91,13.65,14.07,13.65,3.41,2.96,M
08/02/2022,13.51,13.54,13.78,13.36,2.04,-0.44,M
07/02/2022,13.57,13.71,13.76,13.48,2.6,-1.45,M
04/02/2022,13.77,14.15,14.16,13.53,2.52,-2.69,M
03/02/2022,14.15,14.28,14.44,14.06,2.77,-0.63,M
02/02/2022,14.24,14.6,14.74,14.13,2.77,-2.26,M
01/02/2022,14.57,14.91,15.01,14.45,3.33,-2.54,M
31/01/2022,14.95,15.14,15.26,14.93,2.1,-1.77,M
28/01/2022,15.22,15.2,15.34,15.06,2.81,0.33,M
27/01/2022,15.17,14.62,15.17,14.46,2.77,5.35,M
26/01/2022,14.4,13.97,14.64,13.82,5.24,5.11,M
25/01/2022,13.7,13.4,13.8,13.31,12.49,1.56,M
24/01/2022,13.49,13.83,13.88,13.36,2.71,-2.53,M
21/01/2022,13.84,13.96,14.05,13.76,3.43,-0.65,M
20/01/2022,13.93,13.61,14.21,13.61,3.78,2.28,M
19/01/2022,13.62,13.49,13.78,13.44,5.37,1.64,M
18/01/2022,13.4,13.99,13.99,13.35,3.51,-3.94,M
17/01/2022,13.95,14.01,14.14,13.87,3.11,-0.36,M
14/01/2022,14.0,13.81,14.08,13.67,4.2,1.38,M
13/01/2022,13.81,13.77,14.26,13.64,11.5,1.47,M
12/01/2022,13.61,13.38,13.77,13.27,3.23,1.64,M
11/01/2022,13.39,13.31,13.5,13.16,2.71,0.53,M
10/01/2022,13.32,13.48,13.54,13.18,1.05,-1.99,M
07/01/2022,13.59,13.65,13.77,13.27,2.53,-0.22,M
06/01/2022,13.62,13.84,13.95,13.54,1.79,-1.3,M
05/01/2022,13.8,14.31,14.48,13.71,3.26,-4.23,M
04/01/2022,14.41,14.59,14.7,14.35,2.59,-1.97,M
03/01/2022,14.7,14.99,15.23,14.59,2.74,-1.74,M
30/12/2021,14.96,14.99,15.11,14.76,2.23,-0.07,M
29/12/2021,14.97,15.41,15.41,14.91,1.14,-2.28,M
28/12/2021,15.32,15.26,15.43,15.05,1.07,0.33,M
27/12/2021,15.27,14.98,15.29,14.86,717.2,1.53,K
23/12/2021,15.04,15.38,15.39,14.86,2.03,-2.02,M
22/12/2021,15.35,15.37,15.74,15.24,1.04,-1.16,M
21/12/2021,15.53,15.29,15.62,15.14,2.15,0.91,M
20/12/2021,15.39,15.8,15.88,15.31,2.07,-2.72,M
17/12/2021,15.82,15.83,16.03,15.67,3.81,0.13,M
16/12/2021,15.8,16.3,16.37,15.75,2.17,-3.07,M
15/12/2021,16.3,16.66,16.68,15.76,3.19,-0.73,M
14/12/2021,16.42,16.35,16.75,16.23,3.32,0.62,M
13/12/2021,16.32,16.54,17.2,16.12,3.87,-0.15,M
10/12/2021,16.34,15.94,16.41,15.8,4.42,8.15,M
09/12/2021,15.11,15.66,15.8,15.04,3.8,-3.66,M
08/12/2021,15.69,15.6,15.94,15.54,5.26,1.25,M
07/12/2021,15.49,15.45,15.7,15.36,2.4,0.93,M
06/12/2021,15.35,15.41,15.58,15.22,2.68,-0.16,M
03/12/2021,15.37,15.24,15.71,15.22,2.33,0.55,M
02/12/2021,15.29,15.53,15.59,15.15,3.38,0.89,M
