Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,6.62,6.4,6.72,6.26,7.32,-0.15,M
23/02/2022,6.63,6.88,6.95,6.63,6.26,-3.21,M
22/02/2022,6.85,6.86,7.0,6.82,6.13,1.48,M
21/02/2022,6.75,6.97,6.97,6.75,5.01,-3.3,M
18/02/2022,6.98,7.22,7.26,6.98,5.11,-2.92,M
17/02/2022,7.19,7.21,7.32,7.12,4.94,-0.55,M
16/02/2022,7.23,7.18,7.3,7.15,4.29,0.84,M
15/02/2022,7.17,7.08,7.26,7.04,5.13,1.85,M
14/02/2022,7.04,7.09,7.17,7.01,4.35,-0.28,M
11/02/2022,7.06,7.17,7.36,7.02,7.78,-1.26,M
10/02/2022,7.15,7.2,7.27,7.1,5.42,-0.69,M
09/02/2022,7.2,7.28,7.4,7.13,3.7,-0.28,M
08/02/2022,7.22,7.07,7.34,7.01,5.85,1.55,M
07/02/2022,7.11,7.24,7.24,7.02,4.78,-1.11,M
04/02/2022,7.19,7.66,7.67,7.06,14.91,-6.38,M
03/02/2022,7.68,7.61,7.85,7.58,5.2,1.05,M
02/02/2022,7.6,7.7,7.85,7.57,4.94,-1.3,M
01/02/2022,7.7,7.97,8.04,7.66,4.21,-2.78,M
31/01/2022,7.92,7.75,7.96,7.71,4.38,2.19,M
28/01/2022,7.75,7.77,7.9,7.67,5.94,-0.64,M
27/01/2022,7.8,7.6,7.85,7.52,6.28,4.0,M
26/01/2022,7.5,7.6,7.7,7.48,7.58,-0.27,M
25/01/2022,7.52,7.31,7.54,7.29,6.43,2.31,M
24/01/2022,7.35,7.61,7.61,7.35,6.49,-3.54,M
21/01/2022,7.62,7.59,7.73,7.5,6.14,0.26,M
20/01/2022,7.6,7.31,7.66,7.31,5.47,4.25,M
19/01/2022,7.29,7.24,7.47,7.23,4.91,1.67,M
18/01/2022,7.17,7.18,7.27,7.06,5.57,-0.42,M
17/01/2022,7.2,7.22,7.35,7.17,3.8,0.0,M
14/01/2022,7.2,7.21,7.27,7.13,4.82,0.0,M
13/01/2022,7.2,7.25,7.26,7.09,5.21,-0.83,M
12/01/2022,7.26,6.98,7.29,6.97,7.22,3.71,M
11/01/2022,7.0,6.98,7.07,6.88,4.47,0.57,M
10/01/2022,6.96,6.97,7.04,6.84,4.66,-0.57,M
07/01/2022,7.0,6.93,7.11,6.82,6.79,0.72,M
06/01/2022,6.95,6.99,7.13,6.82,7.92,0.14,M
05/01/2022,6.94,7.02,7.41,6.93,11.32,-1.0,M
04/01/2022,7.01,7.15,7.2,6.92,5.8,-1.68,M
03/01/2022,7.13,7.4,7.44,7.08,6.7,-2.6,M
30/12/2021,7.32,7.28,7.39,7.2,6.81,1.39,M
29/12/2021,7.22,7.19,7.26,7.09,4.66,0.42,M
28/12/2021,7.19,7.25,7.36,7.14,4.5,-0.69,M
27/12/2021,7.24,7.38,7.46,7.19,4.93,-1.36,M
23/12/2021,7.34,7.46,7.47,7.26,4.04,-1.34,M
22/12/2021,7.44,7.5,7.51,7.29,4.5,0.0,M
21/12/2021,7.44,7.5,7.52,7.22,4.8,0.0,M
20/12/2021,7.44,7.78,7.78,7.44,4.17,-4.86,M
17/12/2021,7.82,7.85,7.97,7.73,6.5,-2.13,M
16/12/2021,7.99,8.0,8.23,7.87,7.66,0.76,M
15/12/2021,7.93,8.1,8.12,7.76,15.83,-2.1,M
14/12/2021,8.1,8.55,8.58,8.03,12.11,-6.03,M
13/12/2021,8.62,8.9,8.93,8.5,6.62,-2.82,M
10/12/2021,8.87,8.8,8.96,8.73,3.91,1.6,M
09/12/2021,8.73,8.91,8.96,8.56,3.68,-2.68,M
08/12/2021,8.97,8.86,8.99,8.41,12.09,1.82,M
07/12/2021,8.81,9.11,9.2,8.76,4.87,-2.11,M
06/12/2021,9.0,8.9,9.25,8.82,7.22,2.04,M
03/12/2021,8.82,8.39,9.1,8.33,9.8,5.38,M
02/12/2021,8.37,8.17,8.48,8.14,8.43,2.83,M
01/12/2021,8.14,8.43,8.64,8.04,11.56,-1.93,M
