Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,41.02,40.55,41.15,40.14,1.91,-0.05,M
23/02/2022,41.04,40.71,41.42,40.7,1.16,0.81,M
22/02/2022,40.71,40.7,40.98,40.55,995.3,0.05,K
21/02/2022,40.69,40.5,40.99,40.5,959.6,0.62,K
18/02/2022,40.44,40.57,40.79,40.4,1.36,-0.32,M
17/02/2022,40.57,40.57,40.7,40.41,1.28,0.05,M
16/02/2022,40.55,40.76,40.76,40.45,1.3,0.07,M
15/02/2022,40.52,40.29,40.55,39.84,1.99,0.0,M
14/02/2022,40.52,40.99,41.0,40.41,881.1,0.02,K
11/02/2022,40.51,40.58,40.79,40.28,1.67,0.37,M
10/02/2022,40.36,40.65,40.73,40.17,792.3,-0.35,K
09/02/2022,40.5,40.15,40.76,40.06,1.31,1.05,M
08/02/2022,40.08,40.2,40.57,39.82,1.36,-0.47,M
07/02/2022,40.27,40.7,40.75,40.25,1.79,-1.25,M
04/02/2022,40.78,41.28,41.35,40.63,1.12,-0.9,M
03/02/2022,41.15,40.44,41.26,40.24,1.09,1.86,M
02/02/2022,40.4,40.84,40.84,40.34,945.3,-1.0,K
01/02/2022,40.81,40.52,41.09,40.49,1.49,0.27,M
31/01/2022,40.7,40.02,40.91,40.02,1.22,1.4,M
28/01/2022,40.14,39.47,40.4,39.47,4.27,1.08,M
27/01/2022,39.71,39.5,39.88,39.3,948.1,1.02,K
26/01/2022,39.31,39.6,39.68,39.1,1.27,-0.2,M
25/01/2022,39.39,38.95,39.53,38.94,836.2,0.43,K
24/01/2022,39.22,39.19,39.69,39.08,1.06,0.1,M
21/01/2022,39.18,39.31,39.53,38.89,1.05,-0.56,M
20/01/2022,39.4,39.47,39.83,39.1,1.19,0.18,M
19/01/2022,39.33,38.76,39.45,38.54,1.02,1.6,M
18/01/2022,38.71,38.43,39.06,38.22,1.11,0.75,M
17/01/2022,38.42,38.39,38.82,38.28,720.7,0.08,K
14/01/2022,38.39,38.36,38.48,38.12,694.9,0.26,K
13/01/2022,38.29,37.98,38.39,37.93,733.0,0.82,K
12/01/2022,37.98,37.65,38.19,37.58,1.44,0.48,M
11/01/2022,37.8,37.74,37.97,37.47,1.52,0.16,M
10/01/2022,37.74,37.35,37.9,37.08,1.48,1.04,M
07/01/2022,37.35,37.29,37.83,37.12,1.23,0.13,M
06/01/2022,37.3,37.68,37.92,37.3,1.0,-0.8,M
05/01/2022,37.6,38.13,38.23,37.6,1.03,-1.42,M
04/01/2022,38.14,38.04,38.36,37.85,1.21,0.26,M
03/01/2022,38.04,38.5,38.87,37.81,1.13,-0.96,M
30/12/2021,38.41,38.75,38.96,38.41,1.63,-0.47,M
29/12/2021,38.59,38.8,38.97,38.4,581.3,-0.54,K
28/12/2021,38.8,38.71,38.93,38.58,711.1,0.39,K
27/12/2021,38.65,38.7,39.0,38.65,696.5,0.13,K
23/12/2021,38.6,38.66,38.82,38.54,580.5,-0.18,K
22/12/2021,38.67,38.84,38.84,38.43,605.3,0.0,K
21/12/2021,38.67,38.88,38.98,38.52,890.9,-0.49,K
20/12/2021,38.86,39.08,39.23,38.7,1.1,-0.69,M
17/12/2021,39.13,39.04,39.53,38.79,1.75,0.33,M
16/12/2021,39.0,39.41,39.58,38.89,1.18,-0.96,M
15/12/2021,39.38,39.39,39.66,38.6,1.54,0.77,M
14/12/2021,39.08,40.01,40.06,39.08,1.38,-1.14,M
13/12/2021,39.53,39.25,39.76,38.96,1.32,0.74,M
10/12/2021,39.24,39.16,39.8,39.1,904.0,0.64,K
09/12/2021,38.99,39.25,39.42,38.76,1.41,-0.69,M
08/12/2021,39.26,39.39,39.76,39.08,1.3,-0.13,M
07/12/2021,39.31,39.93,40.09,39.23,1.08,-1.08,M
06/12/2021,39.74,39.83,39.91,39.43,1.33,0.68,M
03/12/2021,39.47,39.2,40.06,39.19,1.21,0.53,M
02/12/2021,39.26,38.75,39.88,38.51,1.94,2.32,M
01/12/2021,38.37,38.63,39.19,38.21,1.56,-0.42,M
30/11/2021,38.53,38.8,38.99,38.26,2.74,-0.85,M
29/11/2021,38.86,39.12,39.34,38.68,937.9,-0.36,K
