Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,33.8,34.01,34.25,32.89,6.11,-2.99,M
23/02/2022,34.84,34.7,35.31,34.52,5.16,2.14,M
22/02/2022,34.11,33.91,34.81,33.66,3.18,0.74,M
21/02/2022,33.86,34.77,34.89,33.8,2.49,-2.28,M
18/02/2022,34.65,35.55,35.55,34.57,3.62,-1.51,M
17/02/2022,35.18,35.5,35.65,34.84,3.43,0.03,M
16/02/2022,35.17,36.14,36.89,35.06,8.38,-0.93,M
15/02/2022,35.5,33.67,35.5,33.21,9.31,6.22,M
14/02/2022,33.42,33.36,33.99,32.98,3.82,0.27,M
11/02/2022,33.33,34.12,34.5,33.17,3.69,-1.94,M
10/02/2022,33.99,34.0,34.47,33.61,3.57,0.0,M
09/02/2022,33.99,33.25,34.14,32.29,7.39,2.53,M
08/02/2022,33.15,33.3,33.46,32.87,2.31,-0.93,M
07/02/2022,33.46,33.7,33.75,33.07,3.53,-0.68,M
04/02/2022,33.69,34.04,34.26,33.41,3.22,-1.89,M
03/02/2022,34.34,33.75,34.53,33.52,3.33,1.36,M
02/02/2022,33.88,34.64,35.07,33.13,6.72,-2.14,M
01/02/2022,34.62,35.41,35.46,34.44,2.82,-1.9,M
31/01/2022,35.29,35.49,35.65,34.65,3.81,-0.4,M
28/01/2022,35.43,34.75,35.53,34.63,3.14,1.52,M
27/01/2022,34.9,35.6,36.2,34.67,4.58,-0.57,M
26/01/2022,35.1,34.66,35.45,34.35,6.24,3.14,M
25/01/2022,34.03,33.01,34.24,32.98,3.17,2.16,M
24/01/2022,33.31,34.0,34.53,33.15,4.73,-2.0,M
21/01/2022,33.99,33.57,34.45,33.25,4.32,1.61,M
20/01/2022,33.45,33.06,33.78,32.9,4.49,1.24,M
19/01/2022,33.04,31.93,33.39,31.9,4.96,4.23,M
18/01/2022,31.7,31.5,32.03,31.3,3.46,0.03,M
17/01/2022,31.69,31.46,31.94,31.07,2.16,0.25,M
14/01/2022,31.61,31.35,31.82,30.91,4.11,0.6,M
13/01/2022,31.42,31.41,32.34,30.91,6.36,0.03,M
12/01/2022,31.41,30.54,31.58,29.64,5.72,5.26,M
11/01/2022,29.84,29.41,30.17,29.38,5.5,1.22,M
10/01/2022,29.48,30.3,30.76,29.2,8.56,-2.9,M
07/01/2022,30.36,31.5,31.83,30.29,8.96,-4.38,M
06/01/2022,31.75,31.97,32.01,31.54,4.23,-0.16,M
05/01/2022,31.8,31.79,32.02,31.33,7.0,-0.41,M
04/01/2022,31.93,32.62,32.62,31.6,3.82,-2.15,M
03/01/2022,32.63,33.44,34.19,32.48,3.67,-2.33,M
30/12/2021,33.41,33.19,33.83,32.96,3.04,1.24,M
29/12/2021,33.0,33.39,33.59,32.91,2.21,-1.2,M
28/12/2021,33.4,33.31,33.42,32.88,1.76,0.51,M
27/12/2021,33.23,33.53,33.63,33.02,1.52,-0.06,M
23/12/2021,33.25,33.74,33.82,33.11,2.93,-1.28,M
22/12/2021,33.68,33.18,33.68,32.74,4.35,2.25,M
21/12/2021,32.94,32.89,33.45,32.69,3.52,0.49,M
20/12/2021,32.78,33.47,33.67,32.11,4.13,-3.08,M
17/12/2021,33.82,33.18,33.82,32.58,10.47,2.02,M
16/12/2021,33.15,34.6,34.91,32.93,6.24,-3.58,M
15/12/2021,34.38,33.0,34.54,29.9,28.89,-0.41,M
14/12/2021,34.52,36.4,36.59,33.47,11.59,-4.11,M
13/12/2021,36.0,35.62,36.6,35.42,3.43,1.69,M
10/12/2021,35.4,34.81,35.47,34.61,2.51,3.21,M
09/12/2021,34.3,34.95,35.37,34.26,3.86,-3.22,M
08/12/2021,35.44,35.38,36.88,35.06,6.71,0.85,M
07/12/2021,35.14,36.27,36.27,34.8,3.61,-1.51,M
06/12/2021,35.68,35.68,36.73,35.54,5.69,0.82,M
03/12/2021,35.39,34.5,35.5,34.36,5.85,2.58,M
02/12/2021,34.5,33.14,34.8,32.9,4.69,5.34,M
01/12/2021,32.75,32.87,33.7,32.3,4.36,0.37,M
30/11/2021,32.63,32.9,32.98,31.82,5.78,-0.88,M
29/11/2021,32.92,33.05,33.3,32.68,2.05,0.89,M
26/11/2021,32.63,32.74,33.0,32.41,2.19,-2.92,M
25/11/2021,33.61,33.06,34.36,32.83,2.51,2.47,M
24/11/2021,32.8,32.65,33.26,32.28,3.01,-0.3,M
23/11/2021,32.9,32.22,33.13,31.66,4.5,2.59,M
22/11/2021,32.07,32.98,33.13,31.95,5.1,-2.94,M
19/11/2021,33.04,32.8,33.37,32.68,2.89,1.57,M
18/11/2021,32.53,32.44,33.31,32.22,6.19,0.84,M
17/11/2021,32.26,33.99,33.99,31.95,10.52,-6.63,M
16/11/2021,34.55,35.83,35.83,34.04,4.22,-3.0,M
